time_stamp,voltage,current,power
0002239014,5011.0,571.0,2863.0
0002239114,4997.0,547.0,2737.0
0002239214,4993.0,577.0,2882.0
0002239314,5007.0,550.0,2755.0
0002239414,4997.0,542.0,2709.0
0002239514,4999.0,553.0,2763.0
0002239614,4997.0,559.0,2796.0
0002239714,4996.0,588.0,2942.0
0002239764,5003.0,538.0,2695.0
0002239814,5005.0,538.0,2694.0
0002239864,5005.0,541.0,2712.0
0002239914,5006.0,582.0,2915.0
0002239964,4998.0,548.0,2740.0
0002240014,5002.0,577.0,2888.0
0002240064,5000.0,552.0,2762.0
0002240114,4993.0,553.0,2764.0
0002240164,4997.0,546.0,2730.0
0002240214,5006.0,556.0,2782.0
0002240264,4996.0,582.0,2909.0
0002240314,5007.0,550.0,2754.0
0002240364,4992.0,546.0,2727.0
0002240414,5000.0,546.0,2731.0
0002240464,5005.0,629.0,3151.0
0002240514,5000.0,602.0,3013.0
0002240564,4998.0,733.0,3665.0
0002240614,4998.0,709.0,3546.0
0002240664,4997.0,721.0,3606.0
0002240714,4999.0,666.0,3328.0
0002240764,5004.0,652.0,3264.0
0002240814,4995.0,696.0,3477.0
0002240864,5000.0,680.0,3400.0
0002240914,5002.0,652.0,3260.0
0002240964,5007.0,714.0,3575.0
0002241014,5000.0,654.0,3270.0
0002241064,5002.0,633.0,3166.0
0002241114,4999.0,631.0,3153.0
0002241164,4997.0,688.0,3440.0
0002241214,5000.0,714.0,3574.0
0002241264,5001.0,613.0,3068.0
0002241314,5004.0,663.0,3319.0
0002241364,5000.0,597.0,2987.0
0002241414,5007.0,692.0,3466.0
0002241464,5000.0,699.0,3499.0
0002241514,5008.0,609.0,3050.0
0002241564,5000.0,616.0,3083.0
0002241614,5005.0,597.0,2991.0
0002241664,4991.0,666.0,3325.0
0002241714,5000.0,649.0,3246.0
0002241764,5007.0,631.0,3161.0
0002241814,4997.0,672.0,3358.0
0002241864,5003.0,623.0,3116.0
0002241914,4997.0,663.0,3317.0
0002241964,5003.0,686.0,3436.0
0002242014,4998.0,626.0,3130.0
0002242064,4998.0,706.0,3531.0
0002242114,4995.0,675.0,3370.0
0002242164,5000.0,699.0,3496.0
0002242214,5002.0,653.0,3266.0
0002242264,5000.0,696.0,3483.0
0002242314,5005.0,611.0,3059.0
0002242364,5004.0,684.0,3423.0
0002242414,4992.0,658.0,3286.0
0002242464,5003.0,671.0,3358.0
0002242514,5002.0,649.0,3246.0
0002242564,5000.0,637.0,3185.0
0002242614,5006.0,668.0,3343.0
0002242664,4993.0,681.0,3400.0
0002242714,4997.0,686.0,3432.0
0002242764,5002.0,668.0,3340.0
0002242814,5000.0,700.0,3500.0
0002242864,5000.0,664.0,3320.0
0002242914,5006.0,695.0,3482.0
0002242964,5004.0,591.0,2960.0
0002243014,5009.0,676.0,3389.0
0002243064,4996.0,651.0,3254.0
0002243114,4997.0,670.0,3350.0
0002243164,4994.0,695.0,3470.0
0002243214,4998.0,651.0,3253.0
0002243264,4990.0,610.0,3045.0
0002243314,4998.0,695.0,3473.0
0002243364,4999.0,637.0,3186.0
0002243414,4996.0,661.0,3306.0
0002243464,5001.0,661.0,3307.0
0002243514,5010.0,626.0,3135.0
0002243564,4998.0,646.0,3227.0
0002243614,4994.0,694.0,3465.0
0002243664,4999.0,653.0,3265.0
0002243714,4994.0,645.0,3223.0
