time_stamp,voltage,current,power
0002521164,4998.0,574.0,2870.0
0002521264,4998.0,572.0,2857.0
0002521364,5002.0,565.0,2828.0
0002521464,5006.0,549.0,2751.0
0002521564,4993.0,544.0,2718.0
0002521664,5002.0,534.0,2672.0
0002521764,5005.0,532.0,2665.0
0002521864,5007.0,536.0,2685.0
0002521914,5001.0,564.0,2822.0
0002521964,5000.0,547.0,2739.0
0002522014,5003.0,567.0,2837.0
0002522064,4997.0,542.0,2708.0
0002522114,4997.0,538.0,2692.0
0002522164,4999.0,541.0,2705.0
0002522214,4999.0,530.0,2649.0
0002522264,5000.0,544.0,2722.0
0002522314,4998.0,540.0,2701.0
0002522364,4994.0,562.0,2807.0
0002522414,4993.0,557.0,2782.0
0002522464,4995.0,540.0,2698.0
0002522514,5006.0,543.0,2718.0
0002522564,5002.0,538.0,2691.0
0002522614,5001.0,521.0,2605.0
0002522664,5002.0,575.0,2878.0
0002522714,5006.0,529.0,2649.0
0002522764,4995.0,542.0,2709.0
0002522814,4997.0,557.0,2787.0
0002522864,4999.0,544.0,2720.0
0002522914,5003.0,528.0,2642.0
0002522964,4996.0,536.0,2682.0
0002523014,4998.0,562.0,2812.0
0002523064,5002.0,553.0,2767.0
0002523114,5007.0,522.0,2617.0
0002523164,5003.0,567.0,2837.0
0002523214,4994.0,528.0,2638.0
0002523264,4999.0,547.0,2736.0
0002523314,5000.0,543.0,2717.0
0002523364,5004.0,574.0,2873.0
0002523414,5000.0,522.0,2613.0
0002523464,5006.0,567.0,2839.0
0002523515,5004.0,636.0,3184.0
0002523564,5004.0,562.0,2815.0
0002523614,4999.0,534.0,2671.0
0002523664,4998.0,576.0,2878.0
0002523714,5001.0,650.0,3254.0
0002523764,4998.0,534.0,2669.0
0002523814,5002.0,565.0,2826.0
0002523864,5000.0,532.0,2660.0
0002523914,4995.0,544.0,2715.0
0002523964,4999.0,541.0,2706.0
0002524014,4999.0,560.0,2800.0
0002524064,4991.0,551.0,2753.0
0002524114,4989.0,547.0,2728.0
0002524164,5003.0,544.0,2724.0
0002524214,5004.0,639.0,3200.0
0002524264,4998.0,676.0,3382.0
0002524314,4992.0,622.0,3107.0
0002524364,5004.0,650.0,3256.0
0002524414,4996.0,685.0,3423.0
0002524464,4996.0,587.0,2933.0
0002524514,4996.0,652.0,3261.0
0002524564,5007.0,688.0,3446.0
0002524614,5011.0,644.0,3228.0
0002524664,5004.0,668.0,3343.0
0002524714,4997.0,665.0,3323.0
0002524764,5000.0,662.0,3314.0
0002524814,5000.0,668.0,3343.0
0002524864,5000.0,665.0,3327.0
0002524914,4998.0,678.0,3387.0
0002524964,5003.0,692.0,3464.0
0002525014,4989.0,646.0,3226.0
0002525064,4997.0,685.0,3425.0
0002525114,5011.0,665.0,3330.0
0002525164,5009.0,697.0,3492.0
0002525214,5006.0,703.0,3521.0
0002525264,5000.0,672.0,3364.0
0002525314,5001.0,727.0,3639.0
0002525364,4994.0,717.0,3582.0
0002525414,5004.0,700.0,3505.0
0002525464,5006.0,702.0,3516.0
0002525514,5000.0,692.0,3463.0
0002525564,4996.0,703.0,3515.0
0002525614,5000.0,745.0,3729.0
