time_stamp,voltage,current,power
0002551914,5000.0,546.0,2730.0
0002552014,5008.0,545.0,2729.0
0002552114,5003.0,554.0,2772.0
0002552214,5003.0,575.0,2882.0
0002552314,4995.0,531.0,2652.0
0002552414,4996.0,539.0,2695.0
0002552514,5002.0,557.0,2787.0
0002552614,4998.0,526.0,2632.0
0002552664,5005.0,566.0,2834.0
0002552714,4998.0,538.0,2692.0
0002552764,5004.0,543.0,2721.0
0002552814,4998.0,568.0,2838.0
0002552864,5000.0,541.0,2705.0
0002552914,4998.0,536.0,2681.0
0002552964,5000.0,525.0,2628.0
0002553014,5000.0,550.0,2753.0
0002553064,5003.0,559.0,2798.0
0002553114,4996.0,567.0,2834.0
0002553164,4996.0,547.0,2735.0
0002553214,5003.0,549.0,2751.0
0002553264,5005.0,543.0,2720.0
0002553314,5003.0,525.0,2625.0
0002553364,5002.0,563.0,2816.0
0002553414,5006.0,546.0,2732.0
0002553464,5005.0,526.0,2633.0
0002553514,5007.0,677.0,3392.0
0002553564,4995.0,659.0,3294.0
0002553614,4996.0,693.0,3466.0
0002553664,5000.0,644.0,3221.0
0002553714,4999.0,615.0,3075.0
0002553764,4994.0,614.0,3066.0
0002553814,4996.0,595.0,2975.0
0002553864,5000.0,610.0,3052.0
0002553914,4999.0,614.0,3071.0
0002553964,4999.0,598.0,2989.0
0002554014,5006.0,642.0,3213.0
0002554064,5006.0,611.0,3060.0
0002554114,4999.0,623.0,3113.0
0002554164,4999.0,640.0,3201.0
0002554214,5001.0,592.0,2960.0
0002554264,4999.0,631.0,3154.0
0002554314,4996.0,602.0,3011.0
0002554364,4989.0,605.0,3019.0
0002554414,4998.0,606.0,3029.0
0002554464,4993.0,603.0,3013.0
0002554514,5001.0,592.0,2960.0
0002554564,4995.0,620.0,3098.0
0002554614,4993.0,639.0,3192.0
0002554664,5006.0,633.0,3167.0
0002554714,5001.0,609.0,3045.0
0002554764,5003.0,633.0,3167.0
0002554814,5004.0,595.0,2981.0
0002554864,4994.0,606.0,3029.0
0002554914,5000.0,627.0,3139.0
0002554964,5001.0,600.0,3000.0
0002555014,5003.0,617.0,3088.0
0002555064,4999.0,605.0,3026.0
0002555114,4998.0,589.0,2944.0
0002555164,5000.0,619.0,3098.0
0002555214,4997.0,604.0,3021.0
0002555264,4995.0,638.0,3185.0
0002555314,4995.0,608.0,3039.0
0002555364,5003.0,632.0,3161.0
0002555414,4993.0,611.0,3052.0
0002555464,4996.0,611.0,3055.0
0002555514,4998.0,612.0,3059.0
0002555564,4994.0,597.0,2981.0
0002555614,5001.0,642.0,3214.0
0002555664,5003.0,608.0,3044.0
0002555714,5008.0,613.0,3071.0
0002555764,4996.0,634.0,3170.0
0002555814,5002.0,608.0,3043.0
0002555864,5002.0,629.0,3147.0
0002555914,5007.0,630.0,3155.0
0002555964,5004.0,612.0,3064.0
0002556014,4999.0,638.0,3190.0
0002556064,5002.0,648.0,3244.0
0002556114,4995.0,609.0,3044.0
0002556164,5000.0,603.0,3015.0
0002556214,5003.0,636.0,3184.0
0002556264,5000.0,635.0,3176.0
0002556314,5004.0,607.0,3038.0
0002556364,5002.0,593.0,2969.0
0002556414,5003.0,598.0,2996.0
0002556464,5005.0,602.0,3014.0
0002556514,5001.0,601.0,3008.0
0002556564,5003.0,609.0,3045.0
0002556614,4995.0,603.0,3012.0
0002556664,5005.0,595.0,2980.0
0002556714,5005.0,652.0,3263.0
0002556764,5005.0,596.0,2985.0
0002556814,5004.0,583.0,2919.0
0002556864,5000.0,602.0,3010.0
0002556914,5006.0,596.0,2985.0
0002556964,5002.0,616.0,3083.0
0002557014,5013.0,613.0,3074.0
0002557064,4991.0,585.0,2922.0
0002557114,4995.0,639.0,3193.0
0002557164,4998.0,620.0,3101.0
0002557214,5008.0,598.0,2996.0
0002557264,5005.0,626.0,3132.0
0002557314,5003.0,604.0,3022.0
0002557364,4997.0,614.0,3067.0
0002557414,5000.0,656.0,3283.0
0002557464,5005.0,604.0,3026.0
0002557514,5001.0,606.0,3030.0
0002557564,5007.0,604.0,3025.0
0002557614,5003.0,596.0,2983.0
0002557664,5006.0,605.0,3027.0
0002557714,4996.0,591.0,2954.0
0002557764,5004.0,629.0,3150.0
0002557814,4996.0,632.0,3158.0
0002557864,5003.0,613.0,3067.0
0002557914,5000.0,609.0,3046.0
0002557964,5003.0,605.0,3028.0
0002558014,5004.0,630.0,3154.0
0002558064,5001.0,597.0,2986.0
0002558114,4999.0,603.0,3015.0
0002558164,5010.0,622.0,3117.0
0002558214,5000.0,599.0,2996.0
0002558264,5005.0,600.0,3005.0
0002558314,5006.0,627.0,3138.0
0002558364,4995.0,613.0,3060.0
0002558414,5000.0,597.0,2986.0
0002558464,5006.0,638.0,3196.0
0002558514,5001.0,596.0,2982.0
0002558564,4994.0,629.0,3140.0
0002558614,5003.0,610.0,3050.0
0002558664,5002.0,595.0,2975.0
0002558714,5009.0,612.0,3067.0
0002558764,4997.0,613.0,3066.0
0002558814,5002.0,614.0,3074.0
0002558864,5000.0,629.0,3148.0
0002558914,5001.0,644.0,3221.0
0002558964,5005.0,592.0,2965.0
0002559014,4999.0,602.0,3010.0
0002559064,4997.0,622.0,3111.0
0002559114,4994.0,612.0,3059.0
0002559164,4997.0,630.0,3150.0
0002559214,4995.0,607.0,3032.0
0002559264,4997.0,614.0,3069.0
0002559314,5002.0,615.0,3077.0
0002559364,5001.0,596.0,2983.0
0002559414,4999.0,641.0,3202.0
0002559464,4993.0,606.0,3027.0
0002559514,4999.0,641.0,3202.0
0002559564,4998.0,606.0,3029.0
0002559614,4998.0,622.0,3109.0
0002559664,5004.0,608.0,3046.0
0002559714,4998.0,624.0,3119.0
0002559764,5008.0,616.0,3087.0
0002559814,5009.0,645.0,3233.0
0002559864,4999.0,604.0,3021.0
0002559914,5000.0,592.0,2962.0
0002559964,4998.0,611.0,3055.0
0002560014,5003.0,617.0,3087.0
0002560064,4999.0,617.0,3085.0
0002560114,4998.0,602.0,3011.0
0002560164,5003.0,604.0,3024.0
0002560214,5012.0,631.0,3162.0
0002560264,4994.0,606.0,3027.0
0002560314,4996.0,607.0,3035.0
0002560364,4997.0,610.0,3052.0
0002560414,4997.0,609.0,3042.0
