time_stamp,voltage,current,power
2767516,5010,610,3058
2767566,4996,581,2905
2767616,4999,548,2741
2767666,5002,529,2645
2767716,4998,561,2802
2767766,5001,568,2844
2767816,5001,676,3381
2767866,5002,658,3292
2767916,5006,674,3372
2767966,5000,639,3197
2768016,4992,584,2919
2768066,4997,687,3435
2768116,4991,688,3435
2768166,5001,683,3418
2768216,5000,668,3341
2768266,5003,694,3477
2768316,5001,675,3378
2768366,4997,674,3369
2768416,5006,682,3415
2768466,4997,676,3379
2768516,5000,742,3714
2768566,4997,674,3370
2768616,5006,690,3452
2768666,4995,706,3525
2768716,4995,686,3425
2768766,4997,689,3446
2768816,5000,677,3385
2768866,5001,695,3475
2768916,5003,681,3407
2768966,4996,698,3489
2769016,4996,693,3463
2769066,4992,685,3423
2769116,4996,692,3461
2769166,4999,672,3361
2769216,4999,691,3455
2769266,5003,688,3442
2769316,5002,693,3469
2769366,5001,699,3497
2769416,5005,714,3574
2769466,5005,705,3531
2769516,4997,685,3424
2769566,5008,671,3363
2769616,5006,688,3444
2769666,4997,677,3385
2769716,4994,716,3576
2769766,5006,689,3451
2769816,4999,689,3443
2769866,4996,688,3439
2769916,5003,690,3452
2769966,4995,684,3414
2770016,4994,720,3596
2770066,4997,720,3598
2770116,5004,688,3444
2770166,5002,676,3384
2770216,5000,670,3353
2770266,5006,684,3424
2770316,5010,725,3634
2770366,4997,689,3446
2770416,4996,694,3470
2770466,4999,687,3436
2770516,5005,685,3429
2770566,4999,688,3439
2770616,4997,692,3459
2770666,5004,704,3526
2770716,5000,694,3471
2770766,5003,713,3565
2770816,4998,683,3416
2770866,5002,722,3612
2770916,5001,690,3454
2770966,5008,719,3604
2771016,5005,678,3394
2771066,5005,686,3436
2771116,5000,702,3511
2771166,5004,718,3596
2771216,4998,722,3608
2771266,4993,692,3456
2771316,5007,692,3465
2771366,4996,685,3426
2771416,5006,684,3426
2771466,4996,734,3668
2771516,4997,695,3473
2771566,5002,680,3402
2771616,5008,691,3464
2771666,5003,676,3385
2771716,4998,730,3648
2771766,5000,688,3442
2771816,4997,678,3388
2771866,4999,729,3642
2771916,5000,724,3620
2771966,5004,698,3495
2772016,4996,677,3386
2772066,5005,681,3409
2772116,5006,678,3394
2772166,5009,685,3435
2772216,5000,722,3612
2772266,5000,696,3484
2772316,5005,685,3429
2772366,5001,699,3498
2772416,4999,719,3592
2772466,5000,693,3465
2772516,5002,706,3530
2772566,4995,675,3369
2772616,4995,681,3399
2772666,4996,673,3364
2772716,5006,669,3350
2772766,5001,682,3411
2772816,5006,710,3555
2772866,4997,726,3630
2772916,4999,716,3577
2772966,5000,708,3544
2773016,5002,703,3518
2773066,5007,698,3498
2773116,5000,722,3614
2773166,5003,682,3417
2773216,5000,717,3589
2773266,5005,710,3556
2773316,4997,686,3431
2773366,4999,697,3486
2773416,4994,702,3508
2773466,4994,688,3439
2773516,4999,679,3393
2773566,5003,720,3604
2773616,5003,713,3565
2773666,5012,722,3622
2773716,4993,679,3393
2773766,5008,725,3631
2773816,5007,701,3509
2773866,4996,702,3507
2773916,4999,703,3514
2773966,5001,683,3416
2774016,5005,678,3393
2774066,4998,698,3491
2774116,5005,704,3525
2774166,5002,681,3407
2774216,4999,692,3460
2774266,4997,727,3633
2774316,5011,720,3606
2774366,5000,690,3452
2774416,4999,678,3389
2774466,5003,725,3628
2774516,5007,681,3415
2774566,5005,684,3425
2774616,5000,721,3609
2774666,5003,694,3470
2774716,5003,673,3371
2774766,5002,715,3579
2774816,4993,718,3585
2774866,4999,690,3450
2774916,5008,695,3484
2774966,5010,696,3486
2775016,4998,687,3436
2775066,5001,722,3610
2775116,5002,715,3577
2775166,5001,685,3428
2775216,5000,729,3645
2775266,4995,701,3504
2775316,5007,699,3499
2775366,4998,700,3497
2775416,5000,717,3589
2775466,4997,697,3484
2775516,5002,688,3441
2775566,5006,696,3484
2775616,5007,689,3453
2775666,5005,682,3414
2775716,4998,702,3509
2775766,4999,689,3443
2775816,5006,674,3376
2775866,5005,695,3478
2775916,5003,726,3633
2775966,5005,702,3513
2776016,5003,708,3546
2776066,5001,677,3388
2776116,5000,701,3509
2776166,5007,691,3463
2776216,4998,698,3488
2776266,5005,694,3474
2776316,5005,719,3602
2776366,5007,719,3602
2776416,5008,687,3444
2776466,5001,672,3363
2776516,5006,726,3636
2776566,4999,711,3553
2776616,5005,732,3663
2776666,4996,685,3425
2776716,5000,674,3372
2776766,5000,717,3586
2776816,5006,706,3535
2776866,4998,684,3419
2776916,4997,687,3434
2776966,4999,700,3500
2777016,5005,676,3383
2777066,5001,694,3472
2777116,5002,688,3440
2777166,4997,681,3402
2777216,5003,699,3502
2777266,4998,716,3580
2777316,4993,694,3468
2777366,5000,704,3524
2777416,4993,693,3459
2777466,4995,692,3456
2777516,4999,695,3474
2777566,5003,700,3506
2777616,5005,707,3542
2777666,5007,690,3456
2777716,5006,721,3609
2777766,5002,717,3586
2777816,5002,726,3632
2777866,4993,701,3503
2777916,4998,696,3480
2777966,4996,690,3451
2778016,5008,692,3468
2778066,4994,729,3640
2778116,5000,698,3492
2778166,4996,707,3535
2778216,5004,723,3619
2778266,5002,699,3498
2778316,5004,699,3502
2778366,5008,733,3672
2778416,4995,724,3615
2778466,4993,705,3521
2778516,5004,706,3533
2778566,5000,694,3474
2778616,5008,738,3700
2778666,5004,689,3452
2778716,4998,702,3511
2778766,5005,704,3522
2778816,4998,788,3938
2778866,4999,735,3672
2778916,5004,729,3650
2778966,5001,685,3428
2779016,4997,687,3435
2779066,4996,700,3499
2779116,4994,705,3520
2779166,5009,725,3634
2779216,5003,727,3635
2779266,4997,727,3635
2779316,5003,704,3520
2779366,5008,731,3663
2779416,5005,692,3464
2779466,5001,695,3477
2779516,5005,699,3500
2779566,5001,694,3473
2779616,5004,721,3608
2779666,4995,707,3531
2779716,4996,730,3647
2779766,4995,738,3686
2779816,4994,698,3488
2779866,5000,716,3580
2779916,4996,696,3479
2779966,5001,699,3498
2780016,4998,713,3566
2780066,5004,684,3427
2780116,4998,700,3498
2780166,5004,721,3612
2780216,4996,698,3491
2780266,5000,686,3433
2780316,4998,693,3464
2780366,5005,724,3623
2780416,4997,694,3467
2780466,5005,684,3427
2780516,5003,691,3462
2780566,5006,681,3409
2780616,5004,723,3621
2780666,4998,712,3559
2780716,5002,691,3459
2780766,4997,700,3501
2780816,4996,696,3477
2780866,4992,699,3492
2780916,5001,680,3400
2780966,5004,698,3493
2781016,5008,699,3503
2781066,4995,717,3582
2781116,4997,726,3628
2781166,4999,687,3434
2781216,4994,730,3647
2781266,5002,726,3630
2781316,4997,688,3441
2781366,5007,688,3446
2781416,4999,701,3503
2781466,5002,720,3604
2781516,4991,735,3668
2781566,4996,691,3454
2781616,4997,698,3492
2781666,5002,690,3450
2781716,5003,704,3522
2781766,5005,684,3425
2781816,5008,699,3502
2781866,5003,693,3466
2781916,4997,703,3514
2781966,5000,691,3459
2782016,5007,699,3501
2782066,5001,715,3577
2782116,5001,728,3643
2782166,5000,695,3478
2782216,5011,687,3444
2782266,5006,677,3392
2782316,5008,716,3587
2782366,5005,690,3454
2782416,5001,707,3539
2782466,5002,699,3498
2782516,4999,698,3491
2782566,5006,683,3418
2782616,4995,684,3417
2782666,4993,712,3557
2782716,4997,726,3627
2782766,5007,700,3503
2782816,5004,697,3492
2782866,4998,698,3488
2782916,5005,718,3597
2782966,5001,680,3402
2783016,5001,698,3492
2783066,5002,675,3379
2783116,4995,707,3532
2783166,4999,686,3431
2783216,4992,695,3472
2783266,4998,725,3624
2783316,5007,714,3574
2783366,4997,723,3615
2783416,5006,703,3520
2783466,4998,691,3454
2783516,5003,674,3374
2783566,5001,688,3444
2783616,4998,691,3454
2783666,4994,683,3413
2783716,4997,736,3678
2783766,5000,705,3528
2783816,4998,682,3411
2783866,5010,682,3417
2783916,5000,717,3585
2783966,5005,698,3495
2784016,4998,681,3403
2784066,5001,710,3554
2784116,5000,679,3398
2784166,5004,697,3489
2784216,5000,682,3410
2784266,4994,680,3398
2784316,4996,702,3510
2784366,5000,735,3678
2784416,4997,699,3495
2784466,5004,711,3562
2784516,5003,703,3518
2784566,5003,728,3647
2784616,5008,716,3590
2784666,5001,739,3696
2784716,5000,696,3480
2784766,5000,686,3434
2784816,5005,684,3425
2784866,5003,692,3461
2784916,5002,680,3404
2784966,5011,717,3595
2785016,5000,679,3398
2785066,4996,698,3492
2785116,4999,698,3487
2785166,4999,724,3619
2785216,4997,689,3444
2785266,4998,691,3455
2785316,4999,708,3538
2785366,5000,680,3402
2785416,5003,704,3523
2785466,5000,690,3452
2785516,5008,735,3681
2785566,5001,712,3561
2785616,4997,725,3625
2785666,5004,687,3442
2785716,4999,693,3467
2785766,5002,700,3503
2785816,4993,680,3399
2785866,5000,676,3383
2785916,4999,732,3657
2785966,4996,696,3479
2786016,5005,692,3467
2786066,5002,675,3379
2786116,5005,689,3450
2786166,5000,683,3419
2786216,5003,697,3490
2786266,5003,684,3422
2786316,5007,691,3459
2786366,4996,684,3420
2786416,4995,688,3435
2786466,5007,709,3555
2786516,4999,711,3555
2786566,5001,691,3456
2786616,4995,730,3646
2786666,5003,687,3436
2786716,4998,708,3538
2786766,5005,744,3725
2786816,5001,722,3610
2786866,5002,698,3491
2786916,5000,719,3597
2786966,5006,716,3583
2787016,5003,691,3458
2787066,5003,682,3417
2787116,5006,684,3423
2787166,5006,697,3489
2787216,5000,683,3415
2787266,5005,726,3636
2787316,4993,696,3477
2787366,4997,694,3468
2787416,4996,683,3414
2787466,4994,695,3470
2787516,5007,692,3466
2787566,5000,718,3591
2787616,5003,690,3454
2787666,5001,689,3448
2787716,5003,719,3599
2787766,5000,736,3680
2787816,5003,695,3476
2787866,5008,685,3432
2787916,4999,705,3522
2787966,5003,734,3677
2788016,4997,717,3586
2788066,5003,702,3511
2788116,4997,692,3459
2788166,5001,706,3532
2788216,4994,708,3535
2788266,5003,697,3488
2788316,4998,716,3580
2788366,5007,702,3516
2788416,5007,703,3517
2788466,5002,717,3587
2788516,5005,680,3406
2788566,4998,704,3521
2788616,5004,698,3494
2788666,5003,693,3465
2788716,4996,683,3416
2788766,4993,696,3475
2788816,4998,735,3673
2788866,4993,694,3469
2788916,4993,706,3524
2788966,4993,680,3397
2789016,5003,699,3502
2789066,5008,714,3576
2789116,5005,676,3383
2789166,4996,689,3442
2789216,5009,695,3482
2789266,5002,723,3616
2789316,4998,701,3506
2789366,5012,700,3511
2789416,5000,695,3475
2789466,5000,694,3472
2789516,5002,687,3436
2789566,5007,687,3437
2789616,4996,703,3515
2789666,5000,689,3445
2789716,5000,695,3476
2789766,4991,697,3477
2789816,4998,829,4144
2789866,4997,687,3437
2789916,4993,702,3508
2789966,5000,699,3499
2790016,4998,693,3465
2790066,4997,723,3616
2790116,5002,717,3589
2790166,4992,695,3470
2790216,4998,680,3400
2790266,4994,722,3604
2790316,5006,729,3648
2790366,5003,690,3452
2790416,5002,686,3431
2790466,4999,723,3614
2790516,4997,688,3441
2790566,5004,700,3505
2790616,5004,703,3521
2790666,5003,704,3524
2790716,5001,695,3475
2790766,4995,721,3600
2790816,4996,697,3482
2790866,5011,720,3609
2790916,5006,714,3575
2790966,5004,694,3476
2791016,4999,690,3451
2791066,5007,703,3523
2791116,5000,702,3510
2791166,4995,705,3521
2791216,5002,688,3443
2791266,5005,699,3500
2791316,4998,705,3524
2791366,4998,823,4115
2791416,5007,698,3497
2791466,5006,699,3500
2791516,5001,688,3443
2791566,4997,701,3503
2791616,5006,697,3490
2791666,4993,694,3468
2791716,5003,685,3429
2791766,5001,679,3397
2791816,5002,689,3446
2791866,5009,693,3471
2791916,4999,701,3505
2791966,5002,672,3361
2792016,5003,699,3499
2792066,5006,736,3683
2792116,4995,689,3441
2792166,5003,694,3475
2792216,4996,696,3481
2792266,5007,683,3423
2792316,5002,720,3601
2792366,5004,711,3559
2792416,5004,695,3480
2792466,4999,683,3413
2792516,5002,702,3510
2792566,5006,701,3510
2792616,5005,688,3444
2792666,5006,683,3418
2792716,5000,701,3507
2792766,4998,700,3498
2792816,4998,701,3502
2792866,5000,706,3530
2792916,5003,709,3552
2792966,5000,699,3495
2793016,5007,684,3425
2793066,4994,708,3539
2793116,4998,691,3454
2793166,4997,693,3466
2793216,4999,698,3491
2793266,4992,694,3466
2793316,5004,702,3514
2793366,5004,685,3431
2793416,5007,699,3499
2793466,5002,686,3431
2793516,5000,693,3467
2793566,5006,720,3606
2793616,4994,728,3638
2793666,5007,702,3518
2793716,5007,725,3632
2793766,5004,700,3503
2793816,5001,685,3428
2793866,5008,727,3642
2793916,4996,737,3686
2793966,5003,701,3508
2794016,5004,721,3611
2794066,5002,707,3536
2794116,5004,687,3442
2794166,4998,692,3461
2794216,4999,690,3447
2794266,5001,692,3464
2794316,5002,681,3408
2794366,5001,711,3555
2794416,5006,708,3544
2794466,4997,715,3574
2794516,4998,693,3463
2794566,4998,695,3473
2794616,5001,703,3516
2794666,4993,683,3413
2794716,4994,731,3650
2794766,4999,687,3432
2794816,5004,732,3663
2794866,5001,698,3491
2794916,5005,697,3487
