time_stamp,voltage,current,power
0003316016,5000.0,528.0,2643.0
0003316116,5005.0,569.0,2848.0
0003316216,5008.0,564.0,2827.0
0003316316,5002.0,574.0,2872.0
0003316416,4995.0,531.0,2651.0
0003316516,4995.0,532.0,2660.0
0003316616,5006.0,538.0,2692.0
0003316716,5003.0,543.0,2717.0
0003316766,5002.0,533.0,2665.0
0003316816,4996.0,538.0,2692.0
0003316866,5003.0,546.0,2736.0
0003316916,5004.0,527.0,2637.0
0003316966,5001.0,533.0,2666.0
0003317016,4998.0,541.0,2704.0
0003317066,4998.0,567.0,2832.0
0003317116,5003.0,533.0,2670.0
0003317166,5004.0,538.0,2695.0
0003317216,5002.0,532.0,2662.0
0003317266,4998.0,546.0,2728.0
0003317316,5005.0,529.0,2649.0
0003317366,4994.0,525.0,2622.0
0003317416,5005.0,524.0,2622.0
0003317466,5009.0,564.0,2827.0
0003317516,5006.0,539.0,2698.0
0003317566,5001.0,634.0,3171.0
0003317616,5003.0,636.0,3184.0
0003317666,5005.0,713.0,3571.0
0003317716,5004.0,685.0,3430.0
0003317766,5006.0,645.0,3230.0
0003317816,5000.0,703.0,3518.0
0003317866,4996.0,621.0,3106.0
0003317916,5001.0,751.0,3756.0
0003317966,4996.0,668.0,3338.0
0003318016,4990.0,696.0,3473.0
0003318066,5002.0,651.0,3259.0
0003318116,5003.0,645.0,3225.0
0003318166,5000.0,664.0,3324.0
0003318216,5004.0,650.0,3256.0
0003318266,4996.0,630.0,3151.0
0003318316,4994.0,647.0,3234.0
0003318366,4997.0,621.0,3103.0
0003318416,4998.0,721.0,3604.0
0003318466,5008.0,653.0,3271.0
0003318516,5004.0,655.0,3281.0
0003318566,4998.0,712.0,3560.0
0003318616,4998.0,655.0,3277.0
0003318666,4998.0,642.0,3211.0
0003318716,4991.0,675.0,3367.0
0003318766,4997.0,707.0,3535.0
0003318816,4999.0,670.0,3348.0
0003318866,5001.0,612.0,3064.0
0003318916,4998.0,663.0,3315.0
0003318966,5003.0,650.0,3257.0
0003319016,5005.0,668.0,3342.0
0003319066,5004.0,635.0,3179.0
0003319116,4998.0,616.0,3082.0
0003319166,5005.0,617.0,3089.0
0003319216,5006.0,626.0,3133.0
0003319266,5009.0,694.0,3479.0
