time_stamp,voltage,current,power
0005769583,5001.0,565.0,2827.0
0005769683,4997.0,545.0,2726.0
0005769783,4999.0,534.0,2671.0
0005769883,5005.0,530.0,2654.0
0005769983,4994.0,533.0,2664.0
0005770083,5002.0,561.0,2808.0
0005770183,5004.0,535.0,2678.0
0005770283,5003.0,524.0,2623.0
0005770333,5006.0,559.0,2799.0
0005770383,5004.0,558.0,2795.0
0005770433,5008.0,551.0,2764.0
0005770483,5009.0,540.0,2708.0
0005770533,5000.0,518.0,2594.0
0005770583,4997.0,538.0,2691.0
0005770633,4995.0,557.0,2783.0
0005770683,4996.0,535.0,2676.0
0005770733,5002.0,536.0,2682.0
0005770783,5003.0,566.0,2833.0
0005770833,5001.0,553.0,2769.0
0005770883,4998.0,519.0,2597.0
0005770933,5005.0,551.0,2759.0
0005770983,4995.0,526.0,2626.0
0005771033,5000.0,538.0,2690.0
0005771083,5007.0,531.0,2661.0
0005771133,5007.0,524.0,2625.0
0005771183,4999.0,544.0,2721.0
0005771233,5000.0,541.0,2706.0
0005771283,4997.0,530.0,2651.0
0005771333,4990.0,538.0,2684.0
0005771383,4998.0,542.0,2708.0
0005771433,4992.0,527.0,2632.0
0005771483,5001.0,521.0,2606.0
0005771533,4993.0,558.0,2789.0
0005771583,5000.0,550.0,2751.0
0005771633,4997.0,537.0,2685.0
0005771683,4995.0,545.0,2721.0
0005771733,5000.0,637.0,3189.0
0005771783,5001.0,633.0,3165.0
0005771833,4998.0,638.0,3188.0
0005771883,5004.0,629.0,3152.0
0005771933,5002.0,577.0,2888.0
0005771983,5006.0,677.0,3391.0
0005772033,5005.0,672.0,3364.0
0005772083,5001.0,673.0,3365.0
0005772133,5002.0,675.0,3376.0
0005772183,4998.0,710.0,3547.0
0005772233,5004.0,631.0,3157.0
0005772283,5008.0,661.0,3313.0
0005772333,4995.0,526.0,2630.0
0005772383,5000.0,534.0,2673.0
0005772433,4997.0,523.0,2615.0
0005772483,4998.0,540.0,2700.0
0005772533,5000.0,563.0,2815.0
0005772583,4995.0,527.0,2631.0
0005772633,4997.0,547.0,2737.0
0005772683,5001.0,526.0,2630.0
0005772733,5007.0,518.0,2595.0
0005772783,5008.0,525.0,2632.0
0005772833,5002.0,554.0,2770.0
0005772883,4999.0,535.0,2673.0
0005772933,5000.0,521.0,2606.0
0005772983,5000.0,519.0,2596.0
0005773033,4998.0,540.0,2699.0
0005773083,5006.0,555.0,2781.0
0005773133,4999.0,533.0,2666.0
