time_stamp,voltage,current,power
6298087,5006,617,3089
6298137,4996,637,3186
6298187,4995,625,3123
6298237,5002,583,2919
6298287,4998,662,3308
6298337,5000,637,3185
6298387,5003,640,3207
6298437,5000,661,3306
6298487,5004,657,3292
6298537,5008,639,3201
6298587,5005,659,3301
6298637,5003,686,3434
6298687,4995,655,3271
6298737,5004,686,3433
6298787,4994,635,3170
6298837,4997,661,3303
6298887,4994,644,3215
6298937,4999,647,3236
6298987,4996,654,3268
6299037,5011,676,3387
6299087,4997,639,3192
6299137,4990,664,3315
6299187,5002,625,3128
6299237,5005,643,3218
6299287,4999,630,3147
6299337,4996,628,3141
6299387,4996,663,3315
6299437,4997,634,3170
6299487,4996,643,3215
6299537,5000,675,3375
6299587,4996,705,3523
6299637,4994,656,3275
6299687,4999,664,3318
6299737,4996,627,3134
6299787,5000,660,3303
6299837,4995,683,3411
6299887,4998,649,3244
6299937,5003,641,3207
6299987,5004,650,3255
6300037,5000,652,3261
6300087,5003,647,3237
6300137,5002,635,3178
6300187,5000,653,3268
6300237,5006,654,3273
6300287,5005,652,3266
6300337,5002,676,3382
6300387,5002,656,3280
6300437,5000,646,3234
6300487,4997,662,3310
6300537,5002,686,3434
6300587,4997,651,3255
6300637,5007,669,3351
6300687,5001,615,3079
6300737,5005,660,3307
6300787,5006,663,3320
6300837,5000,674,3374
6300887,4998,631,3152
6300937,4997,651,3255
6300987,5007,638,3196
6301037,5001,618,3094
6301087,5000,629,3145
6301137,5002,668,3343
6301187,5000,646,3232
6301237,4995,666,3327
6301287,5002,659,3297
6301337,4998,645,3223
6301387,5002,652,3260
6301437,5002,663,3316
6301487,4998,627,3133
6301537,5000,605,3025
6301587,5006,650,3253
6301637,5003,646,3236
6301687,4999,656,3279
6301737,5004,685,3431
6301787,4995,618,3086
6301837,5004,702,3516
6301887,5000,650,3253
6301937,4993,662,3308
6301987,5000,641,3206
6302037,4997,622,3108
6302087,5000,615,3078
6302137,5004,653,3271
6302187,5009,632,3165
6302237,4989,646,3223
6302287,5003,636,3183
6302337,4997,657,3286
6302387,4999,649,3245
6302437,4996,609,3044
6302487,4998,650,3250
6302537,4996,689,3444
6302587,5008,611,3063
6302637,4998,709,3543
6302687,4999,665,3326
6302737,4999,624,3118
6302787,4992,665,3321
6302837,4992,676,3379
6302887,5000,673,3369
6302937,5007,659,3304
6302987,5000,632,3162
6303037,4992,708,3536
6303087,5001,630,3153
6303137,5004,596,2982
6303187,5004,645,3228
6303237,5001,696,3483
6303287,4998,710,3547
6303337,5001,622,3110
6303387,5009,603,3023
6303437,5004,634,3176
6303487,4998,657,3287
6303537,5001,668,3340
6303587,5002,667,3335
6303637,4994,616,3076
6303687,5001,664,3321
6303737,5010,600,3006
6303787,5004,630,3156
6303837,4999,704,3517
6303887,5008,622,3119
6303937,4999,650,3250
6303987,5000,639,3197
6304037,5000,687,3438
6304087,4997,599,2994
6304137,4999,657,3284
6304187,5005,679,3399
6304237,5004,635,3178
6304287,5003,612,3062
6304337,5004,677,3388
6304387,5000,617,3087
6304437,4998,678,3389
6304487,4997,646,3230
6304537,5001,640,3202
6304587,5000,617,3089
6304637,4996,635,3176
6304687,4999,598,2991
6304737,5001,589,2948
6304787,5011,692,3470
6304837,4995,627,3133
6304887,5003,675,3376
6304937,5002,712,3562
6304987,4992,639,3192
6305037,5001,646,3233
6305087,4993,610,3050
6305137,5001,646,3233
6305187,5003,589,2949
6305237,4992,681,3401
6305287,4995,598,2985
6305337,4999,606,3028
6305387,5008,601,3012
6305437,5003,674,3375
6305487,4992,648,3235
6305537,4998,639,3196
6305587,5006,679,3398
6305637,5009,601,3011
6305687,5006,665,3331
6305737,5003,713,3569
6305787,5005,653,3270
6305837,5000,648,3241
6305887,5006,650,3255
6305937,5007,629,3149
6305987,4993,671,3354
6306037,4999,677,3385
6306087,5000,627,3137
6306137,4996,650,3247
6306187,4997,647,3234
6306237,4997,628,3138
6306287,5003,721,3608
6306337,5014,603,3025
6306387,5010,583,2921
6306437,5003,609,3051
6306487,4998,569,2847
6306537,4999,647,3234
6306587,4996,729,3643
6306637,4997,648,3239
6306687,5000,649,3248
6306737,5001,614,3072
6306787,5000,624,3121
6306837,4996,712,3558
6306887,5005,601,3007
6306938,5008,600,3006
6306987,4999,638,3190
6307037,4999,705,3525
6307087,5003,660,3300
6307137,5000,620,3104
6307187,4997,720,3600
6307237,5002,647,3235
6307287,5006,652,3266
6307337,4996,646,3227
6307387,4998,665,3327
6307437,5004,604,3023
6307487,5006,600,3004
6307537,5002,686,3433
6307587,5004,583,2919
6307637,4999,655,3275
6307687,5005,688,3447
6307737,4995,584,2919
6307787,4990,623,3112
6307837,5000,629,3145
6307887,4997,624,3121
6307937,5000,705,3525
6307987,5005,629,3150
6308037,5010,712,3567
6308087,5007,697,3493
6308137,4991,590,2944
6308187,5008,675,3384
6308237,5011,702,3519
6308287,4999,597,2985
6308337,5000,695,3479
6308387,4993,622,3109
6308437,4993,720,3596
6308487,5000,732,3662
6308537,4996,652,3258
6308587,5002,620,3104
6308637,4993,644,3216
6308687,4990,643,3208
6308737,4994,585,2921
6308787,4999,648,3237
6308837,4998,584,2917
6308887,5000,662,3312
6308937,4997,577,2885
6308987,5004,709,3552
6309037,5005,683,3418
6309087,4992,687,3431
6309137,4997,659,3294
6309187,5000,631,3156
6309237,5006,658,3292
6309287,5006,579,2899
6309337,5000,620,3104
6309387,5006,659,3301
6309437,5006,624,3126
6309487,5006,684,3422
6309537,4995,647,3230
6309587,4994,664,3319
6309637,5002,689,3448
6309687,4997,691,3456
6309737,5000,637,3188
6309787,4996,663,3316
6309837,5005,681,3407
6309887,5008,690,3457
6309937,5002,639,3199
6309987,5000,642,3210
6310037,4998,637,3186
6310087,4988,625,3117
6310137,5007,627,3140
6310187,5005,602,3016
6310237,5001,695,3476
6310287,4996,629,3145
6310337,4992,585,2923
6310387,4999,732,3659
6310437,4994,641,3201
6310487,5010,637,3192
6310537,5007,674,3376
6310587,5002,604,3023
6310637,5004,690,3457
6310687,5005,611,3059
6310737,4995,664,3316
6310787,4997,654,3267
6310837,4996,606,3031
6310887,4997,674,3370
6310937,4994,610,3046
6310987,5001,721,3607
6311037,4995,634,3169
6311087,4993,667,3331
6311137,4997,706,3527
6311187,4996,621,3103
6311237,4987,594,2961
6311287,4996,697,3485
6311337,4993,633,3162
6311387,4998,685,3424
6311437,5005,647,3241
6311487,5000,618,3090
6311537,5006,657,3290
6311587,5006,587,2938
6311637,5006,629,3149
6311687,5005,623,3117
6311737,4996,641,3207
6311787,5000,591,2959
6311837,4998,649,3243
6311887,5011,597,2994
6311937,5004,602,3016
6311987,5008,581,2912
6312037,4996,689,3446
6312087,5010,668,3346
6312137,4997,708,3540
6312187,4998,632,3159
6312237,5004,627,3141
6312287,5006,698,3493
6312337,5004,617,3091
6312387,5001,667,3336
6312437,5009,628,3146
6312487,5003,609,3047
6312537,4998,633,3166
6312587,5000,638,3194
6312637,4995,670,3349
6312687,4999,710,3547
6312737,4999,633,3163
6312787,4997,609,3042
6312837,5006,607,3039
6312887,5004,611,3061
6312937,5009,722,3620
6312987,4999,600,2999
6313037,5000,602,3011
6313087,5000,610,3054
6313137,5002,601,3006
6313187,5000,604,3023
6313237,5001,736,3683
6313287,5002,642,3213
6313337,5002,623,3119
6313387,5003,640,3200
6313437,4998,597,2982
6313487,5006,704,3526
6313537,4997,623,3113
6313587,4992,686,3427
6313637,5004,608,3044
6313687,5005,583,2919
6313737,5001,657,3287
6313787,4996,644,3221
6313837,5003,672,3365
6313887,5004,621,3108
6313937,5001,629,3146
6313987,4994,612,3058
6314037,5004,635,3178
6314087,5003,695,3478
6314137,5005,669,3349
6314187,4994,621,3102
6314237,5007,606,3036
6314287,4999,709,3545
6314337,5000,668,3340
6314387,4996,626,3132
6314437,4999,646,3229
6314487,4992,676,3378
6314537,4997,677,3386
6314587,5000,650,3250
6314637,4994,664,3318
6314687,5001,623,3117
6314737,4994,634,3168
6314787,4999,591,2953
6314837,4994,694,3465
6314887,5004,600,3003
6314937,4999,708,3540
6314987,4999,638,3190
6315037,5001,613,3066
6315087,4993,609,3043
6315137,4994,710,3547
6315187,4997,629,3145
6315237,5010,624,3126
6315287,5002,612,3060
6315337,4991,620,3095
6315387,4999,595,2977
6315437,4997,626,3131
6315487,4997,619,3094
6315537,5002,646,3231
6315587,5007,717,3591
6315637,4999,706,3532
6315687,4996,707,3535
6315737,4995,630,3148
6315787,4995,674,3365
6315837,4998,673,3363
6315887,5004,640,3207
6315937,5007,666,3338
6315987,4995,607,3034
6316037,4999,638,3190
6316087,4999,678,3388
6316137,4997,603,3016
6316187,5000,590,2951
6316237,5001,722,3612
6316287,5004,598,2993
6316337,5002,671,3355
6316387,4999,693,3464
6316437,4991,611,3050
6316487,5004,719,3599
6316537,5004,619,3101
6316587,5004,731,3660
6316637,5004,651,3259
6316687,4995,655,3271
6316737,4998,669,3346
6316787,4996,629,3147
6316837,4997,741,3702
