time_stamp,voltage,current,power
6873146,5002,558,2791
6873246,4999,532,2662
6873346,5003,565,2830
6873446,5003,554,2771
6873546,5003,517,2585
6873646,4999,529,2644
6873746,5002,548,2742
6873796,5011,556,2786
6873846,5001,529,2647
6873896,4995,545,2724
6873946,4995,535,2673
6873996,5007,543,2720
6874046,5001,561,2807
6874096,5006,534,2672
6874146,4995,522,2606
6874196,5006,548,2742
6874246,5003,520,2600
6874296,5001,544,2723
6874346,5000,535,2678
6874396,4997,542,2711
6874446,4997,549,2743
6874496,4995,525,2621
6874546,5000,530,2654
6874596,4999,550,2751
6874646,5005,532,2663
6874696,4998,528,2638
6874746,5000,524,2621
6874796,4999,529,2643
6874846,4999,526,2630
6874896,4999,546,2732
6874946,4996,571,2857
6874996,5006,538,2694
6875046,4994,542,2706
6875096,5003,558,2795
6875146,4997,573,2866
6875196,4992,545,2725
6875246,5003,550,2754
6875296,5000,535,2678
6875346,5005,539,2700
6875396,5003,528,2643
6875446,4999,519,2592
6875496,4997,543,2713
6875546,5000,522,2613
6875596,5001,532,2660
6875646,5006,536,2682
6875696,4996,541,2705
6875746,5005,553,2770
6875796,4995,538,2688
6875846,4998,537,2682
6875896,4998,541,2706
6875946,5005,904,4526
6875996,5000,924,4620
6876046,4995,897,4478
6876096,5000,1099,5495
6876146,5000,553,2766
6876196,5000,547,2735
6876246,4994,531,2651
6876296,4998,561,2806
6876346,5001,542,2711
6876396,5009,579,2903
6876446,4998,545,2723
6876496,4999,536,2681
6876546,4998,580,2899
6876596,4997,526,2632
6876646,4998,525,2625
6876696,5000,545,2728
6876746,4996,532,2661
6876796,4994,547,2733
6876846,4998,555,2774
6876896,4998,561,2806
6876946,4994,546,2728
6876996,4994,531,2655
6877046,5009,568,2848
6877096,5004,562,2814
6877146,5005,559,2802
6877196,5001,517,2589
6877246,5006,556,2786
6877296,5000,530,2650
6877346,5010,527,2643
6877396,4994,539,2695
6877446,4998,568,2839
6877496,4998,532,2658
6877546,5000,522,2611
