time_stamp,voltage,current,power
7355446,4994,898,4483
7355496,5010,899,4506
7355546,5004,859,4302
7355596,5004,903,4523
7355646,4995,957,4777
7355696,5004,916,4585
7355746,4989,1012,5051
7355796,5004,927,4641
7355846,5002,914,4573
7355896,4997,941,4705
7355946,5003,915,4576
7355996,5000,914,4570
7356046,5003,952,4764
7356096,4995,929,4639
7356146,4993,953,4762
7356196,4995,910,4545
7356246,4998,1023,5111
7356296,4996,938,4688
7356346,4999,928,4637
7356396,5003,924,4627
7356446,4996,924,4619
7356496,5000,917,4588
7356546,5002,906,4531
7356596,5005,1049,5250
7356646,5006,913,4573
7356696,4998,989,4944
7356746,4995,1038,5184
7356796,4995,1042,5206
7356846,4991,962,4799
7356896,5009,1043,5225
7356946,5006,958,4795
7356996,5005,1028,5147
7357046,5000,956,4780
7357096,4995,914,4567
7357146,4997,956,4779
7357196,4996,971,4851
7357246,4997,1016,5080
7357296,4993,935,4669
7357346,4996,928,4640
7357396,5003,986,4931
7357446,5006,996,4987
7357496,4998,976,4881
7357546,4997,942,4706
7357596,4993,948,4732
7357646,4993,927,4629
7357696,5006,924,4628
7357746,5006,928,4645
7357796,5002,954,4771
7357846,5004,1003,5021
7357896,4997,1005,5025
7357946,5003,968,4840
7357996,5007,956,4787
7358046,4995,997,4980
7358096,5003,913,4572
7358146,4997,1020,5099
7358196,4999,919,4593
7358246,5004,972,4864
7358296,5004,1005,5030
7358346,5007,1065,5331
7358396,4990,978,4881
7358446,5004,969,4850
7358496,4995,933,4661
7358546,4995,957,4781
7358596,4996,930,4647
7358646,5004,938,4696
7358696,5003,930,4652
7358746,5001,956,4784
7358796,4990,1023,5105
7358846,4995,925,4618
7358896,4994,950,4747
7358946,4991,1006,5021
7358996,5006,986,4938
7359046,4997,969,4844
7359096,4999,929,4642
7359146,4997,934,4667
7359196,5001,994,4970
7359246,5005,933,4672
7359296,5003,944,4725
7359346,4995,954,4767
7359396,5008,933,4676
7359446,4995,977,4877
7359496,4997,941,4706
7359546,5004,962,4814
7359596,4999,944,4719
7359646,4990,1003,5007
7359696,5006,985,4929
7359746,5002,1009,5048
7359796,5003,1056,5287
7359846,5001,975,4878
7359896,4998,1007,5032
7359946,4995,998,4982
7359996,4995,1092,5454
7360046,5004,995,4983
7360096,5003,988,4940
7360146,5007,999,5003
7360196,4999,1081,5400
7360246,5002,1009,5045
7360296,4998,980,4900
7360346,4993,1009,5037
7360396,4994,1006,5026
7360446,4997,1047,5235
7360496,5010,1010,5060
7360546,4995,1011,5050
7360596,5000,981,4906
7360646,4999,1057,5282
7360696,4995,986,4925
7360746,4995,1075,5370
7360796,5000,1064,5322
7360846,4997,1091,5452
7360896,5002,986,4931
7360946,4998,979,4892
7360996,5003,997,4990
7361046,4996,1044,5216
7361096,4993,1048,5235
7361146,4998,970,4847
7361196,4989,1064,5310
7361246,5006,1067,5340
7361296,5001,999,4995
7361346,4998,1079,5395
7361396,5009,1085,5434
7361446,4992,1046,5225
7361496,4994,999,4990
7361546,5000,979,4899
7361596,5007,1050,5258
7361646,5000,986,4934
7361696,5000,1074,5372
7361746,5002,1074,5372
7361796,4999,1022,5109
7361846,4995,1075,5370
7361896,5000,1115,5575
7361946,5007,1013,5073
7361996,5000,1074,5371
7362046,5006,1017,5090
7362096,4999,1019,5094
7362146,4997,1062,5309
7362196,5002,1003,5016
7362246,4998,999,4994
7362296,4990,1086,5418
7362346,5001,1009,5047
7362396,4988,1111,5544
7362446,5007,1086,5437
7362496,5002,969,4849
7362546,4999,970,4849
7362596,4994,999,4987
7362646,5000,1026,5134
7362696,4995,1015,5070
7362746,5002,1000,5000
7362796,4995,1002,5004
7362846,4999,994,4969
7362896,4994,1040,5192
7362946,4994,1075,5371
7362996,4995,1083,5408
7363046,4995,1084,5415
7363096,5000,996,4983
7363146,4998,993,4962
7363196,4997,985,4922
7363246,4988,980,4892
7363296,4998,990,4947
7363346,4994,1002,5003
7363396,5000,1005,5025
7363446,5000,971,4857
7363496,4994,1125,5617
7363546,5006,999,5001
7363596,5005,997,4989
7363646,4994,965,4820
7363696,4998,1021,5105
7363746,4996,1041,5202
7363796,5004,1022,5114
7363846,5006,1040,5204
7363896,4998,1059,5293
7363946,5000,998,4993
7363996,4994,1015,5071
7364046,4995,1043,5208
7364096,4993,994,4963
7364146,4992,1134,5663
7364196,5000,1078,5394
7364246,5002,1034,5174
7364296,4996,987,4935
7364346,4998,975,4872
7364396,5003,998,4992
7364446,4994,1061,5301
7364496,5000,1029,5148
7364546,4996,1000,5000
7364596,5000,1125,5627
7364646,4992,1013,5059
7364696,5002,1044,5224
7364746,5003,1082,5410
7364796,4997,1095,5472
7364846,4997,1029,5141
7364896,4996,993,4963
7364946,4994,985,4918
7364996,5005,1057,5292
7365046,5001,1112,5562
7365096,4993,982,4903
7365146,4995,1031,5150
7365196,5009,1030,5158
7365246,5007,1031,5160
7365296,5006,987,4939
7365346,5003,1007,5040
7365396,5000,993,4966
7365446,4997,1084,5419
7365496,5000,998,4992
7365546,5006,1046,5234
7365596,5005,1026,5135
7365646,4992,1004,5013
7365696,4994,1005,5020
7365746,4993,1116,5573
7365796,4997,982,4908
7365846,5008,1018,5099
7365896,4991,1073,5355
7365946,5002,987,4935
7365996,5004,986,4933
7366046,5005,987,4942
7366096,4998,1068,5339
7366146,5008,1002,5021
7366196,5000,972,4863
7366246,5000,1032,5162
7366296,5000,984,4920
7366346,5005,1130,5657
7366396,4999,977,4885
7366446,4997,1100,5498
7366496,4994,1006,5026
7366546,4998,997,4981
7366596,4995,983,4911
7366646,4994,1043,5210
7366696,5000,1041,5209
7366746,5002,1030,5152
7366796,4994,1000,4994
7366846,5000,986,4930
7366896,4987,1046,5216
7366946,5004,1021,5109
7366996,5002,1049,5248
7367046,5011,1088,5449
7367096,5000,1020,5103
7367146,4992,1037,5179
7367196,5006,1095,5484
7367246,4993,1050,5242
7367296,4997,1008,5037
7367346,4999,1083,5414
7367396,4995,989,4937
7367446,4992,1014,5064
7367496,4993,1088,5435
7367546,4996,1030,5148
7367596,5002,1029,5145
7367646,5000,1040,5200
7367696,4998,1008,5040
7367746,4993,1010,5044
7367796,4998,1000,5000
7367846,4991,1017,5073
7367896,4999,1029,5144
7367946,4995,979,4889
7367996,5006,1025,5132
7368046,5001,1034,5173
7368096,4994,969,4840
7368146,4999,990,4948
7368196,4998,998,4987
7368246,5005,1041,5212
7368296,4998,1094,5466
7368346,4996,1118,5590
7368396,4995,1027,5131
7368446,4992,996,4973
7368496,4995,1030,5144
7368546,4994,1008,5036
7368596,5001,993,4965
7368646,5002,984,4920
7368696,5002,1023,5116
7368746,4996,1071,5355
