time_stamp,voltage,current,power
0007689948,4996.0,537.0,2684.0
0007690048,5003.0,565.0,2829.0
0007690148,5002.0,542.0,2714.0
0007690248,4999.0,528.0,2640.0
0007690348,4995.0,531.0,2651.0
0007690448,5000.0,574.0,2870.0
0007690548,5000.0,526.0,2633.0
0007690648,5002.0,541.0,2706.0
0007690698,4993.0,538.0,2689.0
0007690748,4993.0,540.0,2697.0
0007690798,4993.0,520.0,2600.0
0007690848,5004.0,547.0,2738.0
0007690898,5004.0,567.0,2839.0
0007690948,4995.0,563.0,2811.0
0007690998,5000.0,535.0,2677.0
0007691048,5002.0,536.0,2684.0
0007691098,5007.0,531.0,2659.0
0007691148,4999.0,857.0,4282.0
0007691198,4996.0,907.0,4531.0
0007691248,4997.0,918.0,4587.0
0007691298,4996.0,998.0,4990.0
0007691349,5001.0,1365.0,6827.0
0007691398,4992.0,1286.0,6424.0
0007691448,5000.0,1410.0,7053.0
0007691498,5002.0,1399.0,6996.0
0007691548,4994.0,1271.0,6346.0
0007691598,4991.0,1385.0,6910.0
0007691648,4994.0,1393.0,6957.0
0007691698,4992.0,1393.0,6957.0
0007691748,4992.0,1382.0,6899.0
0007691798,5001.0,1453.0,7266.0
0007691848,4998.0,1397.0,6983.0
0007691898,4998.0,1409.0,7040.0
0007691948,5002.0,1157.0,5785.0
0007691998,5002.0,1291.0,6458.0
0007692048,5000.0,1442.0,7210.0
0007692098,4988.0,1400.0,6988.0
0007692148,5001.0,1402.0,7014.0
0007692198,5000.0,1424.0,7120.0
0007692248,5003.0,1094.0,5474.0
0007692298,4998.0,1218.0,6088.0
0007692348,4995.0,1302.0,6500.0
0007692398,4996.0,1177.0,5885.0
0007692448,5004.0,1327.0,6641.0
0007692498,4986.0,1430.0,7127.0
0007692548,5003.0,1406.0,7039.0
0007692598,5000.0,1441.0,7207.0
0007692648,4992.0,1457.0,7278.0
0007692698,4997.0,1412.0,7055.0
0007692748,4992.0,1454.0,7260.0
0007692798,4997.0,1371.0,6850.0
0007692848,4999.0,1430.0,7147.0
0007692898,5003.0,1412.0,7061.0
0007692948,4990.0,1333.0,6652.0
0007692998,4993.0,1415.0,7064.0
0007693048,4996.0,1109.0,5543.0
0007693098,4989.0,1448.0,7223.0
0007693148,5000.0,1384.0,6921.0
0007693198,4992.0,1414.0,7060.0
0007693248,4992.0,1425.0,7115.0
0007693298,4993.0,1170.0,5843.0
0007693348,5012.0,1159.0,5809.0
0007693398,5002.0,1425.0,7128.0
0007693449,4999.0,1393.0,6960.0
0007693498,5003.0,1362.0,6814.0
0007693548,5000.0,1407.0,7038.0
0007693598,4989.0,1499.0,7482.0
0007693648,5004.0,1486.0,7440.0
0007693698,4987.0,1469.0,7326.0
0007693748,4995.0,1472.0,7353.0
0007693798,4997.0,1471.0,7350.0
0007693848,4992.0,1465.0,7315.0
0007693898,4997.0,1417.0,7084.0
0007693948,4996.0,1452.0,7255.0
0007693998,4998.0,1416.0,7077.0
0007694048,4996.0,1426.0,7126.0
0007694098,4995.0,1469.0,7337.0
0007694148,5000.0,1461.0,7308.0
0007694198,5000.0,1513.0,7569.0
0007694248,4996.0,1485.0,7422.0
0007694298,4995.0,1464.0,7309.0
0007694348,4995.0,1505.0,7516.0
0007694398,4997.0,1517.0,7581.0
0007694448,4991.0,1471.0,7340.0
0007694498,4994.0,1504.0,7510.0
0007694548,5007.0,1391.0,6962.0
0007694598,5002.0,1478.0,7393.0
0007694648,4999.0,1483.0,7410.0
0007694698,4992.0,1477.0,7377.0
0007694748,4999.0,1483.0,7410.0
0007694798,5002.0,1478.0,7390.0
0007694848,4996.0,1493.0,7463.0
0007694898,4996.0,1478.0,7388.0
0007694948,4998.0,1511.0,7553.0
0007694998,4998.0,1516.0,7578.0
0007695048,4991.0,1526.0,7614.0
0007695098,4993.0,1507.0,7528.0
0007695148,5001.0,1491.0,7456.0
0007695198,4993.0,1471.0,7347.0
0007695248,4985.0,1466.0,7307.0
0007695298,5001.0,1493.0,7468.0
0007695348,4998.0,1510.0,7546.0
0007695398,5000.0,1512.0,7562.0
0007695448,4990.0,1524.0,7605.0
0007695498,4995.0,1494.0,7460.0
0007695548,4991.0,1474.0,7356.0
0007695598,4998.0,1495.0,7471.0
0007695648,4992.0,1534.0,7661.0
0007695698,4996.0,1352.0,6757.0
0007695748,4993.0,1527.0,7627.0
0007695798,5003.0,1493.0,7465.0
0007695848,5000.0,1531.0,7655.0
0007695898,4990.0,1463.0,7301.0
0007695948,5003.0,691.0,3461.0
0007695998,5001.0,636.0,3184.0
0007696048,5001.0,632.0,3161.0
0007696098,4994.0,620.0,3097.0
0007696148,5004.0,620.0,3105.0
0007696198,5005.0,623.0,3120.0
0007696248,4997.0,609.0,3044.0
0007696298,4997.0,636.0,3181.0
0007696348,4996.0,647.0,3234.0
0007696398,4995.0,612.0,3057.0
0007696448,5001.0,604.0,3023.0
0007696498,5000.0,621.0,3106.0
0007696548,4995.0,615.0,3070.0
0007696598,5011.0,644.0,3229.0
0007696648,4998.0,547.0,2737.0
0007696698,5001.0,593.0,2965.0
0007696748,5001.0,546.0,2733.0
0007696798,5000.0,560.0,2803.0
0007696848,5000.0,557.0,2785.0
0007696898,4995.0,546.0,2729.0
0007696948,4995.0,549.0,2742.0
0007696998,5002.0,577.0,2885.0
0007697048,5007.0,552.0,2765.0
0007697098,5007.0,549.0,2747.0
0007697148,4994.0,541.0,2701.0
0007697198,4995.0,575.0,2875.0
0007697248,5005.0,532.0,2665.0
0007697298,5003.0,550.0,2751.0
