time_stamp,voltage,current,power
0007725848,5001.0,539.0,2699.0
0007725948,5001.0,525.0,2627.0
0007726048,5000.0,546.0,2733.0
0007726148,4996.0,560.0,2799.0
0007726248,5005.0,556.0,2783.0
0007726348,4997.0,536.0,2679.0
0007726448,4998.0,535.0,2677.0
0007726498,4999.0,540.0,2701.0
0007726548,5000.0,568.0,2843.0
0007726598,5000.0,539.0,2696.0
0007726648,5005.0,527.0,2640.0
0007726698,4999.0,567.0,2834.0
0007726748,4999.0,532.0,2662.0
0007726798,5003.0,552.0,2763.0
0007726848,5007.0,529.0,2651.0
0007726898,4999.0,562.0,2808.0
0007726948,5006.0,864.0,4327.0
0007726998,4999.0,894.0,4468.0
0007727048,5000.0,869.0,4347.0
0007727098,5001.0,1054.0,5271.0
0007727148,4996.0,1019.0,5091.0
0007727198,4992.0,860.0,4297.0
0007727248,5000.0,911.0,4559.0
0007727298,5003.0,895.0,4478.0
0007727348,5002.0,546.0,2734.0
0007727398,5004.0,531.0,2661.0
0007727448,4997.0,570.0,2851.0
0007727498,5005.0,526.0,2634.0
0007727548,4995.0,543.0,2711.0
0007727598,5004.0,538.0,2696.0
0007727648,4997.0,542.0,2712.0
0007727698,4999.0,571.0,2855.0
0007727748,4997.0,542.0,2712.0
0007727798,4998.0,531.0,2656.0
0007727848,5004.0,522.0,2616.0
0007727898,4999.0,537.0,2685.0
0007727948,5009.0,571.0,2860.0
0007727998,5007.0,528.0,2644.0
0007728048,5007.0,532.0,2665.0
0007728098,5005.0,527.0,2638.0
0007728148,5003.0,542.0,2711.0
0007728198,5002.0,535.0,2676.0
0007728248,5000.0,522.0,2613.0
0007728298,4999.0,545.0,2725.0
0007728348,4999.0,515.0,2577.0
0007728398,5005.0,546.0,2734.0
0007728448,4996.0,541.0,2706.0
0007728498,4998.0,553.0,2764.0
0007728548,4997.0,523.0,2616.0
0007728598,5005.0,523.0,2617.0
0007728648,5000.0,521.0,2607.0
0007728698,5005.0,519.0,2598.0
0007728748,4993.0,532.0,2656.0
0007728798,5002.0,527.0,2639.0
0007728848,5005.0,561.0,2809.0
0007728898,5003.0,545.0,2727.0
0007728948,5000.0,536.0,2680.0
