time_stamp,voltage,current,power
0007756248,5006.0,553.0,2769.0
0007756348,5006.0,532.0,2664.0
0007756448,5009.0,519.0,2599.0
0007756548,4999.0,518.0,2592.0
0007756648,5000.0,545.0,2729.0
0007756748,4992.0,529.0,2644.0
0007756848,4994.0,537.0,2683.0
0007756898,4997.0,523.0,2613.0
0007756948,5001.0,559.0,2799.0
0007756998,4997.0,520.0,2600.0
0007757048,4999.0,535.0,2677.0
0007757098,4999.0,525.0,2622.0
0007757148,5006.0,529.0,2647.0
0007757198,4996.0,899.0,4496.0
0007757248,5003.0,940.0,4707.0
0007757298,4998.0,915.0,4576.0
0007757348,4992.0,1020.0,5094.0
0007757398,4997.0,543.0,2713.0
0007757448,5002.0,523.0,2617.0
0007757498,5003.0,553.0,2767.0
0007757548,4996.0,529.0,2643.0
0007757598,4998.0,533.0,2664.0
0007757648,5004.0,528.0,2642.0
0007757698,5000.0,579.0,2899.0
0007757748,4994.0,539.0,2691.0
0007757798,5001.0,571.0,2855.0
0007757848,4997.0,536.0,2678.0
0007757898,5000.0,582.0,2912.0
0007757948,4998.0,532.0,2661.0
0007757998,5000.0,543.0,2715.0
0007758048,5004.0,526.0,2635.0
0007758098,5005.0,559.0,2799.0
0007758148,4998.0,552.0,2761.0
0007758198,5001.0,557.0,2785.0
0007758248,5009.0,562.0,2816.0
0007758298,5002.0,561.0,2806.0
0007758348,4997.0,543.0,2714.0
0007758398,5005.0,534.0,2676.0
0007758448,4996.0,535.0,2676.0
0007758498,4997.0,537.0,2684.0
0007758548,4999.0,543.0,2714.0
0007758598,5002.0,559.0,2796.0
0007758648,4999.0,522.0,2608.0
0007758698,5001.0,575.0,2875.0
0007758748,5002.0,541.0,2706.0
0007758798,5001.0,542.0,2710.0
0007758848,4997.0,543.0,2717.0
