time_stamp,voltage,current,power
0007911298,5002.0,511.0,2559.0
0007911398,5009.0,531.0,2663.0
0007911498,5005.0,539.0,2698.0
0007911598,4997.0,548.0,2740.0
0007911698,5000.0,520.0,2600.0
0007911798,4997.0,542.0,2708.0
0007911898,5000.0,524.0,2624.0
0007911948,5008.0,539.0,2700.0
0007911998,5005.0,542.0,2713.0
0007912048,4999.0,518.0,2591.0
0007912098,4993.0,522.0,2609.0
0007912148,4996.0,523.0,2616.0
0007912198,4998.0,988.0,4938.0
0007912248,4993.0,966.0,4825.0
0007912298,5000.0,1094.0,5472.0
0007912348,4996.0,1071.0,5354.0
0007912398,5000.0,1066.0,5330.0
0007912448,5001.0,1083.0,5417.0
0007912498,5008.0,1079.0,5405.0
0007912548,4995.0,1096.0,5471.0
0007912598,5005.0,1078.0,5395.0
0007912648,5006.0,1102.0,5517.0
0007912698,4996.0,1074.0,5367.0
0007912748,4993.0,1101.0,5496.0
0007912798,4994.0,1097.0,5481.0
0007912848,4992.0,1103.0,5510.0
0007912898,5001.0,1111.0,5556.0
0007912948,5002.0,1125.0,5626.0
0007912998,5006.0,1164.0,5825.0
0007913048,4994.0,1154.0,5765.0
0007913098,4991.0,1141.0,5691.0
0007913148,4994.0,1184.0,5914.0
0007913198,4996.0,1190.0,5949.0
0007913249,4997.0,1094.0,5467.0
0007913298,5001.0,1185.0,5929.0
0007913348,5001.0,1130.0,5651.0
0007913398,4991.0,1153.0,5754.0
0007913448,5004.0,1140.0,5706.0
0007913498,5000.0,1160.0,5800.0
0007913548,5000.0,1168.0,5843.0
0007913598,4997.0,1158.0,5790.0
0007913648,4995.0,1178.0,5885.0
0007913698,4994.0,1200.0,5993.0
0007913748,4997.0,1146.0,5729.0
0007913798,4995.0,1162.0,5803.0
0007913848,4992.0,1183.0,5910.0
0007913898,4996.0,1162.0,5808.0
0007913948,4993.0,1140.0,5691.0
0007913998,5000.0,1149.0,5745.0
0007914048,4992.0,1143.0,5707.0
0007914098,4992.0,1180.0,5894.0
