time_stamp,voltage,current,power
0008020599,5006.0,566.0,2835.0
0008020699,5000.0,532.0,2663.0
0008020799,5003.0,545.0,2731.0
0008020899,5006.0,547.0,2739.0
0008020999,4997.0,522.0,2608.0
0008021099,5000.0,531.0,2659.0
0008021199,5003.0,515.0,2580.0
0008021249,5000.0,562.0,2814.0
0008021299,4999.0,530.0,2649.0
0008021349,5001.0,534.0,2671.0
0008021399,5002.0,521.0,2606.0
0008021449,5000.0,518.0,2592.0
0008021499,5006.0,560.0,2804.0
0008021549,5000.0,513.0,2566.0
0008021599,5002.0,510.0,2551.0
0008021649,4996.0,559.0,2793.0
0008021699,5007.0,538.0,2698.0
0008021749,5002.0,549.0,2749.0
0008021799,5001.0,557.0,2787.0
0008021849,5005.0,551.0,2757.0
0008021899,5003.0,549.0,2751.0
0008021949,5008.0,517.0,2589.0
0008021999,4995.0,859.0,4290.0
0008022049,5001.0,879.0,4398.0
0008022099,5005.0,861.0,4310.0
0008022149,5000.0,981.0,4905.0
0008022199,4993.0,1011.0,5050.0
0008022249,4995.0,1016.0,5072.0
0008022299,4989.0,1030.0,5142.0
0008022349,4999.0,1021.0,5104.0
0008022399,4995.0,1001.0,4998.0
0008022449,4997.0,1049.0,5241.0
0008022499,4996.0,1037.0,5185.0
0008022549,4998.0,1025.0,5121.0
0008022599,5006.0,991.0,4958.0
0008022649,5000.0,1011.0,5055.0
0008022699,4994.0,1021.0,5101.0
0008022749,4995.0,1007.0,5030.0
0008022799,4998.0,1015.0,5074.0
0008022849,4995.0,1019.0,5089.0
0008022899,4995.0,1021.0,5100.0
0008022949,5001.0,1060.0,5300.0
0008022999,4998.0,1024.0,5118.0
0008023049,4994.0,1007.0,5031.0
0008023099,4994.0,1007.0,5030.0
0008023149,5000.0,1017.0,5087.0
0008023199,5000.0,1018.0,5093.0
0008023249,4998.0,1048.0,5239.0
0008023299,4997.0,1019.0,5094.0
0008023349,5002.0,1018.0,5092.0
0008023399,4992.0,1086.0,5425.0
0008023450,4996.0,1071.0,5353.0
0008023499,5001.0,1110.0,5554.0
0008023549,4994.0,1062.0,5301.0
0008023599,4990.0,1086.0,5421.0
0008023649,4991.0,1104.0,5511.0
0008023699,5004.0,1072.0,5367.0
0008023749,4995.0,1081.0,5400.0
0008023799,5003.0,1071.0,5363.0
0008023849,4999.0,1084.0,5416.0
0008023899,4998.0,1100.0,5499.0
0008023949,4997.0,1128.0,5638.0
0008023999,5003.0,1074.0,5371.0
0008024049,4993.0,1081.0,5398.0
0008024099,5003.0,1078.0,5395.0
0008024149,4993.0,1085.0,5418.0
0008024199,4994.0,1086.0,5425.0
0008024249,5000.0,1079.0,5396.0
0008024299,4995.0,1076.0,5372.0
0008024349,5000.0,1086.0,5430.0
0008024399,4999.0,1097.0,5480.0
0008024449,4995.0,1089.0,5441.0
0008024499,4996.0,1113.0,5565.0
0008024549,5006.0,1092.0,5466.0
0008024599,5002.0,1077.0,5387.0
0008024649,5000.0,1124.0,5624.0
0008024699,5001.0,1115.0,5576.0
