time_stamp,voltage,current,power
9035456,4996,876,4380
9035506,4995,914,4564
9035556,4994,894,4466
9035606,4998,895,4473
9035656,5007,888,4447
9035706,4994,894,4463
9035756,4991,900,4491
9035806,5000,911,4556
9035856,4996,891,4451
9035906,4996,891,4452
9035956,5005,903,4519
9036006,4997,892,4461
9036056,5001,884,4421
9036106,4993,892,4455
9036156,4995,878,4384
9036206,5005,910,4558
9036256,4997,888,4440
9036306,5000,883,4416
9036356,4993,880,4397
9036406,5005,917,4591
9036456,5000,878,4393
9036506,5004,886,4434
9036556,5004,934,4677
9036606,5004,907,4543
9036656,4998,913,4562
9036706,5000,905,4528
9036756,5000,880,4400
9036806,5002,900,4503
9036856,5006,890,4457
9036906,4998,904,4518
9036956,5002,970,4851
9037006,4997,902,4509
9037056,4996,898,4490
9037106,4998,899,4496
9037156,5000,945,4727
9037206,5003,913,4567
9037256,4999,924,4621
9037306,4996,904,4519
9037356,5000,902,4511
9037406,4998,918,4589
9037456,4991,880,4389
9037506,5001,906,4533
9037556,5001,891,4457
9037606,5004,884,4424
9037656,4995,909,4538
9037706,5002,915,4577
9037756,4996,886,4429
9037806,5002,901,4505
9037856,5001,894,4473
9037906,5001,893,4467
9037956,4996,1138,5686
9038006,4996,910,4548
9038056,4998,932,4658
9038106,4993,916,4573
9038156,5002,886,4434
9038206,4996,888,4437
9038256,4995,907,4531
9038306,5005,899,4500
9038356,5002,890,4450
9038406,4996,892,4460
9038456,4988,945,4717
9038506,4994,919,4588
9038556,5002,915,4579
9038606,5001,898,4493
9038656,5001,910,4553
9038706,4999,891,4455
9038756,4990,932,4653
9038806,5002,914,4572
9038856,4997,913,4562
9038906,5007,899,4502
9038956,4999,940,4700
9039006,5003,900,4507
9039056,4999,891,4451
9039106,5005,898,4493
9039156,4992,910,4547
9039206,5006,926,4635
9039256,4998,938,4689
9039306,4989,899,4487
9039356,4995,932,4654
9039406,5007,881,4411
9039456,5003,884,4426
9039506,5002,915,4575
9039556,5001,908,4543
9039606,4997,897,4485
9039656,5005,943,4720
9039706,4992,891,4450
9039756,5007,944,4725
9039806,4992,930,4646
9039856,4993,911,4552
9039906,4993,896,4477
9039956,4998,922,4610
9040006,4995,917,4581
9040056,4999,906,4530
9040106,5000,933,4666
9040156,5002,913,4565
9040206,4997,929,4646
9040256,4993,937,4679
9040306,5007,931,4664
9040356,5002,914,4572
9040406,5003,940,4702
9040456,4996,907,4533
9040506,5000,897,4486
9040556,5002,897,4489
9040606,4999,912,4556
9040656,4998,970,4847
9040706,4994,947,4730
9040756,4996,948,4737
9040806,5000,914,4571
9040856,5004,951,4763
9040906,5002,920,4600
9040956,4999,910,4548
9041006,5003,916,4582
9041056,5000,897,4488
9041106,5000,941,4708
9041156,5004,888,4448
9041206,5001,927,4639
9041256,4997,901,4504
9041306,5003,926,4632
9041356,4999,938,4686
9041406,5001,917,4588
9041456,4997,912,4560
9041506,5001,929,4645
9041556,5002,919,4595
9041606,5007,916,4587
9041656,5007,892,4469
9041706,5003,938,4694
9041756,5000,906,4531
9041806,5008,912,4571
9041856,5003,916,4585
9041906,5010,922,4617
9041956,4996,955,4771
9042006,5007,903,4524
9042056,4994,927,4628
9042106,4989,915,4567
9042156,5002,943,4715
9042206,5002,908,4543
9042256,4998,908,4537
9042306,5000,919,4595
9042356,5003,916,4583
9042406,4995,921,4599
9042456,5003,951,4757
9042506,4995,906,4526
9042556,4995,906,4525
9042606,4994,914,4565
9042656,4993,885,4422
9042706,5006,937,4692
9042756,5012,933,4678
9042806,5008,939,4704
9042856,4994,949,4740
9042906,5000,901,4505
9042956,4995,944,4716
9043006,4999,925,4624
9043056,4996,920,4600
9043106,5001,894,4471
9043156,4995,946,4724
9043206,4992,907,4530
9043256,4992,941,4698
9043306,5000,900,4501
9043356,5004,936,4687
9043406,5006,925,4629
9043456,4995,925,4621
9043506,4998,897,4482
9043556,5006,937,4692
9043606,4998,939,4692
9043656,5000,938,4694
9043706,4993,955,4768
9043756,4992,908,4536
9043806,5000,906,4533
9043856,4993,919,4592
9043906,4996,904,4520
9043956,5004,949,4752
9044006,5002,943,4717
9044056,5001,984,4924
9044106,5004,959,4803
9044156,5003,953,4773
9044206,5006,883,4422
9044256,4999,914,4567
9044306,4991,912,4552
9044356,5002,935,4679
9044406,5005,920,4605
9044456,4996,1001,5004
9044506,4995,938,4687
9044556,4998,993,4965
9044606,4995,963,4808
9044656,4998,988,4940
9044706,4997,944,4717
9044756,5001,994,4974
9044806,4998,947,4733
9044856,4998,1001,5001
9044906,4993,967,4827
9044956,5003,1036,5181
9045006,5002,1001,5007
9045056,4998,999,4992
9045106,5000,960,4803
9045156,5002,969,4848
9045206,4998,980,4899
9045256,4997,954,4767
9045306,4999,962,4810
9045356,4990,969,4837
9045406,5000,967,4838
9045456,4996,990,4947
9045506,5003,987,4938
9045556,5005,958,4798
9045606,5009,975,4884
9045656,4995,972,4853
9045706,5002,952,4760
9045756,5008,970,4860
