time_stamp,voltage,current,power
0009121206,4997.0,569.0,2845.0
0009121306,4995.0,533.0,2663.0
0009121406,5004.0,532.0,2666.0
0009121506,5009.0,524.0,2628.0
0009121606,4995.0,533.0,2663.0
0009121706,4997.0,533.0,2667.0
0009121806,5004.0,564.0,2822.0
0009121856,5001.0,540.0,2702.0
0009121906,5004.0,528.0,2646.0
0009121956,5006.0,533.0,2667.0
0009122006,5003.0,570.0,2853.0
0009122056,5008.0,539.0,2699.0
0009122106,5005.0,523.0,2621.0
0009122156,5003.0,883.0,4422.0
0009122206,5001.0,883.0,4419.0
0009122256,5000.0,1157.0,5788.0
0009122306,4991.0,1164.0,5810.0
0009122356,4995.0,1188.0,5932.0
0009122406,4997.0,1223.0,6110.0
0009122456,5000.0,1213.0,6068.0
0009122506,5000.0,1152.0,5764.0
0009122556,5000.0,1127.0,5635.0
0009122606,4993.0,1073.0,5357.0
0009122656,5002.0,994.0,4973.0
0009122706,5003.0,968.0,4848.0
0009122756,5004.0,971.0,4860.0
0009122806,5004.0,975.0,4879.0
0009122856,4996.0,997.0,4982.0
0009122906,5001.0,984.0,4922.0
0009122956,4997.0,935.0,4676.0
0009123006,4993.0,958.0,4784.0
0009123056,4990.0,973.0,4854.0
0009123106,5000.0,976.0,4884.0
0009123156,5006.0,928.0,4648.0
0009123206,5011.0,967.0,4845.0
0009123256,4997.0,956.0,4777.0
0009123306,4998.0,937.0,4682.0
0009123356,4993.0,1001.0,4998.0
0009123406,5001.0,912.0,4564.0
0009123456,4999.0,914.0,4568.0
0009123506,5002.0,923.0,4619.0
0009123556,4998.0,923.0,4613.0
0009123606,5008.0,936.0,4688.0
0009123656,5002.0,918.0,4594.0
0009123706,5005.0,978.0,4894.0
0009123756,5003.0,970.0,4855.0
0009123806,5000.0,925.0,4629.0
0009123856,5000.0,925.0,4625.0
0009123906,4994.0,942.0,4706.0
0009123956,5002.0,946.0,4730.0
0009124006,4992.0,1001.0,5001.0
0009124056,5002.0,907.0,4538.0
0009124106,5007.0,942.0,4720.0
0009124156,5002.0,985.0,4928.0
0009124206,5007.0,933.0,4673.0
0009124256,5008.0,1003.0,5025.0
0009124306,5008.0,893.0,4476.0
0009124356,5004.0,937.0,4689.0
0009124406,5000.0,947.0,4737.0
0009124456,5000.0,927.0,4639.0
0009124506,5001.0,976.0,4880.0
0009124556,5003.0,977.0,4890.0
0009124606,5010.0,963.0,4823.0
0009124656,4994.0,942.0,4704.0
0009124706,4995.0,894.0,4467.0
0009124756,4997.0,883.0,4414.0
0009124806,4996.0,956.0,4778.0
0009124856,5002.0,943.0,4718.0
0009124906,5002.0,957.0,4785.0
0009124956,4998.0,959.0,4792.0
0009125006,4999.0,986.0,4928.0
0009125056,4996.0,895.0,4471.0
0009125106,4998.0,976.0,4881.0
0009125156,5002.0,885.0,4425.0
0009125206,5000.0,940.0,4700.0
0009125256,4993.0,990.0,4943.0
0009125306,4993.0,897.0,4482.0
0009125356,4998.0,960.0,4796.0
0009125406,4999.0,910.0,4549.0
0009125456,4993.0,937.0,4680.0
0009125506,4997.0,924.0,4616.0
0009125556,4992.0,981.0,4897.0
0009125606,5008.0,915.0,4586.0
0009125656,4989.0,894.0,4460.0
0009125706,4997.0,989.0,4945.0
0009125756,4994.0,924.0,4617.0
0009125806,5003.0,901.0,4511.0
0009125856,4997.0,902.0,4509.0
0009125906,5002.0,899.0,4495.0
0009125956,4996.0,942.0,4709.0
0009126006,5000.0,893.0,4466.0
0009126056,4997.0,974.0,4868.0
0009126106,4994.0,942.0,4706.0
0009126156,4992.0,938.0,4687.0
0009126206,5000.0,945.0,4728.0
0009126256,5003.0,949.0,4750.0
0009126306,4995.0,912.0,4553.0
0009126356,4997.0,939.0,4696.0
0009126406,4994.0,901.0,4501.0
0009126456,5005.0,907.0,4539.0
0009126506,4999.0,974.0,4867.0
0009126556,5000.0,919.0,4595.0
0009126606,5001.0,939.0,4697.0
0009126656,4999.0,899.0,4492.0
0009126706,4994.0,926.0,4625.0
0009126756,5000.0,897.0,4489.0
0009126806,5006.0,891.0,4462.0
0009126856,5001.0,954.0,4774.0
0009126906,4994.0,913.0,4562.0
0009126956,5002.0,954.0,4773.0
0009127006,4992.0,976.0,4875.0
0009127056,4998.0,1011.0,5052.0
0009127106,5002.0,930.0,4652.0
0009127156,4999.0,905.0,4525.0
0009127206,5002.0,875.0,4375.0
0009127256,4996.0,915.0,4572.0
0009127306,4995.0,929.0,4642.0
0009127356,4995.0,896.0,4475.0
0009127406,5003.0,899.0,4502.0
0009127456,5001.0,964.0,4821.0
0009127506,5008.0,913.0,4575.0
0009127556,5002.0,962.0,4812.0
0009127606,5007.0,894.0,4474.0
0009127656,4989.0,911.0,4546.0
0009127706,4993.0,967.0,4830.0
0009127756,4995.0,947.0,4727.0
0009127806,5003.0,991.0,4959.0
0009127856,5002.0,905.0,4526.0
0009127906,4996.0,884.0,4418.0
0009127956,4997.0,953.0,4762.0
0009128006,5005.0,905.0,4530.0
0009128056,5002.0,940.0,4704.0
0009128106,5000.0,987.0,4935.0
0009128156,5006.0,903.0,4523.0
0009128206,5007.0,942.0,4720.0
0009128256,4991.0,973.0,4858.0
0009128306,4995.0,920.0,4595.0
0009128356,4995.0,996.0,4974.0
0009128406,5000.0,903.0,4516.0
0009128456,4999.0,904.0,4521.0
0009128506,4997.0,986.0,4928.0
0009128556,4992.0,907.0,4529.0
0009128606,5009.0,957.0,4793.0
0009128656,5000.0,1054.0,5270.0
0009128706,5001.0,951.0,4756.0
0009128756,4993.0,1036.0,5172.0
0009128806,5008.0,957.0,4793.0
0009128856,4998.0,956.0,4780.0
0009128906,5003.0,988.0,4942.0
0009128956,5000.0,999.0,4999.0
0009129006,5001.0,971.0,4857.0
0009129056,4996.0,969.0,4843.0
0009129106,5004.0,948.0,4744.0
0009129156,5007.0,997.0,4996.0
0009129206,5002.0,983.0,4917.0
0009129256,4997.0,991.0,4954.0
0009129306,4998.0,974.0,4868.0
0009129356,5003.0,979.0,4900.0
0009129406,4996.0,1057.0,5284.0
0009129456,4991.0,1047.0,5226.0
0009129506,4991.0,983.0,4904.0
0009129556,5004.0,1038.0,5198.0
0009129606,5003.0,977.0,4891.0
0009129656,4998.0,946.0,4730.0
0009129706,4998.0,956.0,4778.0
0009129756,4994.0,953.0,4762.0
0009129806,4998.0,1045.0,5223.0
0009129856,5004.0,937.0,4689.0
0009129906,4999.0,1006.0,5029.0
0009129956,5004.0,956.0,4784.0
0009130006,5004.0,1025.0,5130.0
0009130056,4992.0,1055.0,5271.0
0009130106,4997.0,985.0,4924.0
0009130156,5000.0,1003.0,5015.0
0009130206,5005.0,1003.0,5018.0
0009130256,4996.0,1019.0,5095.0
0009130306,4990.0,946.0,4720.0
0009130356,5001.0,1045.0,5227.0
0009130406,5006.0,979.0,4902.0
0009130456,5002.0,981.0,4908.0
0009130506,5001.0,958.0,4791.0
0009130556,4998.0,990.0,4949.0
0009130606,5001.0,975.0,4877.0
0009130656,5001.0,956.0,4784.0
0009130706,5006.0,982.0,4914.0
0009130756,4995.0,1021.0,5101.0
0009130806,4998.0,1001.0,5004.0
0009130856,5005.0,958.0,4798.0
0009130906,5001.0,977.0,4886.0
0009130956,4997.0,950.0,4747.0
0009131006,4998.0,940.0,4699.0
0009131056,4994.0,943.0,4711.0
0009131106,5007.0,971.0,4860.0
0009131156,4998.0,947.0,4734.0
0009131206,5010.0,936.0,4688.0
0009131256,5001.0,1007.0,5039.0
0009131306,5009.0,987.0,4943.0
0009131356,5003.0,983.0,4915.0
0009131406,5000.0,968.0,4842.0
0009131456,5000.0,1001.0,5006.0
0009131506,4998.0,969.0,4842.0
0009131556,5000.0,1048.0,5241.0
0009131606,4997.0,962.0,4806.0
0009131656,4993.0,1096.0,5475.0
0009131706,4993.0,954.0,4764.0
0009131756,5001.0,970.0,4854.0
0009131806,4999.0,982.0,4911.0
0009131856,4993.0,994.0,4966.0
0009131906,5004.0,1030.0,5157.0
0009131956,4992.0,958.0,4786.0
0009132006,5001.0,942.0,4710.0
0009132056,4996.0,944.0,4716.0
0009132106,4997.0,1034.0,5166.0
0009132156,4994.0,947.0,4730.0
0009132206,5003.0,963.0,4820.0
0009132256,5000.0,949.0,4748.0
0009132306,5004.0,1015.0,5079.0
0009132356,5003.0,1055.0,5283.0
0009132406,5004.0,947.0,4739.0
0009132456,4999.0,980.0,4900.0
0009132506,5003.0,965.0,4828.0
0009132556,4999.0,1075.0,5375.0
0009132607,4998.0,967.0,4833.0
0009132656,5003.0,964.0,4828.0
0009132706,4994.0,963.0,4807.0
0009132756,4998.0,955.0,4771.0
0009132806,5003.0,976.0,4882.0
0009132856,5007.0,1063.0,5323.0
0009132906,4999.0,1003.0,5013.0
0009132956,5000.0,961.0,4808.0
0009133006,4998.0,950.0,4746.0
0009133056,4993.0,1016.0,5075.0
0009133106,4990.0,1043.0,5203.0
0009133156,5004.0,1020.0,5106.0
0009133206,5000.0,1035.0,5178.0
0009133256,4991.0,952.0,4752.0
0009133306,4995.0,974.0,4865.0
0009133356,4989.0,967.0,4827.0
0009133406,4989.0,932.0,4651.0
0009133456,5004.0,1015.0,5083.0
0009133506,5004.0,963.0,4821.0
0009133556,5002.0,984.0,4923.0
0009133606,4994.0,949.0,4741.0
0009133656,5009.0,970.0,4859.0
0009133706,5005.0,977.0,4889.0
0009133756,5006.0,1023.0,5123.0
0009133806,5005.0,984.0,4926.0
0009133856,5004.0,992.0,4967.0
0009133906,5003.0,1052.0,5261.0
0009133956,5001.0,1074.0,5370.0
0009134006,5007.0,968.0,4848.0
0009134056,4999.0,1073.0,5362.0
0009134106,5000.0,951.0,4759.0
0009134156,4991.0,939.0,4686.0
0009134206,5002.0,994.0,4974.0
0009134256,4997.0,1027.0,5134.0
0009134306,4991.0,1041.0,5194.0
0009134356,4994.0,976.0,4876.0
0009134406,5000.0,963.0,4816.0
0009134456,5001.0,1040.0,5204.0
0009134506,4995.0,1037.0,5181.0
0009134556,4998.0,979.0,4894.0
0009134606,4994.0,976.0,4875.0
0009134656,5005.0,979.0,4898.0
0009134706,5005.0,1014.0,5078.0
0009134756,5000.0,1069.0,5345.0
0009134806,4997.0,985.0,4923.0
0009134856,5008.0,967.0,4846.0
0009134906,5000.0,1077.0,5389.0
0009134956,4996.0,1041.0,5204.0
0009135006,5001.0,953.0,4768.0
0009135056,5005.0,992.0,4967.0
0009135106,5003.0,965.0,4825.0
0009135156,5008.0,962.0,4820.0
0009135206,5010.0,1090.0,5462.0
0009135256,4989.0,942.0,4699.0
0009135306,5000.0,991.0,4957.0
0009135356,4991.0,996.0,4970.0
0009135406,5001.0,950.0,4750.0
0009135456,5003.0,972.0,4860.0
0009135506,4995.0,1011.0,5051.0
0009135556,5001.0,960.0,4802.0
0009135606,5004.0,955.0,4782.0
0009135656,5006.0,1071.0,5360.0
0009135706,4996.0,1060.0,5298.0
0009135756,4999.0,966.0,4830.0
0009135806,4990.0,942.0,4701.0
0009135856,5000.0,1044.0,5220.0
0009135906,4996.0,1020.0,5098.0
0009135956,5002.0,1004.0,5023.0
0009136006,5001.0,962.0,4812.0
