time_stamp,voltage,current,power
0006873146,5002.0,558.0,2791.0
0006873246,4999.0,532.0,2662.0
0006873346,5003.0,565.0,2830.0
0006873446,5003.0,554.0,2771.0
0006873546,5003.0,517.0,2585.0
0006873646,4999.0,529.0,2644.0
0006873746,5002.0,548.0,2742.0
0006873796,5011.0,556.0,2786.0
0006873846,5001.0,529.0,2647.0
0006873896,4995.0,545.0,2724.0
0006873946,4995.0,535.0,2673.0
0006873996,5007.0,543.0,2720.0
0006874046,5001.0,561.0,2807.0
0006874096,5006.0,534.0,2672.0
0006874146,4995.0,522.0,2606.0
0006874196,5006.0,548.0,2742.0
0006874246,5003.0,520.0,2600.0
0006874296,5001.0,544.0,2723.0
0006874346,5000.0,535.0,2678.0
0006874396,4997.0,542.0,2711.0
0006874446,4997.0,549.0,2743.0
0006874496,4995.0,525.0,2621.0
0006874546,5000.0,530.0,2654.0
0006874596,4999.0,550.0,2751.0
0006874646,5005.0,532.0,2663.0
0006874696,4998.0,528.0,2638.0
0006874746,5000.0,524.0,2621.0
0006874796,4999.0,529.0,2643.0
0006874846,4999.0,526.0,2630.0
0006874896,4999.0,546.0,2732.0
0006874946,4996.0,571.0,2857.0
0006874996,5006.0,538.0,2694.0
0006875046,4994.0,542.0,2706.0
0006875096,5003.0,558.0,2795.0
0006875146,4997.0,573.0,2866.0
0006875196,4992.0,545.0,2725.0
0006875246,5003.0,550.0,2754.0
0006875296,5000.0,535.0,2678.0
0006875346,5005.0,539.0,2700.0
0006875396,5003.0,528.0,2643.0
0006875446,4999.0,519.0,2592.0
0006875496,4997.0,543.0,2713.0
0006875546,5000.0,522.0,2613.0
0006875596,5001.0,532.0,2660.0
0006875646,5006.0,536.0,2682.0
0006875696,4996.0,541.0,2705.0
0006875746,5005.0,553.0,2770.0
0006875796,4995.0,538.0,2688.0
0006875846,4998.0,537.0,2682.0
0006875896,4998.0,541.0,2706.0
0006875946,5005.0,904.0,4526.0
0006875996,5000.0,924.0,4620.0
0006876046,4995.0,897.0,4478.0
0006876096,5000.0,1099.0,5495.0
0006876146,5000.0,553.0,2766.0
0006876196,5000.0,547.0,2735.0
0006876246,4994.0,531.0,2651.0
0006876296,4998.0,561.0,2806.0
0006876346,5001.0,542.0,2711.0
0006876396,5009.0,579.0,2903.0
0006876446,4998.0,545.0,2723.0
0006876496,4999.0,536.0,2681.0
0006876546,4998.0,580.0,2899.0
0006876596,4997.0,526.0,2632.0
0006876646,4998.0,525.0,2625.0
0006876696,5000.0,545.0,2728.0
0006876746,4996.0,532.0,2661.0
0006876796,4994.0,547.0,2733.0
0006876846,4998.0,555.0,2774.0
0006876896,4998.0,561.0,2806.0
0006876946,4994.0,546.0,2728.0
0006876996,4994.0,531.0,2655.0
0006877046,5009.0,568.0,2848.0
0006877096,5004.0,562.0,2814.0
0006877146,5005.0,559.0,2802.0
0006877196,5001.0,517.0,2589.0
0006877246,5006.0,556.0,2786.0
0006877296,5000.0,530.0,2650.0
0006877346,5010.0,527.0,2643.0
0006877396,4994.0,539.0,2695.0
0006877446,4998.0,568.0,2839.0
0006877496,4998.0,532.0,2658.0
0006877546,5000.0,522.0,2611.0
