time_stamp,voltage,current,power
7475696,4997,889,4446
7475746,4999,891,4455
7475796,4997,901,4505
7475846,5000,1083,5419
7475896,5003,1082,5416
7475946,4997,1064,5320
7475996,4994,1094,5465
7476046,5003,1066,5338
7476096,4998,1083,5413
7476146,4997,1073,5361
7476196,5005,1093,5474
7476246,5000,1115,5579
7476296,4997,1146,5728
7476346,5003,1179,5895
7476396,4999,1183,5913
7476446,4996,1165,5822
7476496,4997,1139,5691
7476546,4992,1190,5945
7476596,5001,1153,5768
7476646,4991,1145,5715
7476696,4998,1134,5668
7476746,5004,1148,5746
7476796,4997,1156,5775
7476846,4998,1157,5785
7476896,4996,1197,5981
7476946,4992,1159,5787
7476996,4999,1191,5952
7477046,4994,1180,5892
7477096,4993,1197,5977
7477146,5003,1189,5945
7477196,5000,1169,5846
7477246,4995,1165,5820
7477296,4994,1152,5754
7477346,4999,1141,5705
7477396,4995,1202,6001
7477446,4992,1144,5714
7477496,4992,1157,5778
7477546,4999,1148,5736
7477596,5001,1162,5812
7477646,5001,1202,6010
7477696,4994,1160,5792
7477746,4999,1175,5874
7477796,4998,1197,5984
7477846,4992,1186,5924
7477896,4995,1149,5736
7477946,4993,1185,5916
7477996,4997,1160,5795
7478046,4998,1150,5750
7478096,4996,1178,5889
7478146,5004,1167,5843
7478196,5003,1169,5848
7478246,4995,1158,5784
7478296,5000,1173,5867
7478346,4996,1191,5954
7478396,4995,1159,5790
7478446,5002,1164,5821
7478496,4990,1180,5886
7478546,4988,1183,5902
7478596,4994,1183,5906
7478646,5000,1175,5875
7478696,4997,1171,5852
7478746,4992,1172,5854
7478796,4996,1225,6124
7478846,4999,1167,5831
7478896,5005,1186,5935
7478946,4991,1209,6033
7478996,4993,1179,5886
7479046,4994,1219,6088
7479096,4995,1171,5846
7479146,4995,1179,5888
7479196,5000,1196,5982
7479246,5002,1174,5874
7479296,5003,1190,5959
7479346,4996,639,3193
7479396,4997,616,3082
7479446,4993,632,3156
7479496,5003,629,3148
7479546,5007,608,3048
7479596,5010,603,3019
