time_stamp,voltage,current,power
0007514396,5007.0,520.0,2603.0
0007514496,5004.0,551.0,2758.0
0007514596,4999.0,538.0,2691.0
0007514696,5008.0,565.0,2829.0
0007514796,5003.0,557.0,2789.0
0007514896,4993.0,520.0,2600.0
0007514996,5002.0,526.0,2634.0
0007515046,5001.0,533.0,2668.0
0007515096,4999.0,529.0,2645.0
0007515146,4997.0,557.0,2784.0
0007515196,4996.0,530.0,2649.0
0007515246,5004.0,867.0,4338.0
0007515296,5004.0,533.0,2668.0
0007515346,5010.0,549.0,2749.0
0007515396,5003.0,550.0,2752.0
0007515446,5003.0,531.0,2658.0
0007515496,5012.0,569.0,2851.0
0007515546,5002.0,567.0,2835.0
0007515596,4999.0,549.0,2744.0
0007515646,5000.0,517.0,2587.0
0007515696,5000.0,547.0,2736.0
0007515746,4997.0,532.0,2658.0
0007515796,5005.0,526.0,2636.0
0007515846,4999.0,548.0,2741.0
0007515896,5003.0,558.0,2794.0
0007515946,4998.0,540.0,2701.0
0007515996,5007.0,520.0,2605.0
0007516046,4996.0,539.0,2693.0
0007516096,4994.0,534.0,2668.0
0007516146,4998.0,518.0,2592.0
0007516196,5000.0,561.0,2809.0
0007516246,4998.0,532.0,2659.0
0007516296,4993.0,540.0,2696.0
0007516346,5008.0,530.0,2657.0
0007516396,4995.0,520.0,2597.0
0007516446,5000.0,541.0,2709.0
0007516496,4991.0,534.0,2667.0
0007516546,5002.0,521.0,2606.0
