time_stamp,voltage,current,power
7551598,5002,864,4324
7551648,4997,864,4320
7551698,4997,877,4384
7551748,5004,1222,6118
7551798,5001,1216,6082
7551848,4997,1216,6078
7551898,5000,1218,6094
7551948,5002,1147,5738
7551998,5005,1186,5937
7552048,4993,1188,5933
7552098,4994,1235,6166
7552148,5004,1235,6184
7552198,4994,1288,6431
7552248,4990,1253,6251
7552298,4993,1225,6117
7552348,4989,1237,6171
7552398,4987,1233,6149
7552448,4996,1295,6472
7552498,4994,1231,6148
7552548,4988,1316,6566
7552598,4993,1270,6341
7552648,4992,1179,5886
7552698,5002,1298,6491
7552748,4992,1303,6507
7552798,5001,1319,6599
7552848,4994,1232,6151
7552898,4998,1292,6459
7552948,4999,1273,6363
7552998,5001,1270,6354
7553048,4994,1269,6339
7553098,4995,1286,6421
7553148,4997,1294,6467
7553198,4996,1255,6271
7553248,4997,1306,6525
7553298,4991,1287,6422
7553348,5005,1199,6001
7553398,4999,1262,6307
7553448,4992,1293,6457
7553498,4993,1330,6643
7553548,5002,1254,6271
7553598,4997,1304,6519
7553648,5001,1310,6554
7553698,5003,1188,5949
7553748,4991,1287,6422
7553798,5000,1316,6580
7553848,4989,1331,6640
7553898,4998,1276,6375
7553948,4995,1308,6531
7553998,5001,1277,6386
7554048,4994,1227,6128
7554098,4997,1266,6325
7554148,4996,1276,6379
7554198,5000,1336,6684
7554248,4988,1256,6265
7554298,5007,1349,6751
7554348,4992,1280,6392
7554398,4999,1271,6351
7554448,4996,1313,6564
7554498,4997,1313,6563
7554548,4989,1283,6403
7554598,4997,1315,6572
7554648,4999,1328,6638
7554698,4997,1286,6429
7554748,4990,1203,6000
7554798,4991,1285,6412
7554848,4991,1228,6130
7554898,4995,1305,6517
7554948,4999,1267,6332
7554998,4989,1359,6781
7555048,4988,1276,6367
7555098,4993,1327,6625
7555148,4993,1286,6424
7555198,5000,1313,6569
7555248,4995,1309,6535
7555298,4998,1301,6500
7555348,4992,1330,6643
7555398,5009,1339,6707
7555448,5007,1218,6096
7555498,5001,1292,6460
7555548,5002,1290,6450
7555598,4999,1302,6508
7555648,4989,1280,6388
7555698,4990,1318,6579
7555748,4995,1314,6563
7555798,4997,1211,6053
7555848,5002,1291,6457
7555898,4996,1272,6357
7555948,4999,1348,6737
7555998,4996,1323,6610
7556048,5000,1316,6584
7556098,4991,1280,6387
7556148,4995,1333,6655
7556198,5000,1295,6477
7556248,4993,1222,6103
7556298,5000,1321,6609
7556348,5003,1310,6551
7556398,4990,1333,6649
7556448,4998,1273,6360
7556498,4998,1259,6293
7556548,4993,1289,6438
7556598,4999,1268,6337
7556648,5000,1290,6451
7556698,4996,1286,6426
7556748,4994,1323,6604
7556798,5007,1326,6636
7556848,4989,1321,6593
7556898,4991,1310,6536
7556948,5001,1313,6566
7556998,4996,1320,6595
7557048,5000,1276,6381
7557098,5003,1369,6854
7557148,4995,1280,6393
7557198,4991,1215,6064
7557248,4994,1324,6610
7557298,5002,1324,6622
7557348,4999,1333,6660
7557398,5000,1293,6465
7557448,4998,1350,6745
7557498,4991,1292,6447
7557548,5005,1354,6780
7557598,5005,1258,6298
7557648,4994,1314,6564
7557698,4989,1336,6666
7557748,4997,1307,6533
7557798,4988,1343,6701
7557848,4997,1287,6434
7557898,4997,1212,6056
7557948,5000,1328,6643
7557998,5006,1277,6390
7558048,5000,1306,6532
7558098,5002,1295,6479
7558148,4998,1367,6831
7558198,4999,1335,6673
7558248,4996,1342,6709
7558298,4994,1338,6681
7558348,5000,1370,6853
7558398,4996,1357,6783
7558448,4996,1291,6450
7558498,4990,1340,6687
7558548,4998,1287,6431
7558598,4996,1285,6422
7558648,5000,1326,6633
7558698,5001,1297,6489
7558748,5005,1328,6649
7558798,4996,1306,6527
7558848,4989,1323,6603
7558898,4993,1345,6718
7558948,5001,1338,6694
7558998,4989,1283,6400
7559048,5000,1314,6572
7559098,5002,1327,6637
7559148,4998,1332,6658
7559198,4997,1339,6693
7559248,4992,1293,6457
7559298,4995,1381,6895
7559348,5001,1298,6492
7559398,5001,1294,6474
7559448,4990,1365,6813
7559498,4998,1291,6450
7559548,4995,1338,6684
7559598,4997,1332,6658
7559648,4995,1324,6612
7559698,4993,1300,6493
7559748,4991,1286,6418
7559798,5001,1272,6363
7559848,4996,1285,6420
7559898,4992,1340,6692
7559948,4993,1287,6429
7559998,4992,1321,6597
7560048,5000,1280,6403
7560098,5002,1343,6716
7560148,4992,1327,6625
7560198,4995,1275,6367
7560248,4994,1333,6657
7560298,4998,1338,6689
7560348,4997,1372,6856
7560398,4993,1334,6662
7560448,4995,1358,6779
7560498,5002,1326,6630
7560548,4993,1279,6385
7560598,4990,1321,6591
