time_stamp,voltage,current,power
8070400,4995,917,4582
8070450,4999,886,4430
8070500,4999,939,4695
8070550,4998,952,4758
8070600,4994,971,4848
8070650,5008,957,4794
8070700,4995,987,4928
8070750,5005,980,4904
8070800,5003,1003,5019
8070850,5000,986,4932
8070900,4997,998,4986
8070950,5001,988,4943
8071000,4995,1010,5046
8071050,4998,977,4882
8071100,4997,994,4968
8071150,5003,991,4959
8071200,5002,1005,5028
8071250,5001,989,4945
8071300,5004,988,4948
8071350,5002,982,4913
8071400,4997,1005,5021
8071450,4995,1006,5023
8071500,4999,1003,5014
8071550,5003,1026,5137
8071600,4999,996,4976
8071650,4994,994,4964
8071700,5000,1030,5150
8071750,4999,992,4959
8071800,4996,992,4958
8071850,4987,1006,5015
8071900,4997,1017,5085
8071950,4993,1000,4996
8072000,5002,990,4951
8072050,5010,1033,5173
8072100,4998,1010,5049
8072150,4994,1005,5020
8072200,4996,1015,5071
8072250,4999,993,4964
8072300,5001,1028,5143
8072350,4996,998,4989
8072400,4996,1007,5034
8072450,4996,997,4981
8072500,4994,1023,5109
8072550,5008,1023,5127
8072600,4997,1021,5104
8072650,5001,1025,5126
8072700,4998,1010,5047
8072750,4996,1021,5103
8072800,5000,1029,5148
8072850,5000,1039,5195
8072900,4994,1041,5201
8072950,4999,1036,5178
8073000,5005,1014,5075
8073050,4996,1000,4997
8073100,5005,1036,5185
8073150,5001,1014,5070
8073200,5006,1013,5072
8073250,4997,991,4954
8073300,4997,1006,5028
8073350,4998,1013,5066
8073400,4997,1021,5103
8073450,4998,1013,5063
8073500,4997,1034,5169
8073550,4993,1013,5060
8073600,5004,1001,5013
8073650,4999,1057,5285
8073700,4997,1043,5213
8073750,5000,1041,5207
8073800,4991,1058,5280
8073850,5002,1061,5305
8073900,5001,1060,5300
8073950,5005,1064,5326
8074000,5001,1064,5324
8074050,4999,1054,5270
8074100,4997,1078,5388
8074150,5004,1052,5264
8074200,4998,1094,5468
8074250,4991,1064,5309
8074300,4992,1067,5329
8074350,4987,1047,5220
8074400,4990,1058,5281
8074450,4993,1092,5453
8074500,5002,1064,5323
8074550,5000,1056,5284
8074600,5006,1045,5233
8074650,4999,1047,5234
8074700,4998,1052,5256
8074750,5006,1058,5295
8074800,4998,1068,5337
8074850,5002,1063,5318
8074900,4997,1087,5430
8074950,4995,1057,5279
8075000,4992,1050,5241
8075050,4997,1076,5379
8075100,4994,1041,5201
8075150,4997,1078,5390
8075200,4997,1055,5272
8075250,5004,1099,5500
8075300,4998,1109,5541
8075350,5001,1054,5273
8075400,4992,1094,5463
8075450,4995,1049,5238
8075500,4997,1094,5468
8075550,5002,1061,5305
8075600,5000,1058,5293
8075650,5001,1098,5491
8075700,4994,1067,5329
8075750,5000,1057,5286
8075800,4989,1050,5242
8075850,5001,1101,5505
8075900,5002,1094,5471
8075950,5000,1045,5228
8076000,5004,1087,5444
8076050,5005,1059,5301
8076100,5003,1066,5333
8076150,5007,1088,5448
8076200,5002,1108,5543
8076250,5000,1054,5273
8076300,4993,1063,5307
8076350,4995,1072,5353
8076400,4998,1072,5357
8076450,4994,1069,5339
8076500,4997,1096,5476
8076550,5000,1072,5363
8076600,4993,1085,5421
8076650,5008,1063,5325
8076700,4993,1055,5268
8076750,5002,1055,5279
8076800,4992,1090,5441
8076850,4993,1058,5285
8076900,4993,1075,5369
8076950,5000,1053,5269
8077000,5003,1048,5240
8077050,5000,1065,5325
8077100,5003,1050,5256
8077150,4992,1106,5521
8077200,4996,1064,5319
8077250,4997,1057,5283
8077300,5006,1075,5383
8077350,4998,1062,5308
8077400,4999,1091,5453
8077450,4997,1054,5266
8077500,4999,1068,5339
8077550,4994,1063,5308
8077600,4990,1094,5458
8077650,4995,1093,5459
8077700,4991,1056,5268
8077750,4992,1095,5469
8077800,5003,1099,5502
8077850,5004,1053,5271
8077900,4997,1044,5219
8077950,5007,1053,5276
8078000,5000,1088,5442
8078050,4997,1113,5563
8078100,4995,1069,5339
8078150,5001,1078,5394
8078200,4998,1065,5323
8078250,4997,1053,5265
8078300,5004,1059,5304
8078350,5001,1094,5470
8078400,5003,1058,5297
8078450,4991,1073,5355
8078500,4990,1077,5377
8078550,4998,1078,5386
8078600,5001,1104,5520
8078650,4999,1072,5360
8078700,4994,1063,5309
8078750,5002,1074,5372
8078800,4998,1074,5366
8078850,5007,1105,5533
8078900,5002,1099,5498
8078950,5006,1080,5404
8079000,5003,1077,5385
8079050,4995,1061,5298
8079100,4994,1069,5338
8079150,4987,1086,5414
8079200,4993,1102,5502
8079250,4993,1080,5396
8079300,4999,1106,5530
8079350,4996,1074,5367
8079400,4992,1109,5536
8079450,5003,1100,5508
8079500,5004,1058,5295
8079550,5009,1089,5454
8079600,4994,1074,5364
8079650,4988,1055,5264
8079700,5008,1090,5462
8079750,4993,1097,5478
8079800,4991,1063,5306
8079850,4993,1102,5504
8079900,5001,1109,5545
8079950,4998,1114,5566
8080000,4999,1060,5300
8080050,5008,1074,5379
8080100,5003,1068,5340
8080150,5001,1061,5307
8080200,5010,1114,5581
8080250,4999,1073,5363
8080300,4998,1101,5504
8080350,4995,1081,5398
8080400,4999,1074,5367
8080450,4991,1060,5292
8080500,4997,1086,5427
8080550,4999,1073,5363
8080600,4991,1076,5370
8080650,5001,1061,5306
8080700,5000,1077,5385
8080750,5010,1107,5546
8080800,4995,1075,5369
8080850,4999,1053,5265
8080900,5000,1066,5330
8080950,5000,1077,5386
8081000,5000,1070,5354
8081050,5000,1096,5480
8081100,5004,1067,5340
8081150,4999,1065,5324
8081200,5000,1108,5540
8081250,5005,1107,5544
8081300,4998,1094,5467
8081350,4992,1074,5362
