time_stamp,voltage,current,power
8484405,5002,921,4609
8484455,5003,872,4362
8484505,5001,919,4595
8484555,4994,980,4893
8484605,4998,940,4699
8484655,4999,947,4732
8484705,4999,974,4869
8484755,4998,969,4844
8484805,5001,1006,5032
8484855,5004,963,4822
8484905,4994,971,4849
8484955,4993,1010,5045
8485005,4989,985,4915
8485055,5003,968,4840
8485105,5000,986,4931
8485155,5005,1007,5043
8485205,4994,1020,5095
8485255,4994,1022,5103
8485305,4999,996,4977
8485355,5003,984,4924
8485405,4999,993,4963
8485455,5003,974,4876
8485505,5000,972,4860
8485555,5001,1038,5191
8485605,4994,987,4929
8485655,5000,974,4871
8485705,5002,1020,5102
8485755,5000,1000,5002
8485805,4994,1008,5034
8485855,4999,1012,5056
8485905,4995,1019,5092
8485955,5002,1000,5002
8486005,4999,984,4919
8486055,5000,986,4931
8486105,5003,1005,5031
8486155,4998,983,4915
8486205,5002,993,4967
8486255,5003,988,4948
8486305,4994,997,4980
8486355,5000,992,4962
8486405,4996,1004,5018
8486455,5009,1008,5050
8486505,5007,1012,5069
8486555,4998,1023,5112
8486605,4998,992,4956
8486655,4998,985,4923
8486705,4999,1037,5182
8486755,4992,1037,5177
8486805,5008,1002,5022
8486855,4997,1025,5124
8486905,4995,998,4986
8486955,4997,1003,5015
8487005,4995,1035,5168
8487055,4995,993,4959
8487105,5001,1000,5000
8487155,4998,991,4952
8487205,5002,1009,5048
8487255,4993,1003,5009
8487305,5003,1020,5101
8487355,4997,1004,5018
8487405,5003,1007,5035
8487455,5002,1039,5199
8487505,4993,1043,5208
8487555,5002,989,4947
8487605,4997,991,4951
8487655,4999,1042,5209
8487705,4997,1006,5026
8487755,5001,1004,5022
8487805,5001,997,4989
8487855,5002,999,4997
8487905,4994,1043,5209
8487955,5000,991,4958
8488005,5005,1014,5077
8488055,5005,1047,5242
8488105,5007,987,4940
8488155,5001,1000,5002
8488205,5005,1031,5163
8488255,5000,1049,5245
8488305,5001,1030,5154
8488355,5000,997,4988
8488405,5006,1035,5182
8488455,5003,1026,5132
8488505,5003,998,4993
8488555,5000,1003,5018
8488605,4996,989,4946
8488655,5000,997,4988
8488705,4995,1009,5040
8488755,5004,1028,5146
8488805,4999,1017,5084
8488855,5002,1014,5070
8488905,4997,998,4986
8488955,4989,1070,5338
8489005,4997,1085,5420
8489055,4995,1059,5287
8489105,5001,1052,5264
8489155,5000,1100,5502
8489205,4995,1097,5480
8489255,4994,1081,5400
8489305,4998,1088,5438
8489355,5004,1071,5363
8489405,5006,1073,5370
8489455,4992,1053,5261
8489505,5006,1078,5398
8489555,5000,1047,5237
8489605,5000,1048,5240
8489655,4993,1068,5334
8489705,5005,1101,5514
8489755,4999,1062,5309
8489805,5003,1054,5273
8489855,5001,1053,5266
8489905,4991,1062,5299
8489955,4998,1041,5205
8490005,4990,1039,5182
8490055,5000,1062,5311
8490105,4993,1052,5256
8490155,5004,1058,5297
8490205,5005,1059,5303
8490255,5003,1069,5353
8490305,4993,1067,5330
8490355,5000,1062,5314
8490405,5003,1087,5436
8490455,5006,1080,5405
8490505,4997,1057,5282
8490555,4997,1048,5236
8490605,4996,1062,5310
8490655,4998,1099,5493
8490705,5002,1064,5322
8490755,4996,1100,5499
8490805,4996,1085,5423
8490855,4993,1059,5291
8490905,5000,1093,5465
8490955,4997,1067,5332
8491005,5001,1061,5309
8491055,5004,1075,5381
8491105,4994,1051,5246
8491155,5000,1042,5211
8491205,4995,1060,5295
8491255,5008,1068,5351
8491305,4993,1070,5343
