time_stamp,voltage,current,power
9184256,4995,1053,5260
9184306,5004,904,4527
9184356,4999,901,4503
9184406,5000,964,4824
9184456,4994,1011,5051
9184506,5004,1046,5237
9184556,5002,1007,5037
9184606,5003,970,4855
9184656,5000,989,4949
9184706,4995,939,4689
9184756,4996,938,4690
9184806,5000,918,4592
9184856,4997,934,4666
9184906,5002,904,4520
9184956,4999,879,4392
9185006,4993,912,4554
9185056,5002,919,4595
9185106,4994,884,4414
9185156,4998,891,4456
9185206,4996,921,4605
9185256,4992,919,4588
9185306,5004,905,4531
9185356,4996,930,4646
9185406,4992,915,4568
9185456,5001,897,4487
9185506,5007,921,4615
9185556,5003,934,4671
9185606,5009,912,4572
9185656,5003,935,4679
9185706,5007,923,4626
9185756,4999,917,4585
9185806,4999,919,4592
9185856,5001,906,4534
9185906,5008,881,4414
9185956,5003,891,4455
9186006,4992,904,4515
9186056,5001,947,4737
9186106,5006,954,4776
9186156,5005,891,4461
9186206,5010,889,4454
9186256,5004,919,4601
9186306,5001,960,4801
9186356,4997,910,4547
9186406,4996,881,4403
9186456,4997,881,4406
9186506,4996,891,4455
9186556,5005,886,4434
9186606,4997,900,4499
9186656,4999,896,4476
9186706,5001,931,4657
9186756,5003,905,4529
9186806,5001,918,4590
9186856,5003,873,4372
9186906,5001,932,4664
9186956,5000,911,4556
9187006,4998,923,4613
9187056,4999,935,4672
9187106,5003,940,4705
9187156,4997,910,4550
9187206,5000,912,4561
9187256,4993,902,4505
9187306,5009,938,4699
9187356,5007,901,4513
9187406,5001,892,4463
9187456,5002,921,4606
9187506,5000,897,4488
9187556,4997,976,4876
9187606,4993,928,4635
9187656,5004,919,4601
9187706,4999,939,4692
9187756,5000,901,4507
9187806,4992,923,4609
9187856,4996,886,4429
9187906,5000,949,4746
9187956,5004,914,4576
9188006,5001,894,4471
9188056,5004,910,4554
9188106,4998,914,4568
9188156,4995,887,4428
9188206,4996,892,4458
9188256,5000,886,4434
9188306,4998,900,4501
9188356,5000,906,4534
9188406,5000,890,4453
9188456,5003,914,4575
9188506,4995,874,4363
9188556,4996,894,4467
9188606,4988,916,4571
9188656,4998,866,4330
9188706,4995,892,4456
9188756,4998,911,4553
9188806,5007,917,4595
9188856,5006,955,4779
9188906,5001,900,4500
9188956,5000,922,4610
9189006,5003,926,4636
9189056,5009,904,4527
9189106,4995,940,4693
9189156,4997,906,4528
9189206,4996,899,4495
9189256,4994,910,4544
9189306,4998,897,4485
9189356,4999,910,4551
9189406,4996,945,4721
9189456,5002,914,4573
9189506,4993,950,4743
9189556,4993,935,4670
9189606,4998,887,4431
9189656,4996,919,4591
9189706,5008,933,4672
9189756,5000,869,4349
9189806,5004,884,4427
9189856,4997,921,4605
9189906,5003,935,4681
9189956,5003,923,4619
9190006,4995,935,4670
9190056,4992,929,4640
9190106,4991,886,4419
9190156,4998,918,4589
9190206,4998,878,4388
9190256,5004,980,4907
9190306,4997,925,4624
9190356,5003,951,4762
9190406,4996,880,4398
9190456,5000,936,4684
9190506,5009,926,4638
9190556,5000,907,4538
9190606,5003,895,4481
9190656,4993,945,4722
9190706,5000,923,4617
9190756,4995,922,4605
9190806,4999,895,4471
9190856,5004,959,4803
9190906,5004,881,4410
9190956,5000,948,4744
9191006,5004,922,4615
9191056,4997,909,4544
9191106,5006,926,4633
9191156,4998,938,4686
9191206,5004,879,4398
9191256,5001,938,4691
9191306,4996,911,4552
9191356,4992,927,4631
9191406,5000,950,4752
9191456,4992,891,4448
9191506,4997,960,4799
9191556,5007,927,4638
9191606,5006,921,4609
9191656,4999,906,4527
9191706,4995,917,4580
9191756,5002,972,4861
9191806,5002,888,4443
9191856,5000,904,4524
9191906,4992,975,4871
9191956,4999,903,4514
9192006,4998,955,4773
9192056,4995,957,4779
9192106,4998,887,4435
9192156,5003,922,4618
9192206,5000,942,4714
9192256,5005,897,4488
9192306,5000,944,4723
9192356,5006,984,4924
9192406,4998,919,4595
9192456,4995,957,4777
9192506,5005,898,4496
9192556,4994,875,4369
9192606,4997,901,4506
9192656,4995,896,4473
9192706,5009,929,4654
9192756,5000,898,4493
9192806,4998,926,4626
9192856,5000,978,4890
9192906,4997,977,4882
9192956,5003,987,4942
9193006,4997,929,4642
9193056,4999,1006,5029
9193106,4994,940,4695
9193156,5000,964,4823
9193206,4991,976,4870
9193256,5005,977,4889
9193306,5000,1012,5062
9193356,5004,990,4955
9193406,4999,948,4741
9193456,4999,979,4894
9193506,5000,960,4800
9193556,5002,925,4629
9193606,5001,929,4647
9193656,4999,978,4889
9193706,5000,936,4683
9193756,5006,993,4973
9193806,5003,951,4760
9193856,4999,987,4932
9193906,5006,953,4769
9193956,4999,993,4964
9194006,5003,982,4910
9194056,5000,993,4965
9194106,5001,950,4753
9194156,4996,969,4841
9194206,5000,1008,5042
9194256,5001,959,4795
9194306,4999,966,4828
9194356,4993,1026,5126
9194406,5000,958,4793
9194456,4994,945,4720
9194506,5005,949,4752
9194556,4996,945,4726
9194606,4996,991,4955
9194656,4994,944,4714
9194706,4990,981,4896
9194756,5001,988,4943
9194806,5003,999,5002
9194856,5005,953,4772
9194906,5002,952,4764
9194956,4997,991,4955
9195006,4997,1006,5028
9195056,4993,1017,5080
9195106,5001,982,4912
9195156,4999,939,4693
9195206,5001,1026,5134
9195256,4998,989,4943
9195306,5002,990,4954
9195356,4991,970,4841
9195406,4993,986,4925
9195456,4995,992,4954
9195506,4996,957,4785
9195556,5004,963,4821
