time_stamp,voltage,current,power
9266856,5000,892,4462
9266906,4994,883,4408
9266956,4995,1065,5321
9267006,4999,1034,5169
9267056,4993,1165,5819
9267106,4997,1184,5917
9267156,4995,1234,6160
9267206,5000,1228,6142
9267256,4994,1259,6287
9267306,4992,1254,6262
9267356,4994,1213,6056
9267406,5002,1223,6119
9267456,5003,1061,5306
9267506,5002,1132,5663
9267556,5004,1072,5365
9267606,5005,1084,5426
9267656,4997,1051,5251
9267706,4994,1024,5114
9267756,4997,969,4841
9267806,4997,1019,5091
9267856,4991,996,4969
9267906,4991,975,4868
9267956,5000,983,4918
9268006,4997,943,4712
9268056,5002,958,4792
9268106,4994,949,4741
9268156,5008,978,4900
9268206,4994,1001,5001
9268256,4996,949,4741
9268306,5000,973,4868
9268356,5000,995,4975
9268406,5000,943,4715
9268456,5000,1007,5035
9268506,4997,957,4783
9268556,4993,983,4909
9268606,4999,972,4858
9268656,4990,989,4937
9268706,4996,952,4757
9268756,4994,946,4724
9268806,4997,939,4695
9268856,4994,947,4728
9268906,4997,953,4763
9268956,5002,949,4745
9269006,5000,941,4706
9269056,4994,979,4890
9269106,5003,973,4873
9269156,4997,955,4774
9269206,4996,984,4920
9269256,5003,957,4788
9269306,4994,958,4783
9269356,4995,985,4920
9269406,4998,999,4992
9269456,5005,965,4829
9269506,4997,953,4764
9269556,5001,992,4961
9269606,4994,966,4823
9269656,4999,996,4979
9269706,5008,960,4812
9269756,4995,1003,5011
9269806,4998,959,4794
9269856,4985,966,4815
9269906,4995,950,4744
9269956,4999,950,4747
9270006,4994,918,4586
9270056,5000,1005,5029
9270106,4997,1006,5027
9270156,5001,991,4955
9270206,4996,976,4876
9270256,5002,1011,5059
9270306,4995,966,4826
9270356,4990,997,4973
9270406,4994,993,4957
9270456,5001,1026,5131
9270506,5004,967,4842
9270556,5007,1003,5024
9270606,4999,968,4837
9270656,4993,993,4958
9270706,5000,979,4898
9270756,5000,999,4996
9270806,5000,953,4768
9270856,5001,1037,5188
9270906,4989,1045,5216
9270956,5001,993,4968
9271006,5008,1021,5116
9271056,5010,1026,5142
9271106,5006,1002,5016
9271156,5003,1053,5270
9271206,4994,981,4900
9271256,4996,1025,5124
9271306,5001,1094,5472
9271356,4996,1019,5094
9271406,5001,1001,5007
9271456,4989,1020,5092
9271506,5004,1021,5109
9271556,4996,1014,5070
9271606,5000,1016,5083
9271656,4994,1038,5182
9271706,4997,1027,5134
9271756,4988,1036,5171
9271806,4998,1029,5142
9271856,4989,1052,5251
9271906,4995,1008,5036
9271956,4998,992,4957
9272006,5004,1004,5026
9272056,5004,1010,5055
9272106,4999,976,4880
9272156,5000,1061,5309
9272206,4998,1024,5116
9272256,5004,989,4953
9272306,4998,1017,5085
9272356,4999,1071,5352
9272406,4992,1029,5137
9272456,4999,1047,5235
9272506,4997,1049,5241
9272556,4990,1082,5401
9272606,5000,1039,5197
9272656,4996,1011,5051
9272706,5006,1045,5230
9272756,5003,989,4953
9272806,5006,1014,5077
9272856,5001,1019,5095
9272906,4988,1083,5406
9272956,4995,986,4922
9273006,4996,990,4950
9273056,4991,1098,5480
9273106,4993,1041,5199
9273156,4993,1001,5001
9273206,4996,1012,5056
9273256,5001,1018,5092
9273306,4997,1033,5163
9273356,4992,1027,5127
9273406,4993,1034,5165
9273456,5002,988,4942
9273506,5000,1060,5303
9273556,5003,1000,5000
9273606,5000,1013,5068
9273656,4997,996,4977
9273706,5004,1071,5362
9273756,5000,1083,5415
9273806,4990,1033,5155
9273856,4994,1057,5277
9273906,4999,1006,5027
9273956,5000,1034,5174
9274006,4997,987,4934
9274056,4996,1040,5198
9274106,5000,1039,5199
9274156,4998,1011,5054
9274206,5005,1056,5287
9274256,4994,1064,5315
9274306,5002,1007,5036
9274356,5001,1075,5376
9274406,5004,1041,5213
9274456,4995,985,4919
9274506,4999,1102,5508
9274556,4998,1116,5577
9274606,4990,1090,5439
9274656,4997,1086,5426
9274706,4999,1004,5016
9274756,4995,1039,5186
9274806,4999,1004,5018
9274856,4994,1018,5083
9274906,4995,1010,5042
9274956,5002,1051,5255
9275006,5005,1082,5418
9275056,5000,1096,5481
9275106,5000,1011,5057
9275156,4989,987,4927
9275206,5005,996,4984
9275256,5000,1031,5157
9275306,5001,993,4969
