time_stamp,voltage,current,power
1695011,5002,643,3218
1695061,5006,646,3232
1695111,5004,675,3381
1695161,5004,624,3125
1695211,5005,664,3324
1695261,5004,686,3433
1695311,5010,673,3370
1695361,5004,657,3287
1695411,5004,666,3335
1695461,5001,706,3534
1695511,4995,704,3517
1695561,4994,677,3384
1695611,4995,665,3320
1695661,4998,707,3533
1695711,5004,680,3402
1695761,4998,674,3371
1695811,4992,687,3431
1695861,4993,665,3321
1695911,5000,666,3332
1695961,5006,699,3498
1696011,5005,708,3545
1696061,4998,691,3456
1696111,5000,694,3471
1696161,4997,672,3359
1696211,4995,686,3427
1696261,4999,687,3436
1696311,4998,666,3330
1696361,4999,673,3363
1696411,4997,666,3330
1696461,5005,663,3319
1696511,4988,935,4664
1696561,5011,674,3379
1696611,4999,676,3379
1696661,5000,684,3423
1696711,5002,696,3482
1696761,4995,679,3392
1696811,5008,709,3553
1696861,4997,664,3317
1696911,5005,717,3589
1696961,4995,696,3478
1697011,5000,664,3322
1697061,4998,687,3435
1697111,4998,717,3585
1697161,4993,682,3407
1697211,5004,658,3295
1697261,5003,669,3345
1697311,5004,675,3381
1697361,5004,670,3355
1697411,4995,673,3363
1697461,4996,679,3392
1697511,4998,672,3360
1697561,4999,721,3606
1697611,5005,688,3446
1697661,5001,690,3453
1697711,4994,697,3481
1697761,5001,675,3379
1697811,4999,698,3487
1697861,4993,686,3426
1697911,4999,725,3626
1697961,4991,707,3528
1698011,4997,721,3602
1698061,5005,677,3392
1698111,5005,690,3455
1698161,5000,689,3448
1698211,5000,667,3337
1698261,5000,687,3435
1698311,5000,692,3463
1698361,4994,705,3520
1698411,4998,727,3635
1698461,4998,715,3572
1698511,5003,713,3566
1698561,5001,685,3426
1698611,4993,680,3397
1698661,5005,669,3351
1698711,5003,686,3431
1698761,5001,667,3338
1698811,5005,676,3383
1698861,5003,705,3530
1698911,4999,688,3438
1698961,5002,707,3535
1699011,4998,684,3420
1699061,4998,676,3381
1699111,4998,692,3457
1699161,5006,677,3390
1699211,5009,701,3512
1699261,5001,685,3429
1699311,5004,708,3543
