time_stamp,voltage,current,power
2240464,5005,629,3151
2240514,5000,602,3013
2240564,4998,733,3665
2240614,4998,709,3546
2240664,4997,721,3606
2240714,4999,666,3328
2240764,5004,652,3264
2240814,4995,696,3477
2240864,5000,680,3400
2240914,5002,652,3260
2240964,5007,714,3575
2241014,5000,654,3270
2241064,5002,633,3166
2241114,4999,631,3153
2241164,4997,688,3440
2241214,5000,714,3574
2241264,5001,613,3068
2241314,5004,663,3319
2241364,5000,597,2987
2241414,5007,692,3466
2241464,5000,699,3499
2241514,5008,609,3050
2241564,5000,616,3083
2241614,5005,597,2991
2241664,4991,666,3325
2241714,5000,649,3246
2241764,5007,631,3161
2241814,4997,672,3358
2241864,5003,623,3116
2241914,4997,663,3317
2241964,5003,686,3436
2242014,4998,626,3130
2242064,4998,706,3531
2242114,4995,675,3370
2242164,5000,699,3496
2242214,5002,653,3266
2242264,5000,696,3483
2242314,5005,611,3059
2242364,5004,684,3423
2242414,4992,658,3286
2242464,5003,671,3358
2242514,5002,649,3246
2242564,5000,637,3185
2242614,5006,668,3343
2242664,4993,681,3400
2242714,4997,686,3432
2242764,5002,668,3340
2242814,5000,700,3500
2242864,5000,664,3320
2242914,5006,695,3482
2242964,5004,591,2960
2243014,5009,676,3389
2243064,4996,651,3254
2243114,4997,670,3350
2243164,4994,695,3470
2243214,4998,651,3253
2243264,4990,610,3045
2243314,4998,695,3473
2243364,4999,637,3186
2243414,4996,661,3306
2243464,5001,661,3307
2243514,5010,626,3135
2243564,4998,646,3227
2243614,4994,694,3465
2243664,4999,653,3265
2243714,4994,645,3223
2243764,4999,711,3555
2243814,5003,678,3392
2243864,4991,653,3261
2243914,4997,722,3607
2243964,4997,687,3434
2244014,4994,655,3270
2244064,4999,690,3449
2244114,5003,635,3178
2244164,5007,628,3148
2244214,4998,670,3349
2244264,4997,681,3403
2244314,5004,725,3632
2244364,5009,643,3222
2244414,5005,693,3472
2244464,5004,653,3267
2244514,4999,747,3733
2244564,4998,653,3264
2244614,4993,622,3105
2244664,4993,728,3637
2244714,5005,746,3736
2244764,4997,658,3290
2244814,4990,656,3275
2244864,5004,619,3098
2244914,5002,642,3212
2244964,5000,709,3547
2245014,4994,704,3517
2245064,5005,704,3523
2245114,5001,747,3739
2245164,5004,675,3378
2245214,5004,647,3239
2245264,4995,639,3193
2245314,4994,608,3037
2245364,4997,624,3118
2245414,5001,729,3646
2245464,4994,719,3590
2245514,5000,642,3212
2245564,5006,729,3648
2245614,5009,624,3128
2245664,4996,681,3403
2245714,5005,628,3143
2245764,5002,643,3218
2245814,5001,699,3498
2245864,4990,631,3150
2245914,4998,719,3593
2245964,4997,612,3060
2246014,4998,695,3473
2246064,5001,667,3335
2246114,5009,682,3420
2246164,5005,700,3506
2246214,4998,724,3618
2246264,5001,677,3386
2246314,4997,690,3449
2246364,5005,664,3324
2246414,4995,707,3530
2246464,5000,670,3350
2246514,5003,736,3680
2246564,5002,746,3731
2246614,5004,670,3354
2246664,4993,672,3355
2246714,5000,640,3200
2246764,4993,661,3302
2246814,5003,663,3318
2246864,5000,702,3513
2246914,5009,635,3183
2246964,4995,688,3435
2247014,5001,660,3300
2247064,5004,722,3615
2247114,5002,687,3438
2247164,5003,674,3373
2247214,5009,690,3457
2247264,5000,651,3258
2247314,5004,645,3231
2247364,4998,619,3096
2247414,5000,691,3458
2247464,4999,665,3327
2247514,4996,693,3463
2247564,4993,657,3282
2247614,4989,729,3640
2247664,5003,671,3359
2247714,4999,667,3336
2247764,4991,689,3439
2247814,4989,658,3287
2247864,4995,720,3595
2247914,4999,708,3540
2247964,4996,697,3485
2248014,5003,720,3603
2248064,5006,607,3037
2248114,5001,637,3187
2248164,5000,669,3348
2248214,4998,685,3424
2248264,4997,640,3198
2248314,5010,666,3337
2248364,5004,645,3231
2248414,5000,699,3498
2248464,4995,741,3699
2248514,5005,717,3589
2248564,5003,692,3466
2248614,5004,630,3153
2248664,4995,726,3625
2248714,4996,694,3468
2248764,5006,686,3433
2248814,4992,644,3215
2248864,4996,699,3495
2248914,5001,711,3555
2248964,5004,678,3396
2249014,5002,722,3610
2249064,4994,706,3526
2249114,5004,617,3087
2249164,5000,660,3300
2249214,5005,616,3084
2249264,5005,646,3232
2249314,5003,656,3286
2249364,5007,658,3293
2249414,5001,693,3465
2249464,5002,726,3630
2249514,5008,605,3030
2249564,5001,684,3422
2249614,5005,630,3156
2249664,5005,898,4496
2249714,5003,671,3359
2249764,4997,714,3567
2249814,5010,692,3468
2249864,5001,617,3087
2249914,5001,632,3164
2249964,4996,662,3310
2250014,5003,673,3367
2250064,4999,624,3122
2250114,5004,657,3290
2250164,5002,697,3488
2250214,5001,681,3405
2250264,5001,741,3709
2250314,4992,635,3172
2250364,4997,702,3511
2250414,4998,721,3605
2250464,5003,677,3392
2250514,4997,715,3576
2250564,4998,604,3020
2250614,5002,712,3561
2250664,5007,643,3221
2250714,4996,721,3605
2250764,4998,701,3503
2250814,4999,664,3320
2250864,5001,683,3415
2250914,4998,627,3137
2250964,5004,681,3407
2251014,5004,662,3316
2251064,5002,674,3374
2251114,5000,693,3469
2251164,5002,661,3305
2251214,5001,696,3481
2251264,5002,693,3468
2251314,4996,693,3464
2251364,4999,621,3103
2251414,4993,648,3236
2251464,4998,688,3438
2251514,5005,647,3238
2251564,5005,641,3208
2251614,5000,736,3684
2251664,4997,617,3084
2251714,4997,701,3506
2251764,5002,643,3219
2251814,5000,630,3152
2251864,4999,613,3063
2251914,5005,667,3340
2251964,4995,670,3348
2252014,5006,654,3274
2252064,4992,712,3557
2252114,4999,675,3372
2252164,5001,691,3455
2252214,4999,658,3288
2252264,4994,688,3438
2252314,4993,679,3392
2252364,4997,745,3722
2252414,5002,643,3219
2252464,5004,703,3517
2252514,5008,703,3524
2252564,4997,661,3305
2252614,4995,637,3184
2252664,4997,626,3132
2252714,5006,707,3541
2252764,5000,671,3356
2252814,5004,669,3347
2252864,5004,632,3164
2252914,5004,631,3162
2252964,4995,660,3296
2253014,5003,730,3656
2253064,5005,706,3537
2253114,4994,626,3126
2253164,4999,703,3516
2253214,5002,668,3344
2253264,5008,741,3713
2253314,5005,710,3555
2253364,5001,654,3273
2253414,5008,665,3335
2253464,4996,693,3463
2253514,5006,713,3571
2253564,4991,665,3321
2253614,5000,663,3318
2253664,5007,707,3540
2253714,5002,711,3557
2253764,5005,655,3282
2253814,5009,688,3447
2253864,5013,694,3482
2253914,5001,653,3267
2253964,5003,662,3314
2254014,5000,672,3362
2254064,5005,729,3652
2254114,5008,714,3579
2254164,5008,700,3507
2254214,5000,690,3452
2254264,5000,728,3644
2254314,5000,666,3332
2254364,5002,698,3491
2254414,4997,709,3542
2254464,4997,861,4304
2254514,4995,625,3121
2254564,5008,634,3178
2254614,5007,703,3521
2254664,5005,644,3225
2254715,5002,688,3444
2254764,5001,700,3500
2254814,5006,690,3457
2254864,5015,647,3243
2254914,5005,714,3577
2254964,4999,644,3217
2255014,4994,654,3266
2255064,5007,682,3419
2255114,5005,717,3591
2255164,5004,667,3341
2255214,5004,660,3307
2255264,4999,651,3256
2255314,4991,638,3183
2255364,5005,664,3326
2255414,4998,608,3040
2255464,5010,711,3561
2255514,5006,691,3457
2255564,5004,700,3507
2255614,4994,713,3562
2255664,5003,625,3131
2255714,5005,720,3603
2255764,5005,650,3255
2255814,4999,713,3566
2255864,5004,612,3063
2255914,5002,715,3578
2255964,4993,663,3314
2256014,5009,711,3562
2256064,5000,730,3653
2256114,4998,702,3508
2256164,4994,702,3506
2256214,5006,724,3625
2256264,4994,665,3322
