time_stamp,voltage,current,power
2524214,5004,639,3200
2524264,4998,676,3382
2524314,4992,622,3107
2524364,5004,650,3256
2524414,4996,685,3423
2524464,4996,587,2933
2524514,4996,652,3261
2524564,5007,688,3446
2524614,5011,644,3228
2524664,5004,668,3343
2524714,4997,665,3323
2524764,5000,662,3314
2524814,5000,668,3343
2524864,5000,665,3327
2524914,4998,678,3387
2524964,5003,692,3464
2525014,4989,646,3226
2525064,4997,685,3425
2525114,5011,665,3330
2525164,5009,697,3492
2525214,5006,703,3521
2525264,5000,672,3364
2525314,5001,727,3639
2525364,4994,717,3582
2525414,5004,700,3505
2525464,5006,702,3516
2525514,5000,692,3463
2525564,4996,703,3515
2525614,5000,745,3729
2525664,5003,761,3809
2525714,5001,708,3540
2525764,5005,717,3588
2525814,4996,751,3754
2525864,5000,722,3613
2525914,4996,716,3577
2525964,4991,723,3610
2526014,4996,696,3481
2526064,4993,701,3502
2526114,4994,704,3516
2526164,5002,715,3578
2526214,4998,708,3541
2526264,4995,742,3708
2526314,4996,710,3548
2526364,5000,715,3578
2526414,4991,695,3470
2526464,4998,733,3666
2526514,4991,735,3666
2526564,4997,726,3630
2526614,5000,689,3447
2526664,4995,715,3573
2526714,5003,712,3563
2526764,5005,739,3702
2526814,5003,691,3459
2526864,5000,707,3537
2526914,5000,725,3625
2526964,5008,708,3548
2527014,5004,693,3471
2527064,5001,681,3408
2527114,4999,718,3587
2527164,5007,746,3740
2527214,4995,709,3543
2527264,4999,871,4353
2527314,5003,741,3711
2527364,4995,709,3541
2527414,4992,703,3510
2527464,4991,700,3495
2527514,4999,698,3487
2527564,4998,701,3504
2527614,5002,692,3462
2527664,5003,583,2920
2527714,4994,570,2848
2527764,4996,636,3179
