time_stamp,voltage,current,power
2637416,5003,639,3197
2637466,4998,646,3231
2637516,4995,662,3309
2637566,5001,592,2961
2637616,5000,678,3394
2637666,4999,683,3415
2637716,5001,694,3474
2637766,5000,734,3674
2637816,5004,704,3523
2637866,5002,688,3441
2637916,5005,682,3413
2637966,5012,734,3678
2638016,4998,678,3388
2638066,5007,676,3386
2638116,5005,704,3523
2638166,4996,703,3516
2638216,5002,684,3420
2638266,5000,714,3574
2638316,5001,685,3428
2638366,4996,718,3590
2638416,5008,692,3466
2638466,4998,680,3397
2638516,5001,732,3662
2638566,4995,686,3425
2638616,5004,707,3541
2638666,4998,699,3494
2638716,5008,727,3640
2638766,5004,704,3525
2638816,5006,722,3615
2638866,5000,734,3673
2638916,5001,691,3457
2638966,5006,685,3427
2639016,5005,690,3454
2639066,5003,683,3415
2639116,4999,726,3627
2639166,5010,690,3458
2639216,5008,683,3424
2639266,5003,698,3493
2639316,5000,688,3441
2639366,5002,727,3639
2639416,4992,718,3585
2639466,4998,705,3526
2639516,5010,675,3381
2639566,5002,690,3453
2639616,5010,669,3355
2639666,5000,711,3556
2639716,5003,689,3450
2639766,5000,711,3555
2639816,5004,675,3381
2639866,4998,685,3424
2639916,4999,696,3479
2639966,5007,686,3438
2640016,5003,715,3577
2640066,4996,697,3482
2640116,5002,703,3515
2640166,5007,677,3392
2640216,4995,697,3482
2640266,4998,711,3556
2640316,4992,700,3495
2640366,5011,718,3597
2640416,4990,686,3422
2640466,4993,684,3418
2640516,4997,689,3445
2640566,4991,693,3458
2640616,5009,707,3544
2640666,4997,699,3493
2640716,5000,701,3508
2640766,4995,685,3420
2640816,4995,722,3604
2640866,4995,713,3563
2640916,5003,693,3468
2640966,4998,723,3612
2641016,4999,687,3433
2641066,5004,687,3442
2641116,5003,711,3560
2641166,5000,735,3677
2641216,4999,683,3415
2641266,4998,724,3621
2641316,4992,716,3577
2641366,5001,668,3343
2641416,5004,691,3459
2641466,4999,684,3421
2641516,4995,720,3596
2641566,5001,699,3499
2641616,5004,725,3628
2641666,4996,712,3558
2641716,4999,692,3459
2641766,5001,692,3461
2641816,4995,685,3421
2641866,5004,728,3645
2641916,5007,719,3603
2641966,5009,690,3455
2642016,4999,725,3624
2642066,5000,714,3574
2642116,5000,728,3640
2642166,5004,698,3497
2642216,5000,695,3477
2642266,4996,715,3576
2642316,5004,693,3470
2642366,5001,686,3432
2642416,5005,694,3473
2642466,4994,706,3525
2642516,4998,700,3498
2642566,4998,703,3512
2642616,4996,692,3461
2642666,4997,710,3549
2642716,5005,692,3463
2642766,5003,712,3563
2642816,5001,715,3575
2642866,5001,691,3457
2642916,5003,710,3555
2642966,5010,696,3489
2643016,4996,681,3404
2643066,5000,714,3574
2643116,5003,705,3528
2643166,5007,720,3603
2643216,5008,685,3435
2643266,5003,704,3522
2643316,5002,712,3563
2643366,4995,711,3549
2643416,5004,688,3447
2643466,4997,722,3611
2643516,4997,724,3620
2643566,4996,691,3456
2643616,5007,732,3667
2643666,4995,692,3455
2643716,5003,700,3505
2643766,5006,676,3384
2643816,5002,703,3516
2643866,4996,688,3437
2643916,4992,702,3508
2643966,5005,717,3591
2644016,5005,726,3633
2644066,5013,693,3475
2644116,5002,705,3526
2644166,5008,695,3484
2644216,5002,693,3467
2644266,5004,697,3488
2644316,5005,699,3502
2644366,4999,690,3447
2644416,5007,685,3427
2644466,5006,700,3507
2644516,5000,685,3428
2644566,5002,684,3421
2644616,4991,722,3605
2644666,4994,712,3557
2644716,5002,723,3616
2644766,4997,713,3565
2644816,5000,722,3614
2644866,4999,717,3586
2644916,5006,728,3647
2644966,4995,698,3487
2645016,5002,685,3425
2645066,5006,706,3535
2645116,5006,683,3421
2645166,5002,688,3444
2645216,4998,733,3662
2645266,4997,694,3468
2645316,4995,689,3440
2645366,4995,701,3503
2645416,4996,726,3631
2645466,5008,705,3533
2645516,4999,683,3416
2645566,5000,734,3670
2645616,5003,724,3624
2645666,4994,724,3617
2645716,4997,701,3503
2645766,5003,698,3494
2645816,4998,693,3462
2645866,5007,677,3390
2645916,5006,707,3539
2645966,4991,693,3458
2646016,4999,694,3470
2646066,4991,684,3416
2646116,5003,703,3520
2646166,5002,687,3437
2646216,5000,732,3661
2646266,4998,735,3676
2646316,5001,702,3513
2646366,4998,707,3535
2646416,5005,702,3514
2646466,4994,695,3470
2646516,5001,729,3646
2646566,4998,675,3373
2646616,4996,685,3424
2646666,4994,694,3466
2646716,4993,695,3473
2646766,4995,724,3619
2646816,4998,687,3433
2646866,5001,734,3672
2646916,4999,725,3623
2646966,5006,680,3406
2647016,4996,698,3489
2647066,5004,701,3511
2647116,5002,717,3587
2647166,5003,707,3540
2647216,5008,697,3495
2647266,4993,699,3493
2647316,4996,692,3457
2647366,5007,695,3481
2647416,4995,687,3432
2647466,5006,693,3470
2647516,5001,715,3579
2647566,5001,689,3449
2647616,5007,731,3659
2647666,4997,711,3556
2647716,4998,692,3459
2647766,4997,697,3483
2647816,4996,695,3475
2647866,4993,732,3656
2647916,5004,692,3467
2647966,5002,700,3504
2648016,4999,697,3486
2648066,4999,722,3610
2648116,5003,705,3525
2648166,5002,689,3449
2648216,5002,692,3464
2648266,5011,722,3618
2648316,5008,728,3649
2648366,5000,719,3595
2648416,4991,720,3595
2648466,5007,714,3578
2648516,5006,687,3440
2648566,5011,676,3386
2648616,5001,679,3399
2648666,5008,691,3462
2648716,4993,705,3523
2648766,4994,704,3516
2648816,5001,704,3524
2648866,4999,682,3412
2648916,4999,685,3426
2648966,4997,720,3599
2649016,5008,674,3375
2649066,5002,725,3625
2649116,4999,708,3539
2649166,5001,695,3479
2649216,4996,743,3713
2649266,5000,699,3495
2649316,5006,693,3471
2649366,4997,696,3479
2649416,5002,694,3473
2649466,5005,693,3467
2649516,5001,700,3503
2649566,5005,702,3516
2649616,5000,693,3468
2649666,5002,688,3441
2649716,5000,691,3458
2649766,4998,698,3488
2649816,4996,681,3407
2649866,4998,706,3531
2649916,4998,694,3468
2649966,5002,674,3372
2650016,5001,692,3460
2650066,4997,692,3461
2650116,5009,700,3510
2650166,5003,704,3527
2650216,5002,678,3392
2650266,4996,699,3494
2650316,5000,716,3584
2650366,5000,694,3471
2650416,4995,698,3485
2650466,4999,686,3428
2650516,5004,720,3606
2650566,4997,720,3601
2650616,4992,693,3461
2650666,5002,699,3498
2650716,4999,710,3552
2650766,4996,692,3460
2650816,4995,716,3576
2650866,4995,718,3588
2650916,4996,712,3562
2650966,5001,686,3433
2651016,5000,699,3498
2651066,5001,692,3464
2651116,4996,680,3397
2651166,4999,697,3485
2651216,4995,729,3643
2651266,4996,697,3486
2651316,4998,697,3486
2651366,4992,693,3461
2651416,4997,737,3684
2651466,4998,692,3458
2651517,4995,694,3468
2651566,4999,711,3555
2651616,5005,697,3487
2651666,4996,683,3415
2651716,5003,711,3559
2651766,5000,701,3509
2651816,5004,684,3424
2651866,4992,707,3531
2651916,5005,717,3589
2651966,4996,702,3510
2652016,5005,691,3461
2652066,5003,680,3403
2652116,5001,694,3474
2652166,4997,720,3600
2652216,4996,698,3492
2652266,5001,697,3489
2652316,4997,725,3624
2652366,5002,703,3516
2652416,5005,723,3622
2652466,4998,697,3484
2652516,4999,700,3498
2652566,5004,681,3409
2652616,5009,690,3458
2652666,5003,710,3553
2652716,4996,690,3449
2652766,4997,702,3509
2652816,4997,694,3469
2652866,4993,698,3486
2652916,5000,728,3644
2652966,4998,687,3434
2653016,5005,688,3445
2653066,4998,727,3636
2653116,5005,710,3554
2653166,4993,691,3450
2653216,5004,706,3535
2653266,5004,723,3619
2653316,5000,688,3440
