time_stamp,voltage,current,power
3317566,5001,634,3171
3317616,5003,636,3184
3317666,5005,713,3571
3317716,5004,685,3430
3317766,5006,645,3230
3317816,5000,703,3518
3317866,4996,621,3106
3317916,5001,751,3756
3317966,4996,668,3338
3318016,4990,696,3473
3318066,5002,651,3259
3318116,5003,645,3225
3318166,5000,664,3324
3318216,5004,650,3256
3318266,4996,630,3151
3318316,4994,647,3234
3318366,4997,621,3103
3318416,4998,721,3604
3318466,5008,653,3271
3318516,5004,655,3281
3318566,4998,712,3560
3318616,4998,655,3277
3318666,4998,642,3211
3318716,4991,675,3367
3318766,4997,707,3535
3318816,4999,670,3348
3318866,5001,612,3064
3318916,4998,663,3315
3318966,5003,650,3257
3319016,5005,668,3342
3319066,5004,635,3179
3319116,4998,616,3082
3319166,5005,617,3089
3319216,5006,626,3133
3319266,5009,694,3479
3319316,5000,621,3106
3319366,5008,661,3313
3319416,5001,716,3583
3319466,5007,646,3237
3319516,4994,627,3132
3319566,4999,714,3569
3319616,5004,669,3348
3319666,4995,621,3100
3319716,5007,729,3650
3319766,4998,640,3198
3319816,5006,647,3241
3319866,4996,636,3179
3319916,5000,714,3571
3319966,4997,731,3655
3320016,5006,641,3209
3320066,4997,721,3604
3320116,5001,612,3064
3320166,4996,639,3192
3320216,4996,625,3124
3320266,5008,716,3589
3320316,5014,649,3254
3320366,4999,640,3199
3320416,4998,628,3142
3320466,5003,631,3159
3320516,4991,628,3133
3320566,5003,748,3741
3320616,5007,612,3064
3320666,4993,734,3668
3320716,5000,644,3221
3320766,5006,594,2973
3320816,5007,654,3277
3320866,4999,670,3347
3320916,4995,639,3194
3320966,4998,662,3311
3321016,5002,668,3340
3321066,5009,632,3168
3321116,5001,613,3069
3321166,4997,664,3321
3321216,5004,746,3735
3321266,4998,678,3391
3321316,5007,681,3415
3321366,5002,618,3090
3321416,4994,635,3170
3321466,5011,592,2967
3321516,5000,630,3153
3321566,5003,710,3555
3321616,5003,746,3733
