time_stamp,voltage,current,power
3484369,4995,616,3075
3484419,4993,657,3281
3484469,5006,564,2823
3484519,4990,693,3460
3484569,5008,735,3683
3484619,5002,700,3504
3484669,4996,733,3663
3484719,4999,714,3571
3484769,5001,712,3564
3484819,4999,731,3653
3484869,5000,726,3633
3484919,5010,714,3575
3484969,4998,723,3612
3485019,4993,721,3600
3485069,4998,703,3512
3485119,4994,709,3541
3485169,4998,705,3523
3485219,4993,702,3506
3485269,5007,714,3580
3485319,5004,706,3533
3485369,5005,695,3481
3485419,5005,709,3550
3485469,5006,704,3525
3485519,4996,703,3515
3485569,5002,735,3676
3485619,5004,709,3549
3485669,5004,697,3491
3485719,4998,711,3556
3485769,5002,712,3561
3485819,4993,708,3539
3485869,5005,695,3481
3485919,5002,704,3521
3485969,5002,699,3499
3486019,5003,699,3499
3486069,4997,708,3539
3486119,5000,745,3729
3486169,4999,733,3666
3486219,5000,717,3588
3486269,4996,709,3543
3486319,5004,698,3492
3486369,4998,714,3570
3486419,5006,708,3543
3486469,4994,706,3524
3486519,4999,734,3668
3486569,4995,700,3496
3486619,5007,747,3738
3486669,4998,711,3552
3486719,4995,712,3557
3486769,5011,739,3705
3486819,4996,756,3781
3486869,5004,717,3592
3486919,4996,722,3611
3486969,5006,710,3555
3487019,4999,711,3557
3487069,4997,717,3584
3487119,5001,717,3585
3487169,4996,737,3685
3487219,5003,707,3538
3487269,4997,713,3566
3487319,4996,725,3624
3487369,4993,721,3603
3487419,5002,704,3520
3487469,5008,757,3794
3487519,5006,713,3570
3487569,4999,695,3473
3487619,4997,749,3744
3487669,4993,727,3629
3487719,5009,741,3713
3487769,5004,736,3683
3487819,5008,747,3741
3487869,5006,729,3648
3487919,5005,716,3583
3487969,5001,719,3599
3488019,4999,711,3553
3488069,5002,717,3589
3488119,4993,723,3612
3488169,5001,754,3774
3488219,4993,718,3586
3488269,5005,746,3735
3488319,4991,710,3543
3488369,4998,700,3500
3488419,4996,746,3731
3488469,4988,705,3521
3488519,5000,720,3602
3488569,4993,747,3730
3488619,5006,697,3492
3488669,4999,712,3557
3488719,5004,711,3561
3488769,5004,727,3641
3488819,5006,703,3518
3488869,4996,720,3597
3488919,5001,721,3607
3488969,4997,721,3603
3489019,4990,711,3550
3489069,5000,730,3652
3489119,4995,703,3511
3489169,4994,725,3623
3489219,4994,720,3597
3489269,5006,715,3580
3489319,5003,696,3483
3489369,5009,719,3602
3489419,5006,727,3642
3489469,5007,709,3550
3489519,5000,716,3584
3489569,4995,734,3665
3489619,4998,741,3707
3489669,5001,697,3489
3489719,5000,696,3484
3489769,5005,712,3563
3489819,4996,716,3577
3489869,4991,714,3565
3489919,5003,753,3768
3489969,5005,723,3619
3490019,5009,728,3646
3490069,5004,739,3701
3490119,4996,719,3593
3490169,4999,749,3745
3490219,5001,747,3737
3490269,4999,744,3719
3490320,5002,709,3548
3490369,4994,725,3619
3490419,4991,710,3544
3490469,4993,726,3628
3490519,4998,729,3643
3490569,5001,739,3699
3490619,5004,738,3694
3490669,5005,733,3672
3490719,5000,743,3718
3490769,5006,748,3745
3490819,4997,737,3685
3490869,5002,692,3461
3490919,4993,751,3749
3490969,5004,730,3656
3491019,4995,715,3570
3491069,5000,722,3613
3491119,5004,756,3783
3491169,4992,732,3657
3491219,4995,704,3518
3491269,4998,746,3728
3491319,5000,717,3587
3491369,5000,757,3786
3491419,5003,733,3669
3491469,4998,719,3596
3491519,5000,700,3503
3491569,4996,742,3710
3491619,5009,727,3640
3491669,5003,710,3550
3491719,5007,712,3565
3491769,5007,717,3590
3491819,5002,721,3609
3491869,5002,710,3554
3491919,4997,720,3601
3491969,4993,723,3614
3492019,5003,738,3692
3492069,5008,746,3737
3492119,4997,717,3586
3492169,5000,722,3613
3492219,5001,718,3593
3492269,5000,714,3570
3492319,4988,709,3537
3492369,5001,727,3635
3492419,5002,697,3489
3492469,5005,706,3535
3492519,5005,729,3650
3492569,5000,738,3694
3492619,4997,702,3507
3492669,4998,728,3641
3492719,4999,717,3583
3492769,4996,732,3660
3492819,5003,749,3747
3492869,5002,696,3480
3492919,5004,736,3684
3492969,4997,708,3540
3493019,4998,716,3578
3493069,5003,735,3675
3493119,5000,713,3569
3493169,5001,709,3546
3493219,5002,736,3681
3493269,5006,724,3624
3493319,5006,705,3528
3493369,5005,716,3584
3493419,5008,725,3633
3493469,4994,720,3595
3493519,5000,726,3630
3493569,4998,708,3537
3493619,4995,732,3655
