time_stamp,voltage,current,power
0003638273,5006.0,558.0,2794.0
0003638373,4998.0,577.0,2886.0
0003638473,4994.0,552.0,2758.0
0003638573,4998.0,544.0,2720.0
0003638673,5004.0,533.0,2671.0
0003638773,5001.0,537.0,2689.0
0003638873,5000.0,549.0,2745.0
0003638973,4996.0,546.0,2731.0
0003639023,5000.0,545.0,2725.0
0003639073,4998.0,535.0,2674.0
0003639123,4995.0,543.0,2713.0
0003639173,4993.0,543.0,2713.0
0003639223,4997.0,572.0,2862.0
0003639273,4996.0,564.0,2818.0
0003639323,4996.0,569.0,2845.0
0003639373,4997.0,552.0,2760.0
0003639423,5000.0,548.0,2744.0
0003639473,5008.0,568.0,2845.0
0003639523,4992.0,621.0,3100.0
0003639573,5006.0,574.0,2875.0
0003639623,5003.0,546.0,2734.0
0003639673,5003.0,532.0,2663.0
0003639723,4996.0,530.0,2648.0
0003639773,5004.0,532.0,2662.0
0003639823,5004.0,544.0,2725.0
0003639873,4996.0,579.0,2892.0
0003639923,5000.0,593.0,2969.0
0003639973,5000.0,540.0,2701.0
0003640023,4996.0,540.0,2698.0
0003640073,5010.0,540.0,2707.0
0003640123,5006.0,534.0,2672.0
0003640173,5002.0,539.0,2698.0
0003640223,5003.0,527.0,2639.0
0003640273,4995.0,540.0,2700.0
0003640323,4996.0,575.0,2875.0
0003640373,5000.0,571.0,2856.0
0003640423,4999.0,556.0,2778.0
0003640473,4998.0,555.0,2773.0
0003640523,4994.0,529.0,2644.0
0003640573,4993.0,533.0,2663.0
0003640623,5002.0,555.0,2776.0
0003640673,5006.0,539.0,2697.0
0003640723,5004.0,542.0,2712.0
0003640773,4999.0,532.0,2659.0
0003640823,4999.0,552.0,2760.0
0003640873,4997.0,572.0,2860.0
0003640923,4992.0,568.0,2836.0
0003640973,5000.0,548.0,2744.0
0003641023,5000.0,550.0,2754.0
0003641073,5004.0,541.0,2709.0
0003641123,5002.0,537.0,2689.0
0003641173,5009.0,527.0,2640.0
0003641223,5000.0,539.0,2697.0
