time_stamp,voltage,current,power
312116,12040,194,2337
312166,12049,179,2166
312216,12051,181,2185
312266,12054,168,2028
312316,12039,178,2143
312366,12050,201,2428
312416,12047,201,2426
312466,12034,201,2423
312516,12047,213,2569
312566,12057,198,2396
312616,12046,187,2254
312666,12038,187,2251
312716,12055,208,2507
312766,12047,197,2374
312816,12053,186,2253
312866,12042,179,2162
312916,12041,184,2217
312966,12043,210,2540
313016,12052,198,2394
313066,12045,205,2472
313116,12049,190,2300
313166,12051,185,2238
313216,12059,208,2512
313266,12052,196,2365
313316,12048,188,2265
313366,12050,201,2426
313416,12045,205,2473
313466,12046,198,2387
313516,12055,208,2517
313566,12051,216,2613
313616,12050,191,2302
313666,12045,209,2528
313716,12056,215,2603
313766,12053,202,2437
313816,12057,186,2251
313866,12054,186,2246
313916,12056,190,2301
313966,12058,182,2198
314016,12050,202,2443
314066,12049,206,2490
314116,12043,190,2298
314166,12041,209,2525
314216,12050,198,2393
314266,12046,185,2234
314317,12054,191,2305
314366,12043,178,2152
314416,12047,210,2539
314466,12046,187,2260
314516,12045,189,2278
314566,12055,185,2231
314616,12056,195,2359
314666,12050,194,2341
314716,12042,192,2320
314766,12043,192,2322
314816,12042,217,2614
314866,12049,167,2017
314916,12047,188,2272
314966,12053,184,2224
315016,12046,200,2412
315066,12049,186,2243
315116,12055,202,2443
315166,12054,202,2444
315216,12044,196,2363
315266,12050,192,2315
315316,12043,213,2568
315366,12054,186,2243
315416,12053,189,2283
315466,12049,187,2258
315516,12051,198,2396
315566,12038,196,2370
315616,12041,207,2492
315666,12054,204,2460
315716,12051,202,2440
315766,12043,189,2284
315816,12041,192,2320
315866,12045,194,2347
315916,12054,216,2613
315966,12050,205,2471
316016,12053,205,2472
316066,12057,183,2209
316116,12056,212,2565
316166,12040,175,2115
316216,12049,205,2471
316266,12056,203,2447
316316,12052,216,2609
316366,12043,186,2243
316416,12043,215,2599
316466,12054,207,2498
316516,12047,196,2363
316566,12048,193,2332
316616,12045,221,2662
316666,12041,209,2525
316716,12053,181,2185
316766,12054,214,2580
316816,12049,198,2394
316866,12048,191,2302
316916,12052,189,2287
316966,12048,185,2237
317016,12058,204,2461
317066,12059,179,2163
317116,12057,213,2567
317166,12054,199,2409
317216,12056,212,2561
317266,12042,191,2303
317316,12058,182,2196
317366,12046,188,2270
317416,12057,182,2197
317466,12051,201,2429
317516,12047,216,2604
317566,12044,185,2238
317616,12048,201,2425
317666,12057,185,2230
317716,12058,172,2084
317766,12048,193,2327
317816,12053,213,2571
317866,12051,197,2383
317916,12051,198,2386
317966,12053,188,2273
318016,12049,209,2528
318066,12044,192,2319
318116,12053,219,2646
318166,12056,190,2298
318216,12061,213,2569
318266,12045,187,2260
318316,12039,202,2434
318366,12042,220,2652
318416,12055,177,2141
318466,12043,205,2477
318516,12052,201,2423
318566,12040,185,2233
318616,12057,187,2256
318666,12051,194,2338
318716,12053,186,2248
318766,12057,211,2553
318816,12053,200,2411
318866,12042,226,2723
318916,12048,213,2572
318966,12047,178,2155
319016,12045,175,2112
319066,12055,197,2382
319116,12043,209,2523
319166,12055,181,2182
319216,12048,196,2361
319266,12056,201,2424
319316,12047,202,2444
319366,12051,201,2433
319416,12042,213,2568
319466,12055,204,2459
319516,12046,179,2167
319566,12049,204,2458
319616,12047,213,2573
319666,12039,179,2160
319716,12057,214,2588
319766,12039,202,2432
319816,12049,190,2298
319866,12052,203,2452
319916,12055,189,2278
