time_stamp,voltage,current,power
417266,12048,207,2498
417316,12044,198,2391
417366,12050,208,2509
417416,12050,211,2545
417466,12052,210,2535
417516,12057,190,2295
417566,12056,197,2386
417616,12046,195,2351
417666,12049,194,2348
417716,12043,223,2691
417766,12047,214,2585
417816,12052,192,2319
417866,12059,194,2346
417916,12043,192,2322
417966,12048,221,2669
418016,12051,207,2497
418066,12051,201,2433
418116,12042,200,2416
418166,12041,204,2459
418216,12055,212,2565
418266,12057,184,2228
418316,12059,197,2384
418366,12049,214,2578
418416,12046,201,2421
418466,12044,195,2350
418516,12044,216,2608
418566,12046,210,2541
418616,12060,208,2509
418666,12047,196,2361
418716,12043,228,2752
418766,12044,214,2577
418816,12046,191,2305
418866,12045,193,2334
418916,12046,214,2588
418966,12056,221,2664
419016,12058,191,2309
419066,12046,199,2399
419116,12042,216,2601
419166,12043,208,2508
419216,12056,207,2502
419266,12042,217,2624
419316,12062,222,2689
419366,12048,215,2590
419416,12047,222,2683
419466,12045,223,2692
419516,12055,197,2376
419566,12051,206,2488
419616,12055,197,2376
419666,12054,183,2206
419716,12051,205,2476
419766,12052,195,2352
419816,12043,198,2390
419866,12046,195,2359
419916,12052,203,2448
419966,12048,203,2447
420016,12064,216,2617
420066,12064,209,2528
420116,12050,210,2540
420166,12045,188,2271
420216,12054,209,2528
420266,12050,204,2461
420316,12043,234,2825
420366,12061,226,2734
420416,12063,190,2299
420466,12043,199,2401
420516,12044,188,2268
420566,12050,212,2559
420616,12063,191,2309
420666,12040,193,2324
420716,12044,200,2419
420766,12051,203,2451
420816,12057,200,2421
420866,12060,214,2583
420916,12055,188,2274
420966,12054,190,2300
421016,12052,215,2596
421066,12058,206,2486
421116,12036,210,2534
421166,12056,193,2333
421216,12053,189,2287
421266,12058,202,2438
421316,12041,221,2667
421366,12053,196,2367
421416,12033,221,2664
421466,12063,209,2531
421516,12053,219,2642
421566,12050,198,2390
421616,12054,221,2671
421666,12050,197,2383
421716,12054,218,2629
421766,12042,211,2548
421816,12050,224,2705
421866,12047,218,2632
421916,12050,215,2590
421966,12048,202,2442
422016,12060,210,2540
422066,12056,189,2283
422116,12058,198,2388
422166,12047,195,2351
422216,12056,222,2681
422266,12047,204,2466
422316,12046,215,2596
422366,12052,212,2564
422416,12042,213,2574
422466,12052,206,2493
422516,12059,201,2431
422566,12053,202,2443
422616,12043,196,2369
422666,12046,220,2655
422716,12043,234,2826
422766,12062,214,2587
422816,12057,189,2283
422866,12052,191,2311
422916,12054,213,2569
422966,12053,205,2472
423016,12053,219,2642
423066,12046,200,2419
423116,12054,232,2804
423166,12044,214,2584
423216,12042,201,2421
423266,12053,196,2372
423316,12052,213,2568
423366,12062,188,2270
423416,12061,209,2528
423466,12040,214,2587
423516,12053,197,2376
423566,12046,202,2439
423616,12048,208,2515
423666,12052,217,2617
423716,12064,229,2765
423766,12056,193,2327
423816,12048,197,2377
423866,12054,187,2264
423916,12039,208,2508
423966,12050,205,2473
424016,12038,203,2453
424066,12042,196,2368
424116,12046,220,2651
424166,12061,205,2479
424216,12051,194,2338
424266,12066,191,2310
424316,12061,186,2247
424366,12044,211,2543
424416,12054,222,2686
424466,12041,211,2551
424516,12042,204,2467
424566,12038,207,2491
424616,12051,214,2585
424666,12050,212,2565
424716,12058,204,2468
424766,12038,232,2795
424816,12040,233,2811
424866,12048,217,2624
424916,12050,185,2235
424966,12045,200,2419
425016,12060,205,2474
425066,12045,213,2572
425116,12029,218,2625
425166,12043,209,2528
425216,12049,196,2370
425266,12056,211,2554
425316,12041,210,2536
425366,12055,201,2432
425416,12040,213,2565
425466,12048,212,2562
425516,12045,219,2647
425566,12047,194,2345
425616,12062,195,2357
425666,12043,203,2448
425716,12036,195,2355
425766,12048,231,2784
425816,12047,219,2643
425866,12043,216,2611
425916,12043,204,2466
425966,12052,203,2449
426016,12055,195,2355
426066,12047,209,2519
426116,12045,198,2385
426166,12057,205,2475
426216,12059,186,2243
426266,12046,192,2321
426316,12062,198,2389
426366,12063,185,2235
426416,12061,205,2483
426466,12054,219,2646
426516,12041,213,2573
426566,12052,219,2647
426616,12047,217,2621
426666,12041,189,2281
426716,12052,228,2748
426766,12060,210,2533
426816,12058,199,2407
426866,12056,208,2512
426916,12038,216,2601
426966,12041,188,2269
427016,12040,213,2571
427066,12045,188,2272
427116,12043,202,2439
427166,12061,191,2303
427216,12057,208,2516
427266,12052,179,2158
427316,12047,208,2517
427366,12045,216,2611
427416,12038,210,2528
427466,12049,206,2482
427516,12055,191,2312
427566,12037,223,2693
427616,12049,187,2258
427666,12052,222,2687
427716,12040,203,2450
427766,12061,206,2487
427816,12046,213,2577
427866,12060,204,2466
427916,12049,204,2466
427966,12054,209,2519
428016,12051,212,2560
428066,12047,210,2537
428116,12047,227,2740
428166,12048,191,2308
428216,12047,198,2394
428266,12056,208,2510
428316,12050,213,2568
428366,12036,196,2361
428416,12045,200,2418
428466,12043,202,2444
428516,12057,220,2654
428566,12061,194,2345
428616,12050,212,2560
428666,12053,186,2251
428716,12061,210,2533
428766,12041,222,2682
428816,12052,197,2384
428866,12053,227,2742
428916,12054,215,2602
428966,12052,213,2569
429016,12062,215,2600
429066,12060,184,2228
429116,12051,206,2483
429166,12042,204,2459
429216,12041,223,2695
429266,12045,222,2679
429316,12055,212,2566
429366,12052,195,2351
429416,12048,201,2422
429466,12065,207,2503
429516,12047,217,2623
429566,12048,198,2394
429616,12052,192,2321
429666,12045,192,2314
429716,12059,213,2573
429766,12039,197,2378
429816,12055,216,2604
429866,12041,186,2243
429916,12061,219,2645
429966,12041,192,2319
430016,12050,195,2352
430066,12056,209,2529
430116,12050,228,2751
430166,12045,199,2404
430216,12059,207,2496
430266,12046,203,2447
430316,12044,216,2611
430366,12045,227,2735
430416,12039,211,2546
430466,12060,211,2555
430516,12057,185,2241
430566,12065,191,2315
430616,12060,223,2690
430666,12054,198,2395
430716,12044,206,2488
430766,12052,183,2212
430816,12049,213,2574
430866,12037,224,2699
430916,12050,217,2623
430966,12056,213,2571
431016,12054,213,2569
431066,12054,201,2425
431116,12044,218,2626
431166,12057,218,2637
431216,12057,208,2516
431266,12046,232,2796
431316,12053,215,2593
431366,12044,186,2251
431416,12051,200,2414
431466,12053,191,2307
431516,12041,205,2478
431566,12054,210,2532
431616,12060,208,2519
431666,12047,220,2660
431716,12047,218,2635
431766,12049,231,2789
431816,12052,224,2701
431866,12054,180,2172
431916,12043,198,2393
431966,12052,217,2627
432016,12046,201,2431
432066,12043,187,2261
432116,12040,203,2453
432166,12050,206,2491
432216,12044,204,2459
432266,12052,192,2315
432316,12045,196,2365
432366,12047,212,2557
432416,12048,196,2367
432466,12051,221,2671
432516,12051,211,2553
432566,12060,213,2568
432616,12047,202,2444
432666,12043,201,2430
432716,12042,195,2355
432766,12039,215,2591
432816,12054,210,2536
432866,12042,223,2693
432916,12050,192,2318
432966,12048,189,2285
433016,12044,204,2464
433066,12038,201,2425
433116,12051,215,2600
433166,12056,208,2511
433216,12051,198,2390
433266,12038,203,2452
433316,12037,219,2646
433366,12042,219,2636
433416,12048,212,2558
433466,12046,202,2433
433516,12052,205,2478
433566,12051,227,2744
433616,12046,234,2821
433666,12048,214,2589
433716,12045,198,2396
433766,12048,194,2345
433816,12057,178,2148
433866,12057,210,2532
433916,12061,213,2569
433966,12047,189,2279
434016,12057,186,2247
434066,12059,196,2363
434116,12045,202,2436
434166,12054,209,2529
434216,12047,199,2401
434266,12049,192,2319
434316,12049,211,2551
434366,12064,199,2402
434416,12040,201,2422
434466,12043,223,2692
434516,12037,211,2540
434566,12038,194,2344
434616,12054,217,2623
434666,12043,198,2396
434716,12042,229,2766
434766,12044,230,2773
434816,12040,234,2825
434866,12053,194,2342
434916,12039,237,2859
434966,12057,189,2283
435016,12041,237,2862
435066,12057,218,2631
435116,12035,226,2730
435166,12046,210,2538
435216,12055,223,2700
435266,12054,198,2393
435316,12056,197,2377
435366,12037,198,2392
435416,12048,218,2635
435466,12050,221,2672
435516,12054,174,2101
435566,12043,206,2482
435616,12049,201,2431
435666,12042,212,2555
435716,12043,209,2524
435766,12049,221,2662
435816,12041,218,2629
435866,12038,227,2739
435916,12059,208,2518
435966,12052,187,2264
436016,12053,210,2538
436066,12046,207,2494
436116,12048,201,2423
436166,12052,208,2508
436216,12047,215,2595
436266,12059,198,2395
436316,12046,207,2500
436366,12060,220,2655
436416,12035,229,2761
436466,12052,205,2477
436516,12063,195,2358
436566,12048,211,2548
436616,12044,219,2648
436666,12053,196,2373
436716,12043,208,2512
436766,12045,198,2395
436816,12041,221,2661
436866,12050,194,2345
436916,12054,211,2546
436966,12049,202,2439
437016,12066,206,2492
437066,12041,219,2639
437116,12048,193,2329
437166,12039,213,2570
437216,12055,196,2364
437266,12054,219,2648
437316,12064,206,2487
437366,12056,188,2274
437416,12056,193,2327
437466,12074,219,2650
437516,12054,210,2532
437566,12061,224,2710
437616,12061,204,2465
437666,12051,226,2734
437716,12047,195,2360
437766,12052,214,2579
437816,12035,213,2572
437866,12058,192,2317
437916,12060,214,2587
437966,12058,197,2375
438016,12062,203,2457
438066,12049,205,2476
438116,12036,191,2301
438166,12051,203,2450
438216,12043,198,2392
438266,12046,202,2439
438316,12052,205,2482
438366,12044,210,2529
438416,12053,207,2504
438466,12049,212,2560
438516,12052,189,2287
438566,12049,223,2698
438616,12039,216,2609
438666,12058,192,2319
438716,12054,191,2311
438766,12058,208,2516
438816,12042,222,2684
438866,12055,215,2593
438916,12058,202,2436
438966,12047,218,2627
439016,12052,195,2352
439066,12054,208,2515
439116,12046,207,2504
439166,12050,204,2470
439216,12049,193,2333
439266,12053,204,2459
439316,12035,223,2684
439366,12038,213,2568
439416,12042,207,2498
439466,12057,193,2328
439516,12061,205,2480
439566,12047,204,2466
439616,12056,211,2544
439666,12045,192,2320
439716,12054,190,2300
439766,12036,195,2357
439816,12046,205,2479
439866,12052,183,2205
439916,12039,213,2570
439966,12044,212,2555
440016,12056,213,2575
440066,12046,184,2216
