time_stamp,voltage,current,power
0001124116,12043.0,179.0,2163.0
0001124216,12043.0,181.0,2190.0
0001124316,12051.0,149.0,1799.0
0001124416,12044.0,184.0,2216.0
0001124516,12041.0,171.0,2067.0
0001124616,12059.0,151.0,1832.0
0001124716,12046.0,169.0,2045.0
0001124766,12039.0,176.0,2119.0
0001124816,12045.0,164.0,1984.0
0001124866,12058.0,189.0,2285.0
0001124917,12057.0,156.0,1884.0
0001124966,12047.0,180.0,2170.0
0001125016,12050.0,172.0,2083.0
0001125066,12041.0,183.0,2209.0
0001125116,12062.0,181.0,2184.0
0001125166,12044.0,188.0,2266.0
0001125216,12049.0,156.0,1879.0
0001125266,12048.0,172.0,2078.0
0001125316,12036.0,184.0,2224.0
0001125366,12052.0,170.0,2052.0
0001125416,12041.0,184.0,2217.0
0001125466,12046.0,169.0,2040.0
0001125516,12051.0,156.0,1886.0
0001125566,12050.0,172.0,2079.0
0001125616,12039.0,167.0,2012.0
0001125666,12058.0,177.0,2143.0
0001125716,12053.0,218.0,2629.0
0001125766,12049.0,149.0,1803.0
0001125816,12042.0,176.0,2123.0
0001125866,12039.0,172.0,2079.0
0001125916,12048.0,172.0,2075.0
0001125967,12052.0,184.0,2220.0
0001126016,12046.0,176.0,2126.0
0001126066,12041.0,186.0,2239.0
0001126116,12051.0,150.0,1811.0
0001126166,12051.0,165.0,1999.0
0001126216,12049.0,177.0,2140.0
0001126266,12043.0,171.0,2064.0
0001126316,12040.0,184.0,2225.0
0001126366,12045.0,189.0,2277.0
0001126416,12054.0,174.0,2101.0
0001126466,12055.0,182.0,2203.0
0001126516,12058.0,175.0,2121.0
0001126566,12042.0,182.0,2198.0
0001126616,12050.0,168.0,2034.0
0001126666,12053.0,177.0,2139.0
