time_stamp,voltage,current,power
1994566,12052,183,2207
1994616,12034,207,2501
1994666,12045,201,2431
1994716,12034,212,2560
1994766,12052,201,2427
1994816,12041,204,2461
1994866,12056,194,2348
1994916,12045,220,2652
1994966,12040,202,2438
1995016,12053,212,2562
1995066,12047,214,2584
1995116,12049,201,2423
1995166,12043,211,2551
1995216,12049,208,2507
1995266,12046,183,2212
1995316,12042,218,2631
1995366,12044,218,2633
1995416,12043,214,2583
1995466,12037,193,2334
1995516,12058,196,2366
1995566,12040,217,2623
1995616,12055,191,2302
1995666,12043,193,2333
1995716,12039,196,2359
1995766,12045,187,2255
1995816,12036,190,2286
1995866,12058,202,2441
1995916,12056,208,2507
1995966,12063,221,2676
1996016,12051,215,2593
1996066,12058,199,2405
1996116,12041,199,2399
1996166,12049,197,2376
1996216,12042,217,2618
1996266,12038,202,2436
1996316,12053,191,2313
1996366,12039,201,2424
1996416,12050,214,2584
1996466,12047,198,2385
1996516,12050,192,2325
1996566,12049,190,2292
1996616,12037,203,2447
1996666,12044,202,2436
1996716,12040,196,2361
1996766,12044,214,2582
1996816,12043,214,2588
1996866,12060,203,2449
1996916,12052,191,2305
1996966,12048,205,2475
1997016,12052,195,2349
1997066,12038,208,2510
1997116,12058,222,2685
1997166,12041,206,2489
1997216,12052,218,2633
1997266,12041,217,2613
1997316,12045,200,2414
1997366,12060,216,2607
1997416,12051,228,2759
1997466,12050,211,2543
1997516,12043,212,2556
1997566,12053,215,2600
1997616,12037,224,2700
1997666,12049,207,2499
1997716,12045,210,2532
1997766,12051,201,2432
1997816,12043,193,2336
1997866,12050,201,2423
1997916,12049,205,2481
1997966,12051,212,2558
1998016,12048,184,2224
1998066,12040,219,2637
1998116,12046,213,2576
1998166,12043,227,2734
1998216,12059,197,2387
1998266,12051,201,2432
1998316,12058,195,2356
1998366,12042,222,2674
1998416,12047,221,2664
1998466,12051,182,2197
1998516,12045,205,2475
1998566,12053,198,2397
1998616,12048,189,2285
1998666,12051,211,2549
1998716,12041,218,2630
1998766,12049,208,2506
1998816,12043,208,2510
1998866,12055,197,2386
1998916,12041,199,2396
