time_stamp,voltage,current,power
0002993516,12053.0,192.0,2321.0
0002993616,12052.0,189.0,2280.0
0002993716,12058.0,180.0,2179.0
0002993816,12043.0,169.0,2043.0
0002993916,12045.0,171.0,2059.0
0002994016,12052.0,164.0,1987.0
0002994116,12050.0,163.0,1966.0
0002994166,12051.0,188.0,2273.0
0002994216,12043.0,174.0,2103.0
0002994266,12047.0,237.0,2862.0
0002994316,12056.0,242.0,2917.0
0002994366,12046.0,182.0,2201.0
0002994416,12055.0,157.0,1904.0
0002994466,12053.0,166.0,2001.0
0002994516,12043.0,161.0,1947.0
0002994566,12045.0,174.0,2098.0
0002994616,12059.0,156.0,1882.0
0002994666,12042.0,174.0,2099.0
0002994716,12044.0,168.0,2027.0
0002994766,12039.0,152.0,1834.0
0002994816,12044.0,167.0,2015.0
0002994866,12041.0,170.0,2050.0
0002994916,12041.0,164.0,1976.0
0002994966,12048.0,169.0,2047.0
0002995016,12053.0,156.0,1891.0
0002995066,12051.0,177.0,2140.0
0002995116,12034.0,152.0,1840.0
0002995166,12055.0,176.0,2126.0
0002995216,12046.0,159.0,1919.0
0002995266,12051.0,164.0,1981.0
0002995316,12042.0,178.0,2151.0
0002995366,12053.0,171.0,2066.0
0002995416,12053.0,165.0,1992.0
0002995466,12058.0,154.0,1867.0
0002995516,12042.0,181.0,2182.0
0002995566,12043.0,170.0,2049.0
0002995616,12050.0,154.0,1858.0
0002995666,12047.0,179.0,2161.0
0002995716,12061.0,183.0,2215.0
0002995766,12043.0,179.0,2157.0
0002995816,12056.0,188.0,2274.0
0002995866,12045.0,165.0,1988.0
0002995916,12055.0,149.0,1806.0
0002995966,12045.0,165.0,1989.0
0002996016,12051.0,162.0,1952.0
0002996066,12060.0,177.0,2144.0
0002996116,12045.0,178.0,2151.0
0002996166,12048.0,174.0,2105.0
0002996216,12044.0,163.0,1966.0
