time_stamp,voltage,current,power
0003014666,12056.0,170.0,2057.0
0003014766,12049.0,158.0,1909.0
0003014866,12051.0,184.0,2223.0
0003014966,12060.0,184.0,2227.0
0003015066,12040.0,194.0,2345.0
0003015166,12058.0,184.0,2221.0
0003015266,12049.0,164.0,1981.0
0003015316,12059.0,177.0,2142.0
0003015366,12046.0,185.0,2238.0
0003015416,12053.0,164.0,1983.0
0003015466,12043.0,166.0,2007.0
0003015516,12059.0,161.0,1946.0
0003015566,12043.0,240.0,2898.0
0003015616,12052.0,267.0,3219.0
0003015666,12048.0,261.0,3148.0
0003015716,12051.0,268.0,3233.0
0003015766,12046.0,270.0,3252.0
0003015816,12061.0,249.0,3012.0
0003015866,12059.0,284.0,3426.0
0003015916,12048.0,288.0,3471.0
0003015966,12057.0,262.0,3160.0
0003016016,12052.0,282.0,3405.0
0003016066,12056.0,287.0,3462.0
0003016116,12048.0,271.0,3270.0
0003016166,12052.0,298.0,3596.0
0003016216,12044.0,288.0,3470.0
0003016266,12052.0,281.0,3389.0
0003016316,12050.0,299.0,3604.0
0003016366,12055.0,269.0,3248.0
0003016416,12043.0,285.0,3436.0
0003016466,12052.0,284.0,3427.0
0003016516,12055.0,266.0,3206.0
0003016566,12055.0,277.0,3341.0
0003016616,12060.0,278.0,3353.0
0003016666,12057.0,284.0,3427.0
0003016716,12056.0,280.0,3384.0
0003016766,12050.0,286.0,3448.0
0003016816,12052.0,276.0,3338.0
0003016866,12048.0,269.0,3251.0
0003016916,12053.0,282.0,3401.0
0003016966,12059.0,257.0,3108.0
0003017016,12051.0,268.0,3236.0
0003017066,12045.0,267.0,3218.0
0003017116,12057.0,282.0,3402.0
0003017166,12054.0,265.0,3199.0
0003017216,12056.0,263.0,3179.0
0003017266,12049.0,289.0,3491.0
0003017316,12052.0,264.0,3192.0
0003017366,12057.0,275.0,3324.0
0003017416,12053.0,261.0,3152.0
0003017466,12057.0,257.0,3100.0
0003017516,12049.0,267.0,3220.0
0003017566,12057.0,267.0,3222.0
0003017616,12046.0,291.0,3511.0
0003017666,12046.0,289.0,3485.0
0003017716,12047.0,273.0,3294.0
0003017766,12058.0,282.0,3411.0
0003017816,12047.0,278.0,3354.0
0003017866,12059.0,286.0,3460.0
0003017916,12051.0,289.0,3487.0
0003017966,12057.0,288.0,3480.0
0003018016,12048.0,295.0,3558.0
0003018066,12048.0,274.0,3305.0
0003018116,12057.0,263.0,3179.0
0003018166,12060.0,276.0,3338.0
0003018216,12058.0,262.0,3161.0
0003018266,12046.0,278.0,3359.0
0003018316,12042.0,274.0,3306.0
0003018366,12053.0,267.0,3224.0
0003018416,12055.0,258.0,3114.0
0003018466,12059.0,262.0,3159.0
0003018516,12057.0,256.0,3096.0
0003018566,12046.0,262.0,3159.0
0003018616,12042.0,274.0,3308.0
0003018666,12047.0,278.0,3360.0
0003018716,12045.0,282.0,3408.0
0003018766,12062.0,270.0,3265.0
0003018816,12046.0,259.0,3129.0
0003018866,12052.0,284.0,3431.0
0003018916,12040.0,265.0,3192.0
0003018966,12047.0,279.0,3366.0
0003019016,12042.0,284.0,3421.0
0003019066,12056.0,263.0,3179.0
0003019116,12046.0,281.0,3388.0
0003019166,12043.0,269.0,3240.0
0003019216,12053.0,255.0,3073.0
0003019266,12054.0,275.0,3322.0
0003019316,12066.0,285.0,3439.0
0003019366,12051.0,274.0,3313.0
0003019416,12040.0,267.0,3214.0
0003019466,12045.0,274.0,3301.0
0003019516,12044.0,263.0,3179.0
0003019566,12038.0,295.0,3550.0
0003019616,12049.0,271.0,3274.0
0003019666,12051.0,261.0,3150.0
0003019716,12052.0,263.0,3170.0
0003019766,12050.0,264.0,3183.0
0003019816,12044.0,281.0,3395.0
0003019866,12048.0,262.0,3164.0
0003019916,12056.0,275.0,3318.0
0003019966,12044.0,281.0,3394.0
0003020016,12055.0,274.0,3314.0
0003020066,12044.0,277.0,3339.0
0003020116,12054.0,291.0,3513.0
0003020167,12043.0,263.0,3174.0
0003020216,12046.0,287.0,3458.0
0003020266,12049.0,293.0,3537.0
0003020316,12049.0,273.0,3294.0
0003020366,12056.0,268.0,3234.0
0003020416,12042.0,266.0,3213.0
0003020466,12057.0,272.0,3285.0
0003020516,12043.0,284.0,3420.0
0003020566,12058.0,268.0,3232.0
0003020616,12040.0,285.0,3432.0
0003020666,12053.0,291.0,3510.0
0003020716,12050.0,272.0,3279.0
0003020766,12056.0,266.0,3206.0
0003020816,12055.0,282.0,3411.0
0003020866,12052.0,262.0,3168.0
0003020916,12055.0,287.0,3470.0
0003020966,12051.0,284.0,3422.0
0003021016,12047.0,272.0,3285.0
0003021066,12045.0,270.0,3263.0
