time_stamp,voltage,current,power
0003240966,12046.0,181.0,2187.0
0003241066,12045.0,174.0,2099.0
0003241166,12057.0,157.0,1904.0
0003241266,12056.0,150.0,1813.0
0003241366,12045.0,168.0,2027.0
0003241466,12049.0,159.0,1917.0
0003241566,12039.0,174.0,2105.0
0003241616,12049.0,164.0,1979.0
0003241666,12052.0,175.0,2115.0
0003241717,12059.0,202.0,2443.0
0003241766,12049.0,267.0,3227.0
0003241816,12047.0,280.0,3382.0
0003241866,12045.0,296.0,3571.0
0003241916,12050.0,290.0,3504.0
0003241966,12045.0,314.0,3783.0
0003242016,12044.0,312.0,3767.0
0003242066,12046.0,310.0,3737.0
0003242116,12055.0,291.0,3512.0
0003242166,12046.0,268.0,3239.0
0003242216,12049.0,295.0,3555.0
0003242266,12057.0,292.0,3527.0
0003242316,12049.0,281.0,3392.0
0003242366,12054.0,276.0,3338.0
0003242416,12047.0,288.0,3480.0
0003242466,12048.0,272.0,3278.0
0003242516,12041.0,300.0,3612.0
0003242566,12046.0,291.0,3508.0
0003242616,12062.0,284.0,3424.0
0003242666,12055.0,272.0,3287.0
0003242716,12047.0,288.0,3474.0
0003242766,12056.0,283.0,3418.0
0003242816,12045.0,309.0,3722.0
0003242866,12051.0,308.0,3711.0
0003242916,12045.0,304.0,3672.0
0003242966,12059.0,285.0,3448.0
0003243016,12052.0,291.0,3512.0
0003243066,12041.0,322.0,3885.0
0003243116,12060.0,294.0,3547.0
0003243166,12055.0,302.0,3643.0
0003243216,12040.0,306.0,3685.0
0003243266,12043.0,303.0,3659.0
0003243316,12041.0,300.0,3614.0
0003243366,12046.0,281.0,3389.0
0003243416,12055.0,295.0,3561.0
0003243466,12037.0,310.0,3736.0
0003243516,12048.0,276.0,3325.0
0003243566,12041.0,309.0,3724.0
0003243616,12042.0,278.0,3351.0
0003243666,12045.0,313.0,3774.0
0003243716,12042.0,286.0,3446.0
0003243766,12042.0,295.0,3563.0
0003243816,12058.0,289.0,3487.0
0003243866,12059.0,277.0,3342.0
0003243916,12053.0,269.0,3247.0
0003243966,12050.0,269.0,3248.0
0003244016,12045.0,292.0,3517.0
0003244066,12044.0,294.0,3541.0
0003244116,12040.0,290.0,3498.0
0003244166,12060.0,266.0,3216.0
0003244216,12047.0,294.0,3551.0
0003244266,12051.0,297.0,3590.0
0003244316,12041.0,308.0,3708.0
0003244366,12056.0,301.0,3628.0
0003244416,12053.0,290.0,3496.0
0003244466,12061.0,297.0,3587.0
0003244516,12060.0,284.0,3435.0
0003244566,12056.0,295.0,3565.0
0003244616,12042.0,327.0,3947.0
0003244666,12039.0,275.0,3311.0
0003244716,12048.0,312.0,3760.0
0003244766,12042.0,300.0,3615.0
0003244816,12052.0,293.0,3540.0
0003244866,12051.0,290.0,3505.0
0003244916,12058.0,282.0,3409.0
0003244966,12051.0,289.0,3490.0
0003245016,12060.0,288.0,3475.0
0003245066,12047.0,274.0,3307.0
0003245116,12044.0,306.0,3693.0
0003245166,12051.0,281.0,3393.0
0003245216,12043.0,307.0,3704.0
0003245266,12048.0,291.0,3509.0
0003245316,12048.0,270.0,3264.0
0003245366,12056.0,301.0,3630.0
0003245416,12040.0,289.0,3480.0
0003245466,12055.0,289.0,3489.0
0003245516,12042.0,253.0,3056.0
0003245566,12059.0,275.0,3325.0
0003245616,12045.0,267.0,3219.0
0003245666,12055.0,294.0,3546.0
0003245716,12050.0,282.0,3401.0
0003245766,12055.0,295.0,3558.0
0003245816,12046.0,286.0,3449.0
0003245866,12057.0,280.0,3386.0
0003245916,12055.0,282.0,3402.0
0003245966,12045.0,287.0,3464.0
0003246016,12045.0,298.0,3600.0
0003246066,12052.0,313.0,3778.0
0003246116,12053.0,281.0,3391.0
0003246166,12056.0,305.0,3687.0
0003246216,12045.0,303.0,3649.0
0003246266,12051.0,299.0,3612.0
0003246316,12055.0,302.0,3642.0
0003246366,12057.0,262.0,3167.0
0003246416,12052.0,315.0,3801.0
0003246466,12047.0,296.0,3568.0
