time_stamp,voltage,current,power
0003573116,12043.0,180.0,2169.0
0003573216,12037.0,166.0,1998.0
0003573316,12042.0,178.0,2143.0
0003573416,12045.0,172.0,2075.0
0003573516,12056.0,153.0,1852.0
0003573616,12046.0,181.0,2189.0
0003573716,12041.0,182.0,2197.0
0003573766,12040.0,174.0,2101.0
0003573816,12041.0,162.0,1953.0
0003573866,12043.0,174.0,2104.0
0003573916,12051.0,162.0,1958.0
0003573966,12058.0,175.0,2117.0
0003574016,12049.0,156.0,1881.0
0003574066,12037.0,180.0,2177.0
0003574116,12041.0,167.0,2010.0
0003574166,12051.0,164.0,1982.0
0003574216,12040.0,165.0,1992.0
0003574266,12039.0,155.0,1868.0
0003574316,12044.0,180.0,2174.0
0003574366,12052.0,176.0,2128.0
0003574416,12049.0,174.0,2099.0
0003574466,12060.0,181.0,2189.0
0003574516,12041.0,180.0,2167.0
0003574566,12048.0,164.0,1977.0
0003574616,12050.0,223.0,2693.0
0003574666,12049.0,269.0,3247.0
0003574716,12050.0,264.0,3193.0
0003574766,12057.0,268.0,3239.0
0003574816,12042.0,273.0,3293.0
0003574866,12046.0,269.0,3250.0
0003574916,12039.0,266.0,3209.0
0003574966,12044.0,282.0,3403.0
0003575016,12044.0,264.0,3185.0
0003575066,12052.0,255.0,3073.0
0003575116,12065.0,261.0,3154.0
0003575166,12049.0,260.0,3133.0
0003575216,12040.0,263.0,3176.0
0003575266,12042.0,278.0,3354.0
0003575316,12042.0,271.0,3270.0
0003575366,12047.0,261.0,3149.0
0003575416,12063.0,281.0,3390.0
0003575466,12049.0,267.0,3225.0
0003575516,12052.0,268.0,3235.0
0003575566,12052.0,277.0,3341.0
0003575616,12053.0,280.0,3379.0
0003575666,12045.0,274.0,3307.0
0003575716,12047.0,263.0,3169.0
0003575766,12045.0,269.0,3246.0
0003575816,12054.0,272.0,3286.0
0003575866,12057.0,279.0,3368.0
0003575916,12041.0,266.0,3202.0
0003575966,12058.0,253.0,3058.0
0003576016,12050.0,270.0,3257.0
0003576066,12037.0,257.0,3098.0
0003576116,12043.0,274.0,3305.0
0003576166,12042.0,250.0,3021.0
0003576216,12050.0,261.0,3145.0
0003576266,12044.0,266.0,3208.0
0003576316,12039.0,272.0,3284.0
0003576366,12042.0,269.0,3249.0
0003576416,12043.0,264.0,3191.0
0003576466,12053.0,281.0,3398.0
0003576516,12046.0,261.0,3150.0
0003576566,12044.0,267.0,3225.0
0003576616,12040.0,285.0,3442.0
0003576666,12048.0,288.0,3472.0
0003576716,12062.0,261.0,3158.0
0003576766,12044.0,286.0,3444.0
0003576816,12044.0,267.0,3221.0
0003576866,12041.0,275.0,3316.0
0003576916,12060.0,278.0,3362.0
0003576966,12042.0,262.0,3161.0
0003577016,12053.0,260.0,3133.0
0003577066,12057.0,257.0,3101.0
0003577116,12063.0,277.0,3347.0
0003577166,12034.0,260.0,3139.0
0003577216,12044.0,269.0,3251.0
0003577266,12044.0,275.0,3317.0
0003577316,12049.0,265.0,3194.0
0003577366,12050.0,264.0,3186.0
0003577416,12043.0,264.0,3191.0
0003577466,12051.0,284.0,3433.0
0003577516,12038.0,269.0,3245.0
0003577566,12050.0,264.0,3183.0
0003577616,12045.0,272.0,3281.0
0003577666,12054.0,254.0,3072.0
0003577716,12034.0,268.0,3226.0
0003577766,12053.0,255.0,3079.0
0003577816,12056.0,257.0,3107.0
0003577866,12062.0,279.0,3373.0
0003577916,12043.0,271.0,3269.0
0003577966,12049.0,253.0,3058.0
0003578016,12048.0,272.0,3283.0
0003578066,12053.0,260.0,3138.0
0003578116,12047.0,269.0,3245.0
0003578166,12044.0,250.0,3021.0
0003578216,12057.0,275.0,3323.0
0003578266,12039.0,255.0,3071.0
0003578316,12059.0,267.0,3222.0
0003578366,12055.0,271.0,3271.0
0003578416,12046.0,258.0,3110.0
0003578466,12042.0,252.0,3034.0
0003578516,12044.0,268.0,3229.0
0003578566,12044.0,266.0,3213.0
0003578616,12050.0,265.0,3199.0
0003578666,12051.0,276.0,3329.0
0003578716,12044.0,272.0,3278.0
0003578766,12062.0,267.0,3232.0
0003578816,12041.0,266.0,3202.0
0003578866,12063.0,252.0,3050.0
0003578916,12037.0,253.0,3050.0
0003578966,12037.0,279.0,3369.0
0003579016,12051.0,275.0,3315.0
0003579066,12055.0,258.0,3115.0
0003579116,12041.0,276.0,3329.0
0003579166,12046.0,269.0,3252.0
0003579216,12059.0,255.0,3086.0
0003579266,12053.0,274.0,3312.0
0003579316,12052.0,272.0,3289.0
0003579366,12040.0,257.0,3094.0
0003579416,12052.0,283.0,3411.0
0003579466,12046.0,279.0,3362.0
0003579516,12054.0,257.0,3106.0
0003579566,12054.0,270.0,3260.0
0003579616,12038.0,260.0,3134.0
0003579666,12046.0,284.0,3430.0
0003579716,12042.0,279.0,3368.0
0003579766,12034.0,262.0,3161.0
0003579816,12049.0,280.0,3378.0
0003579866,12042.0,280.0,3376.0
0003579916,12048.0,252.0,3042.0
0003579966,12049.0,249.0,2999.0
0003580016,12038.0,252.0,3036.0
0003580066,12051.0,267.0,3228.0
0003580116,12040.0,278.0,3348.0
0003580166,12044.0,271.0,3274.0
0003580216,12060.0,283.0,3416.0
0003580266,12053.0,264.0,3182.0
0003580316,12046.0,260.0,3135.0
0003580366,12048.0,283.0,3412.0
0003580416,12046.0,260.0,3134.0
0003580466,12050.0,281.0,3390.0
0003580516,12043.0,250.0,3012.0
0003580566,12053.0,270.0,3262.0
0003580616,12042.0,286.0,3454.0
0003580666,12044.0,268.0,3234.0
0003580716,12046.0,283.0,3416.0
0003580766,12041.0,258.0,3116.0
0003580816,12047.0,272.0,3286.0
0003580866,12058.0,255.0,3078.0
0003580916,12059.0,274.0,3310.0
0003580966,12043.0,275.0,3319.0
0003581016,12048.0,268.0,3235.0
0003581066,12047.0,271.0,3265.0
0003581116,12055.0,253.0,3058.0
0003581166,12056.0,278.0,3362.0
0003581216,12052.0,260.0,3138.0
0003581266,12035.0,271.0,3263.0
0003581316,12059.0,266.0,3216.0
0003581366,12045.0,254.0,3066.0
0003581416,12048.0,285.0,3441.0
0003581466,12047.0,281.0,3388.0
0003581516,12053.0,253.0,3052.0
0003581566,12049.0,256.0,3093.0
0003581616,12049.0,263.0,3177.0
0003581666,12051.0,257.0,3097.0
0003581716,12039.0,268.0,3235.0
0003581766,12041.0,281.0,3386.0
0003581816,12034.0,255.0,3078.0
0003581866,12048.0,253.0,3050.0
0003581916,12041.0,266.0,3203.0
0003581966,12051.0,263.0,3171.0
0003582016,12043.0,260.0,3141.0
0003582066,12052.0,278.0,3360.0
0003582116,12037.0,261.0,3151.0
0003582166,12045.0,268.0,3234.0
0003582216,12044.0,276.0,3326.0
0003582266,12042.0,271.0,3271.0
0003582316,12051.0,265.0,3197.0
0003582366,12044.0,270.0,3256.0
0003582416,12052.0,273.0,3292.0
0003582466,12053.0,264.0,3190.0
0003582516,12050.0,278.0,3350.0
0003582566,12050.0,278.0,3349.0
0003582616,12057.0,268.0,3237.0
0003582666,12041.0,279.0,3364.0
0003582716,12042.0,269.0,3241.0
0003582766,12039.0,286.0,3447.0
0003582816,12053.0,256.0,3085.0
0003582866,12052.0,263.0,3173.0
0003582916,12040.0,264.0,3189.0
0003582966,12052.0,260.0,3133.0
0003583016,12045.0,279.0,3362.0
0003583066,12053.0,256.0,3096.0
