time_stamp,voltage,current,power
0003737166,12046.0,190.0,2295.0
0003737266,12061.0,154.0,1860.0
0003737366,12050.0,167.0,2022.0
0003737466,12047.0,163.0,1968.0
0003737566,12051.0,169.0,2038.0
0003737666,12043.0,185.0,2239.0
0003737766,12064.0,170.0,2051.0
0003737816,12059.0,164.0,1988.0
0003737866,12055.0,175.0,2110.0
0003737916,12048.0,154.0,1861.0
0003737966,12061.0,151.0,1831.0
0003738016,12041.0,222.0,2682.0
0003738066,12055.0,203.0,2458.0
0003738116,12052.0,211.0,2553.0
0003738166,12056.0,219.0,2646.0
0003738216,12054.0,231.0,2795.0
0003738266,12047.0,219.0,2647.0
0003738316,12055.0,228.0,2760.0
0003738366,12055.0,223.0,2691.0
0003738416,12052.0,213.0,2573.0
0003738466,12054.0,231.0,2793.0
0003738516,12048.0,229.0,2768.0
0003738566,12047.0,250.0,3022.0
0003738616,12061.0,237.0,2863.0
0003738666,12042.0,237.0,2854.0
0003738716,12062.0,246.0,2968.0
0003738766,12053.0,221.0,2667.0
0003738816,12044.0,226.0,2722.0
0003738866,12045.0,257.0,3100.0
0003738916,12054.0,213.0,2576.0
0003738966,12053.0,244.0,2943.0
0003739016,12052.0,247.0,2987.0
0003739066,12052.0,208.0,2508.0
0003739116,12045.0,238.0,2872.0
0003739166,12042.0,227.0,2735.0
0003739216,12041.0,250.0,3012.0
0003739266,12057.0,242.0,2924.0
0003739316,12044.0,236.0,2845.0
0003739366,12046.0,246.0,2970.0
0003739416,12052.0,243.0,2937.0
0003739466,12049.0,249.0,3010.0
0003739516,12053.0,245.0,2964.0
0003739566,12042.0,236.0,2841.0
0003739616,12050.0,238.0,2879.0
0003739666,12060.0,244.0,2953.0
0003739716,12043.0,241.0,2903.0
0003739766,12039.0,244.0,2944.0
0003739816,12039.0,237.0,2855.0
0003739866,12049.0,226.0,2730.0
0003739916,12064.0,237.0,2870.0
0003739966,12045.0,228.0,2753.0
0003740016,12051.0,213.0,2566.0
0003740066,12045.0,242.0,2918.0
0003740116,12049.0,221.0,2662.0
0003740166,12043.0,254.0,3063.0
0003740216,12044.0,222.0,2676.0
0003740266,12048.0,238.0,2876.0
0003740316,12055.0,228.0,2759.0
0003740366,12044.0,246.0,2963.0
0003740416,12042.0,231.0,2791.0
0003740466,12058.0,232.0,2807.0
0003740516,12060.0,229.0,2769.0
0003740566,12049.0,234.0,2827.0
0003740616,12052.0,231.0,2792.0
0003740666,12051.0,234.0,2829.0
0003740716,12041.0,235.0,2837.0
0003740766,12049.0,225.0,2721.0
0003740816,12039.0,231.0,2791.0
0003740866,12058.0,225.0,2719.0
0003740916,12057.0,229.0,2768.0
0003740966,12060.0,243.0,2935.0
0003741016,12039.0,244.0,2944.0
0003741066,12058.0,223.0,2698.0
0003741116,12058.0,249.0,3008.0
0003741166,12044.0,248.0,2987.0
0003741216,12054.0,221.0,2668.0
0003741266,12055.0,222.0,2687.0
0003741316,12057.0,232.0,2799.0
0003741366,12048.0,237.0,2859.0
0003741416,12051.0,242.0,2927.0
0003741466,12047.0,234.0,2829.0
0003741516,12061.0,235.0,2837.0
0003741566,12047.0,251.0,3029.0
0003741616,12052.0,242.0,2918.0
0003741666,12052.0,235.0,2836.0
0003741716,12048.0,243.0,2936.0
0003741766,12048.0,266.0,3204.0
0003741816,12044.0,243.0,2934.0
0003741866,12050.0,233.0,2816.0
0003741916,12053.0,231.0,2785.0
0003741966,12056.0,242.0,2917.0
0003742016,12047.0,230.0,2774.0
0003742066,12054.0,215.0,2599.0
0003742116,12043.0,225.0,2714.0
0003742166,12055.0,238.0,2879.0
0003742216,12042.0,221.0,2662.0
0003742266,12054.0,225.0,2717.0
0003742316,12051.0,210.0,2536.0
0003742366,12048.0,203.0,2450.0
0003742416,12045.0,241.0,2907.0
0003742466,12041.0,230.0,2771.0
0003742516,12046.0,213.0,2565.0
0003742566,12048.0,244.0,2947.0
0003742616,12057.0,233.0,2809.0
0003742666,12044.0,237.0,2862.0
0003742716,12062.0,221.0,2667.0
0003742766,12035.0,222.0,2679.0
0003742816,12047.0,251.0,3026.0
0003742866,12056.0,223.0,2695.0
0003742916,12050.0,244.0,2948.0
0003742966,12047.0,239.0,2889.0
0003743016,12053.0,228.0,2755.0
0003743066,12051.0,223.0,2696.0
0003743116,12052.0,236.0,2847.0
0003743166,12040.0,223.0,2685.0
0003743216,12048.0,230.0,2770.0
0003743266,12043.0,243.0,2932.0
0003743316,12040.0,232.0,2800.0
0003743366,12049.0,200.0,2410.0
0003743416,12044.0,226.0,2731.0
0003743466,12058.0,228.0,2759.0
0003743516,12047.0,243.0,2938.0
0003743566,12053.0,232.0,2807.0
0003743616,12056.0,236.0,2846.0
0003743666,12041.0,251.0,3032.0
0003743716,12041.0,243.0,2934.0
0003743766,12045.0,229.0,2766.0
0003743816,12046.0,224.0,2706.0
0003743866,12058.0,216.0,2606.0
0003743916,12058.0,244.0,2943.0
0003743966,12056.0,219.0,2640.0
0003744016,12054.0,221.0,2673.0
0003744066,12050.0,197.0,2374.0
0003744116,12052.0,219.0,2647.0
0003744166,12044.0,216.0,2603.0
0003744216,12051.0,212.0,2563.0
0003744266,12043.0,213.0,2570.0
0003744316,12054.0,198.0,2398.0
0003744366,12041.0,219.0,2640.0
0003744416,12034.0,219.0,2646.0
0003744466,12043.0,223.0,2686.0
0003744516,12053.0,233.0,2817.0
0003744566,12062.0,243.0,2932.0
0003744616,12052.0,245.0,2961.0
0003744666,12055.0,227.0,2744.0
0003744716,12042.0,227.0,2734.0
0003744766,12041.0,240.0,2897.0
0003744816,12040.0,245.0,2950.0
0003744866,12048.0,245.0,2961.0
0003744916,12052.0,231.0,2793.0
0003744966,12046.0,245.0,2959.0
0003745016,12040.0,241.0,2911.0
0003745066,12058.0,209.0,2523.0
0003745116,12044.0,226.0,2724.0
0003745166,12062.0,219.0,2647.0
0003745216,12054.0,231.0,2788.0
0003745266,12053.0,223.0,2699.0
0003745316,12052.0,246.0,2975.0
0003745366,12043.0,222.0,2674.0
