time_stamp,voltage,current,power
0003772766,12058.0,161.0,1943.0
0003772866,12045.0,185.0,2232.0
0003772966,12049.0,191.0,2310.0
0003773066,12053.0,157.0,1897.0
0003773166,12053.0,168.0,2032.0
0003773266,12049.0,179.0,2165.0
0003773366,12054.0,183.0,2216.0
0003773416,12041.0,171.0,2064.0
0003773466,12052.0,159.0,1918.0
0003773516,12058.0,168.0,2025.0
0003773566,12050.0,163.0,1964.0
0003773616,12042.0,225.0,2708.0
0003773666,12044.0,222.0,2685.0
0003773716,12049.0,218.0,2632.0
0003773766,12052.0,220.0,2661.0
0003773816,12056.0,206.0,2494.0
0003773866,12057.0,208.0,2508.0
0003773916,12043.0,224.0,2707.0
0003773966,12040.0,234.0,2825.0
0003774016,12033.0,219.0,2635.0
0003774066,12040.0,221.0,2666.0
0003774116,12050.0,209.0,2525.0
0003774166,12045.0,216.0,2611.0
0003774216,12050.0,232.0,2803.0
0003774266,12045.0,220.0,2654.0
0003774316,12053.0,216.0,2607.0
0003774366,12058.0,226.0,2730.0
0003774416,12041.0,212.0,2562.0
0003774466,12050.0,213.0,2577.0
0003774516,12056.0,220.0,2663.0
0003774566,12062.0,232.0,2804.0
0003774616,12046.0,233.0,2813.0
0003774666,12037.0,219.0,2638.0
0003774716,12043.0,239.0,2882.0
0003774766,12048.0,222.0,2683.0
0003774816,12051.0,217.0,2619.0
0003774866,12060.0,228.0,2753.0
0003774916,12057.0,208.0,2513.0
0003774966,12055.0,213.0,2573.0
0003775016,12049.0,211.0,2542.0
0003775066,12052.0,223.0,2699.0
0003775116,12042.0,214.0,2584.0
0003775166,12058.0,224.0,2709.0
0003775216,12061.0,204.0,2465.0
0003775266,12055.0,224.0,2701.0
0003775316,12059.0,225.0,2717.0
0003775366,12048.0,230.0,2773.0
0003775416,12055.0,220.0,2657.0
0003775466,12042.0,220.0,2649.0
0003775516,12055.0,209.0,2526.0
0003775566,12047.0,215.0,2599.0
0003775616,12053.0,234.0,2831.0
0003775666,12035.0,201.0,2421.0
0003775716,12045.0,236.0,2843.0
0003775766,12048.0,215.0,2600.0
0003775816,12051.0,208.0,2513.0
0003775866,12042.0,213.0,2571.0
0003775916,12056.0,213.0,2577.0
0003775966,12044.0,209.0,2522.0
0003776016,12043.0,222.0,2674.0
0003776066,12055.0,230.0,2773.0
0003776116,12050.0,213.0,2566.0
0003776166,12056.0,216.0,2614.0
0003776216,12045.0,208.0,2506.0
0003776266,12053.0,213.0,2570.0
