time_stamp,voltage,current,power
3872266,12046,235,2838
3872316,12053,234,2823
3872366,12048,236,2851
3872416,12042,242,2922
3872466,12041,263,3171
3872516,12056,239,2891
3872566,12043,236,2849
3872616,12067,245,2959
3872666,12048,260,3142
3872716,12060,231,2786
3872767,12043,245,2954
3872816,12055,245,2958
3872866,12051,237,2857
3872916,12050,237,2859
3872966,12048,230,2774
3873016,12056,245,2962
3873066,12055,233,2809
3873116,12053,225,2715
3873166,12062,241,2916
3873216,12053,225,2721
3873266,12050,216,2611
3873316,12040,244,2944
3873366,12052,246,2969
3873416,12041,228,2754
3873466,12062,247,2990
3873516,12057,236,2844
3873566,12054,236,2847
3873616,12049,250,3015
3873666,12040,253,3054
3873716,12046,256,3084
3873766,12051,261,3145
3873816,12045,236,2843
3873866,12053,237,2856
3873916,12058,233,2814
3873966,12050,239,2883
3874016,12052,237,2858
3874066,12046,240,2892
3874116,12055,226,2728
3874166,12048,249,3004
3874216,12052,271,3271
3874266,12055,233,2819
3874316,12059,237,2864
3874366,12046,251,3028
3874416,12059,233,2816
3874466,12056,242,2927
3874516,12049,218,2634
3874566,12047,257,3099
3874616,12054,237,2858
3874666,12049,229,2764
3874716,12053,214,2586
3874766,12046,250,3021
3874816,12048,237,2860
3874866,12058,236,2845
3874916,12057,221,2665
3874966,12053,252,3047
3875016,12046,242,2919
3875066,12046,221,2667
3875116,12040,236,2852
3875166,12048,252,3042
3875216,12050,243,2928
3875266,12051,241,2905
3875316,12056,219,2646
3875366,12038,239,2878
3875416,12048,237,2862
3875466,12050,247,2980
3875516,12046,230,2778
3875566,12029,260,3135
3875616,12031,236,2839
3875666,12058,234,2829
3875716,12061,231,2785
3875766,12047,235,2838
3875816,12042,260,3131
3875866,12055,246,2973
3875916,12054,238,2876
3875966,12044,269,3245
3876016,12042,248,2995
3876066,12045,223,2692
3876116,12036,229,2760
3876166,12043,239,2878
3876216,12065,218,2634
3876266,12055,209,2526
3876316,12055,248,2995
3876366,12050,253,3048
3876416,12043,232,2796
3876466,12043,235,2836
3876516,12048,239,2888
3876566,12051,233,2818
3876616,12058,212,2567
3876666,12052,243,2932
3876716,12057,249,3009
3876766,12059,228,2761
3876816,12050,248,2991
3876866,12042,249,3002
3876916,12059,231,2794
3876966,12052,241,2910
3877016,12054,226,2732
3877066,12049,254,3062
3877116,12046,240,2892
3877166,12044,248,2992
3877216,12058,230,2776
3877266,12044,232,2795
3877316,12065,239,2887
3877366,12046,228,2753
3877416,12041,259,3124
3877466,12049,252,3040
3877516,12054,235,2832
3877566,12049,223,2696
3877616,12048,223,2696
3877666,12057,226,2727
3877716,12041,239,2877
3877766,12045,245,2959
3877816,12044,226,2733
3877866,12042,242,2920
3877916,12045,249,3005
3877966,12054,234,2820
3878017,12053,225,2714
3878066,12060,234,2826
3878116,12050,230,2771
3878166,12046,233,2806
3878216,12047,250,3018
3878266,12047,226,2724
3878316,12050,231,2793
3878366,12038,249,2999
3878416,12054,228,2756
3878466,12057,239,2892
3878516,12052,259,3125
3878566,12045,262,3157
3878616,12058,228,2750
3878666,12043,241,2905
3878716,12042,266,3209
3878766,12040,260,3138
3878816,12050,240,2902
3878866,12054,243,2933
3878916,12047,237,2866
3878966,12058,225,2716
3879016,12049,242,2926
3879066,12041,247,2982
3879116,12046,254,3066
3879166,12057,213,2575
3879216,12062,224,2713
3879266,12057,253,3054
3879316,12048,231,2786
3879366,12055,258,3120
3879416,12042,272,3280
3879466,12035,231,2786
3879516,12042,243,2931
3879566,12041,234,2817
3879616,12062,254,3067
3879666,12055,244,2947
3879716,12054,239,2888
3879766,12056,231,2795
3879816,12061,233,2815
3879866,12049,237,2866
3879916,12049,231,2784
3879966,12050,261,3154
3880016,12052,253,3054
3880066,12040,230,2777
3880116,12058,226,2728
3880166,12038,240,2899
3880216,12036,229,2760
3880266,12049,220,2661
3880316,12050,248,2994
3880366,12053,244,2943
3880416,12038,240,2896
3880466,12062,226,2732
3880516,12047,238,2871
3880566,12052,258,3113
3880616,12045,263,3174
3880666,12056,227,2737
3880716,12055,245,2961
3880766,12055,248,2994
3880816,12043,254,3068
3880866,12043,251,3023
3880916,12045,231,2784
3880966,12054,244,2952
