time_stamp,voltage,current,power
0003919416,12054.0,182.0,2197.0
0003919516,12052.0,164.0,1988.0
0003919616,12050.0,185.0,2234.0
0003919716,12055.0,181.0,2182.0
0003919816,12040.0,171.0,2068.0
0003919916,12053.0,167.0,2019.0
0003920016,12058.0,162.0,1954.0
0003920066,12046.0,168.0,2025.0
0003920116,12043.0,176.0,2126.0
0003920166,12060.0,169.0,2044.0
0003920216,12043.0,150.0,1813.0
0003920266,12053.0,182.0,2195.0
0003920316,12044.0,154.0,1865.0
0003920366,12058.0,183.0,2212.0
0003920416,12043.0,179.0,2159.0
0003920466,12053.0,161.0,1944.0
0003920516,12043.0,169.0,2036.0
0003920566,12045.0,164.0,1983.0
0003920616,12058.0,187.0,2257.0
0003920666,12044.0,163.0,1966.0
0003920716,12062.0,173.0,2090.0
0003920766,12047.0,171.0,2064.0
0003920816,12043.0,169.0,2045.0
0003920866,12043.0,161.0,1942.0
0003920916,12054.0,176.0,2126.0
0003920966,12041.0,187.0,2253.0
0003921016,12043.0,184.0,2223.0
0003921066,12052.0,170.0,2057.0
0003921116,12053.0,154.0,1866.0
0003921166,12046.0,186.0,2243.0
0003921216,12045.0,177.0,2135.0
0003921266,12043.0,161.0,1939.0
0003921316,12056.0,161.0,1947.0
0003921366,12055.0,159.0,1925.0
0003921416,12053.0,162.0,1960.0
0003921466,12055.0,182.0,2195.0
0003921516,12046.0,171.0,2067.0
0003921566,12062.0,150.0,1809.0
