time_stamp,voltage,current,power
0003939016,12050.0,161.0,1941.0
0003939116,12043.0,159.0,1920.0
0003939216,12047.0,179.0,2164.0
0003939316,12054.0,171.0,2060.0
0003939416,12046.0,176.0,2130.0
0003939516,12042.0,193.0,2325.0
0003939616,12061.0,167.0,2020.0
0003939666,12052.0,178.0,2155.0
0003939716,12050.0,164.0,1978.0
0003939766,12052.0,191.0,2307.0
0003939816,12061.0,179.0,2166.0
0003939866,12039.0,172.0,2072.0
0003939916,12049.0,178.0,2154.0
0003939966,12042.0,181.0,2188.0
0003940016,12056.0,155.0,1872.0
0003940066,12042.0,170.0,2055.0
0003940116,12047.0,174.0,2099.0
0003940166,12055.0,150.0,1809.0
0003940216,12056.0,161.0,1941.0
0003940266,12059.0,247.0,2986.0
0003940316,12051.0,250.0,3019.0
0003940366,12045.0,248.0,2997.0
0003940416,12044.0,254.0,3070.0
0003940466,12056.0,262.0,3168.0
0003940516,12041.0,244.0,2945.0
0003940566,12057.0,210.0,2540.0
0003940616,12054.0,241.0,2906.0
0003940666,12057.0,255.0,3076.0
0003940716,12045.0,252.0,3036.0
0003940766,12057.0,257.0,3106.0
0003940816,12046.0,249.0,3004.0
0003940866,12045.0,239.0,2889.0
0003940916,12050.0,245.0,2960.0
0003940966,12046.0,264.0,3190.0
0003941016,12049.0,221.0,2666.0
0003941066,12042.0,225.0,2708.0
0003941116,12048.0,258.0,3113.0
0003941166,12046.0,254.0,3070.0
0003941216,12055.0,213.0,2569.0
0003941266,12042.0,243.0,2926.0
0003941316,12057.0,239.0,2885.0
0003941366,12041.0,258.0,3111.0
0003941416,12044.0,250.0,3016.0
0003941466,12047.0,230.0,2772.0
0003941516,12049.0,232.0,2795.0
0003941566,12058.0,212.0,2565.0
0003941616,12055.0,236.0,2848.0
0003941666,12053.0,243.0,2934.0
0003941716,12054.0,215.0,2602.0
0003941766,12057.0,245.0,2955.0
0003941816,12054.0,230.0,2782.0
0003941866,12050.0,233.0,2812.0
0003941916,12043.0,255.0,3071.0
0003941966,12048.0,242.0,2925.0
0003942016,12045.0,245.0,2959.0
0003942066,12059.0,230.0,2773.0
0003942116,12052.0,234.0,2831.0
0003942166,12061.0,210.0,2540.0
0003942216,12045.0,256.0,3092.0
0003942266,12041.0,223.0,2696.0
0003942316,12030.0,237.0,2854.0
0003942366,12058.0,219.0,2651.0
0003942416,12045.0,235.0,2838.0
0003942466,12057.0,233.0,2814.0
0003942516,12055.0,222.0,2678.0
0003942566,12041.0,238.0,2875.0
0003942616,12054.0,254.0,3070.0
0003942666,12040.0,239.0,2887.0
0003942716,12045.0,237.0,2860.0
0003942766,12052.0,231.0,2792.0
0003942816,12054.0,238.0,2874.0
0003942866,12041.0,238.0,2866.0
0003942916,12058.0,220.0,2655.0
0003942966,12041.0,240.0,2893.0
0003943016,12046.0,218.0,2635.0
0003943066,12039.0,230.0,2771.0
0003943116,12055.0,239.0,2884.0
0003943166,12047.0,223.0,2688.0
0003943216,12051.0,219.0,2644.0
0003943266,12047.0,244.0,2949.0
0003943316,12050.0,226.0,2728.0
0003943366,12059.0,241.0,2910.0
0003943416,12043.0,253.0,3051.0
0003943466,12055.0,222.0,2687.0
0003943516,12047.0,242.0,2921.0
0003943566,12056.0,249.0,3008.0
0003943616,12056.0,210.0,2533.0
0003943666,12042.0,230.0,2777.0
0003943716,12048.0,246.0,2964.0
0003943766,12039.0,234.0,2827.0
0003943816,12045.0,246.0,2974.0
0003943866,12043.0,256.0,3090.0
0003943916,12055.0,213.0,2569.0
0003943966,12055.0,236.0,2844.0
0003944016,12058.0,235.0,2833.0
0003944066,12041.0,251.0,3028.0
0003944116,12053.0,241.0,2907.0
0003944167,12048.0,232.0,2797.0
0003944216,12051.0,222.0,2677.0
0003944266,12056.0,245.0,2961.0
0003944316,12053.0,233.0,2814.0
0003944366,12048.0,227.0,2742.0
0003944416,12053.0,235.0,2837.0
0003944466,12046.0,236.0,2850.0
0003944516,12044.0,232.0,2801.0
0003944566,12061.0,227.0,2745.0
0003944616,12058.0,218.0,2635.0
0003944666,12056.0,210.0,2539.0
0003944716,12060.0,225.0,2715.0
0003944766,12057.0,216.0,2607.0
0003944816,12045.0,255.0,3071.0
0003944866,12054.0,235.0,2837.0
0003944916,12049.0,241.0,2904.0
0003944966,12053.0,242.0,2923.0
0003945016,12053.0,232.0,2802.0
0003945066,12049.0,259.0,3129.0
0003945116,12037.0,171.0,2066.0
0003945166,12057.0,167.0,2018.0
0003945216,12051.0,170.0,2052.0
0003945266,12046.0,166.0,2006.0
0003945316,12051.0,151.0,1824.0
0003945366,12056.0,178.0,2147.0
0003945416,12055.0,167.0,2014.0
0003945466,12044.0,176.0,2127.0
