time_stamp,voltage,current,power
2920416,12045,245,2956
2920466,12060,233,2810
2920516,12054,248,3000
2920566,12053,248,2989
2920616,12050,215,2591
2920666,12041,248,2985
2920716,12044,254,3061
2920766,12047,249,3009
2920816,12051,236,2848
2920866,12043,230,2771
2920916,12054,248,2988
2920966,12054,219,2645
2921016,12059,236,2853
2921066,12055,265,3205
2921116,12054,246,2976
2921166,12053,240,2894
2921216,12049,256,3084
2921266,12047,253,3056
2921316,12049,235,2834
2921366,12056,234,2832
2921416,12054,233,2820
2921466,12053,244,2951
2921516,12045,261,3152
2921566,12040,248,2991
2921616,12041,257,3100
2921666,12052,235,2839
2921716,12042,259,3119
2921766,12047,241,2910
2921816,12060,242,2920
2921866,12061,262,3170
2921916,12043,248,2992
2921966,12049,232,2806
2922016,12044,255,3079
2922066,12051,261,3149
2922116,12047,252,3041
2922166,12061,238,2878
2922216,12051,234,2828
2922266,12038,231,2780
2922316,12047,254,3069
2922366,12045,238,2876
2922416,12052,252,3037
2922466,12041,240,2892
2922516,12052,230,2780
2922566,12048,236,2843
2922616,12039,256,3087
2922666,12041,241,2907
2922716,12043,253,3052
2922766,12052,241,2906
2922816,12043,235,2832
2922866,12046,230,2776
2922916,12057,233,2819
2922966,12059,236,2856
2923016,12047,256,3089
2923066,12052,237,2863
2923116,12043,250,3021
2923166,12049,248,2997
2923216,12057,243,2938
2923266,12053,255,3078
2923316,12043,274,3307
2923366,12050,233,2810
2923416,12043,238,2871
2923466,12038,243,2927
2923516,12055,232,2808
2923566,12065,230,2778
2923616,12047,257,3105
2923666,12042,229,2760
2923716,12048,229,2764
2923766,12052,236,2846
2923816,12057,253,3052
2923866,12053,251,3031
2923916,12056,229,2768
2923966,12042,259,3127
2924016,12042,259,3126
2924066,12044,243,2930
2924116,12046,239,2887
2924166,12045,237,2861
2924216,12054,243,2932
2924266,12056,248,2996
2924316,12041,256,3082
2924366,12047,235,2841
2924416,12043,242,2914
2924466,12054,239,2888
2924516,12048,250,3013
2924566,12041,259,3121
2924616,12054,219,2644
2924666,12046,253,3049
2924716,12042,240,2891
2924766,12045,250,3021
2924816,12044,253,3052
2924866,12052,242,2918
2924916,12044,241,2910
2924966,12055,246,2967
2925016,12054,238,2878
2925066,12054,219,2646
2925116,12059,238,2870
2925166,12047,228,2748
2925216,12061,243,2935
2925266,12051,256,3095
2925316,12057,248,2992
2925366,12049,234,2821
2925416,12056,242,2917
2925466,12047,258,3115
2925516,12044,246,2974
2925566,12052,254,3065
2925616,12049,246,2968
2925666,12048,241,2904
2925716,12038,255,3074
2925766,12056,234,2832
2925816,12043,238,2866
2925866,12052,231,2794
2925916,12046,215,2600
2925966,12044,260,3139
2926016,12047,245,2958
2926066,12053,231,2794
2926116,12053,227,2745
2926166,12052,249,3005
2926216,12054,257,3098
2926266,12055,235,2838
2926316,12055,226,2727
2926366,12045,240,2902
2926416,12058,220,2658
2926466,12060,239,2887
2926516,12050,251,3025
2926566,12043,260,3136
2926616,12052,243,2937
2926666,12043,241,2910
2926716,12060,220,2659
2926766,12050,237,2857
2926816,12059,210,2540
2926866,12056,251,3036
2926916,12053,238,2877
2926966,12046,246,2969
2927016,12040,244,2939
2927066,12040,254,3069
2927116,12047,249,3009
2927166,12047,255,3080
2927216,12039,236,2842
2927266,12049,239,2887
2927316,12037,254,3060
2927366,12046,251,3025
2927416,12047,250,3019
2927466,12053,249,3010
2927516,12052,239,2889
2927566,12041,234,2826
2927616,12043,245,2951
2927666,12042,247,2978
2927716,12053,236,2851
2927766,12058,232,2809
2927816,12057,230,2777
2927866,12040,245,2960
2927916,12050,240,2902
2927966,12045,236,2853
2928016,12059,228,2751
2928066,12047,242,2923
2928116,12050,220,2662
2928166,12040,246,2968
2928216,12047,259,3129
2928266,12045,253,3049
2928316,12043,247,2983
2928366,12047,256,3091
2928416,12047,225,2710
2928466,12057,258,3120
2928516,12043,260,3136
2928566,12051,232,2797
2928616,12041,259,3126
2928666,12039,260,3135
2928716,12040,240,2898
2928766,12036,247,2973
2928817,12046,247,2979
2928866,12045,250,3022
2928916,12048,252,3039
2928966,12047,253,3052
2929016,12048,257,3107
2929066,12052,257,3101
2929116,12051,258,3119
2929166,12055,257,3102
2929216,12065,259,3130
2929266,12046,256,3089
2929316,12057,237,2860
2929366,12045,230,2769
2929416,12057,235,2843
2929466,12061,255,3085
2929516,12050,248,2993
2929566,12056,254,3073
2929616,12057,250,3017
2929666,12044,251,3023
2929716,12045,244,2949
2929766,12057,256,3097
2929816,12045,236,2848
2929867,12060,234,2831
2929916,12073,239,2890
2929966,12043,243,2931
2930016,12043,238,2869
2930066,12058,253,3058
2930116,12050,263,3172
2930166,12034,236,2839
2930216,12041,242,2920
2930266,12055,237,2862
2930316,12061,250,3017
2930366,12062,256,3098
2930416,12040,232,2794
2930466,12051,256,3091
2930516,12062,242,2925
2930566,12039,229,2757
2930616,12048,245,2957
2930666,12045,248,2990
2930716,12052,252,3043
2930766,12054,253,3059
2930816,12057,258,3113
2930866,12044,252,3046
2930916,12055,230,2781
2930966,12057,248,3000
