time_stamp,voltage,current,power
3015566,12043,240,2898
3015616,12052,267,3219
3015666,12048,261,3148
3015716,12051,268,3233
3015766,12046,270,3252
3015816,12061,249,3012
3015866,12059,284,3426
3015916,12048,288,3471
3015966,12057,262,3160
3016016,12052,282,3405
3016066,12056,287,3462
3016116,12048,271,3270
3016166,12052,298,3596
3016216,12044,288,3470
3016266,12052,281,3389
3016316,12050,299,3604
3016366,12055,269,3248
3016416,12043,285,3436
3016466,12052,284,3427
3016516,12055,266,3206
3016566,12055,277,3341
3016616,12060,278,3353
3016666,12057,284,3427
3016716,12056,280,3384
3016766,12050,286,3448
3016816,12052,276,3338
3016866,12048,269,3251
3016916,12053,282,3401
3016966,12059,257,3108
3017016,12051,268,3236
3017066,12045,267,3218
3017116,12057,282,3402
3017166,12054,265,3199
3017216,12056,263,3179
3017266,12049,289,3491
3017316,12052,264,3192
3017366,12057,275,3324
3017416,12053,261,3152
3017466,12057,257,3100
3017516,12049,267,3220
3017566,12057,267,3222
3017616,12046,291,3511
3017666,12046,289,3485
3017716,12047,273,3294
3017766,12058,282,3411
3017816,12047,278,3354
3017866,12059,286,3460
3017916,12051,289,3487
3017966,12057,288,3480
3018016,12048,295,3558
3018066,12048,274,3305
3018116,12057,263,3179
3018166,12060,276,3338
3018216,12058,262,3161
3018266,12046,278,3359
3018316,12042,274,3306
3018366,12053,267,3224
3018416,12055,258,3114
3018466,12059,262,3159
3018516,12057,256,3096
3018566,12046,262,3159
3018616,12042,274,3308
3018666,12047,278,3360
3018716,12045,282,3408
3018766,12062,270,3265
3018816,12046,259,3129
3018866,12052,284,3431
3018916,12040,265,3192
3018966,12047,279,3366
3019016,12042,284,3421
3019066,12056,263,3179
3019116,12046,281,3388
3019166,12043,269,3240
3019216,12053,255,3073
3019266,12054,275,3322
3019316,12066,285,3439
3019366,12051,274,3313
3019416,12040,267,3214
3019466,12045,274,3301
3019516,12044,263,3179
3019566,12038,295,3550
3019616,12049,271,3274
3019666,12051,261,3150
3019716,12052,263,3170
3019766,12050,264,3183
3019816,12044,281,3395
3019866,12048,262,3164
3019916,12056,275,3318
3019966,12044,281,3394
3020016,12055,274,3314
3020066,12044,277,3339
3020116,12054,291,3513
3020167,12043,263,3174
3020216,12046,287,3458
3020266,12049,293,3537
3020316,12049,273,3294
3020366,12056,268,3234
3020416,12042,266,3213
3020466,12057,272,3285
3020516,12043,284,3420
3020566,12058,268,3232
3020616,12040,285,3432
3020666,12053,291,3510
3020716,12050,272,3279
3020766,12056,266,3206
3020816,12055,282,3411
3020866,12052,262,3168
3020916,12055,287,3470
3020966,12051,284,3422
3021016,12047,272,3285
3021066,12045,270,3263
3021116,12046,277,3339
3021166,12050,277,3341
3021216,12054,283,3415
3021266,12052,291,3517
3021316,12056,266,3211
3021366,12050,255,3080
3021416,12055,265,3196
3021466,12040,273,3289
3021516,12057,282,3407
3021566,12053,278,3358
3021616,12044,280,3382
3021666,12046,260,3133
3021716,12045,260,3142
3021766,12045,278,3356
3021816,12050,284,3431
3021866,12053,255,3083
3021916,12043,260,3131
3021966,12052,282,3406
3022016,12044,276,3330
3022066,12047,290,3498
3022116,12050,272,3289
3022166,12053,286,3453
3022216,12050,293,3531
3022266,12056,259,3133
3022316,12062,281,3394
3022366,12061,260,3140
3022416,12043,275,3317
3022466,12047,282,3408
3022516,12041,276,3323
3022566,12047,290,3504
3022616,12047,252,3046
3022666,12042,280,3381
3022716,12052,262,3160
3022766,12047,277,3338
3022816,12038,278,3354
3022866,12043,270,3257
3022916,12048,261,3145
3022966,12043,260,3131
3023016,12052,276,3328
3023066,12051,286,3447
3023116,12056,259,3125
3023166,12052,279,3366
3023216,12045,284,3422
3023266,12052,283,3417
3023316,12041,275,3313
3023366,12046,284,3420
3023416,12055,251,3032
3023466,12049,265,3194
3023516,12053,248,2997
3023566,12056,271,3271
3023616,12051,263,3173
3023666,12048,259,3126
3023716,12051,290,3499
3023766,12057,267,3227
3023816,12053,256,3090
3023866,12039,290,3501
3023916,12057,274,3308
3023966,12042,266,3211
3024016,12050,267,3226
3024066,12058,278,3353
3024116,12057,271,3276
3024166,12041,268,3230
3024216,12048,261,3145
3024266,12037,277,3338
3024316,12056,275,3318
3024366,12054,265,3198
3024416,12049,279,3366
3024466,12055,290,3504
3024516,12052,259,3132
3024566,12045,289,3489
3024616,12048,262,3166
3024666,12049,280,3374
3024716,12039,271,3266
3024766,12060,271,3277
3024816,12049,269,3243
3024866,12046,269,3242
3024916,12047,278,3359
3024966,12045,288,3471
3025016,12053,294,3548
3025066,12051,270,3255
3025116,12050,283,3412
3025166,12039,274,3309
3025216,12057,275,3324
3025266,12043,284,3431
3025316,12056,269,3252
3025366,12041,283,3413
3025416,12049,275,3322
3025466,12040,277,3336
3025516,12057,276,3334
3025566,12041,263,3170
3025616,12045,273,3290
3025666,12052,270,3264
3025716,12040,285,3440
3025766,12051,261,3150
3025816,12046,262,3158
3025866,12063,266,3217
3025916,12060,257,3107
3025966,12062,264,3184
3026016,12046,258,3118
3026066,12039,288,3475
3026116,12039,275,3315
3026166,12060,269,3251
3026216,12050,290,3498
3026266,12048,265,3196
3026316,12036,284,3420
3026366,12037,287,3454
3026416,12046,284,3422
3026466,12046,303,3651
3026516,12047,278,3352
3026566,12044,281,3384
3026616,12054,268,3234
3026666,12056,269,3252
3026716,12056,289,3489
3026766,12046,283,3419
3026816,12057,259,3125
3026866,12046,290,3493
3026916,12051,285,3445
3026966,12043,271,3274
3027016,12055,268,3239
3027066,12052,283,3418
3027116,12046,257,3101
3027166,12054,272,3281
3027216,12055,255,3080
3027266,12037,257,3101
3027316,12042,275,3312
3027366,12051,268,3239
3027416,12040,286,3451
3027466,12047,267,3216
3027516,12049,276,3335
3027566,12054,282,3403
3027616,12048,267,3225
3027666,12045,268,3237
3027716,12043,272,3275
3027766,12046,266,3211
3027816,12056,261,3147
3027866,12052,277,3345
3027916,12050,266,3205
3027966,12048,259,3121
3028016,12040,281,3383
3028066,12049,269,3251
3028116,12037,271,3272
3028166,12060,275,3316
3028216,12054,264,3190
3028266,12057,284,3426
3028316,12054,254,3067
3028366,12043,287,3458
3028416,12051,254,3065
3028466,12043,271,3270
3028516,12045,270,3256
3028566,12046,296,3566
3028616,12044,273,3297
3028666,12054,270,3255
3028716,12046,264,3187
3028766,12059,268,3237
3028816,12037,278,3352
3028866,12040,269,3249
3028916,12041,278,3351
3028966,12043,260,3133
3029016,12046,268,3231
3029066,12055,286,3458
3029116,12040,278,3354
3029166,12056,261,3146
3029216,12043,275,3321
3029266,12038,287,3461
3029316,12048,282,3401
3029366,12061,275,3321
3029416,12052,270,3263
3029466,12044,285,3433
3029516,12055,255,3082
3029566,12052,291,3512
3029616,12040,281,3388
3029666,12048,284,3422
3029716,12053,276,3335
3029766,12048,289,3490
3029816,12050,272,3287
3029866,12042,293,3531
3029916,12054,278,3361
3029966,12040,278,3351
3030016,12053,289,3491
3030066,12053,285,3437
3030116,12052,269,3253
3030166,12056,256,3091
3030216,12041,275,3317
3030266,12050,257,3101
3030316,12050,271,3269
3030366,12059,253,3054
3030416,12056,266,3215
3030466,12056,251,3037
3030516,12042,292,3523
3030566,12060,272,3287
3030616,12041,288,3478
3030666,12048,251,3024
3030716,12052,274,3302
3030766,12059,287,3462
3030816,12047,265,3196
3030866,12048,294,3542
3030916,12046,261,3148
3030966,12043,291,3509
3031016,12054,281,3388
3031066,12052,265,3201
3031116,12053,270,3259
3031166,12043,264,3182
3031216,12043,273,3288
3031266,12050,287,3465
3031316,12052,272,3285
3031366,12045,267,3221
3031416,12044,279,3368
3031466,12054,249,3005
3031516,12061,268,3237
3031566,12062,288,3476
3031616,12045,280,3377
3031666,12052,257,3100
3031716,12044,285,3438
3031766,12041,267,3217
3031816,12040,284,3424
3031866,12052,273,3291
3031916,12053,280,3384
3031966,12055,280,3380
3032016,12049,261,3148
3032066,12058,275,3323
3032116,12057,272,3286
3032166,12048,286,3448
3032216,12040,282,3402
3032266,12045,286,3444
3032316,12046,270,3263
3032366,12043,276,3334
3032416,12065,273,3303
3032466,12041,268,3238
3032516,12054,292,3526
3032566,12042,279,3371
3032616,12055,269,3247
3032666,12048,291,3515
3032716,12052,254,3068
3032766,12054,272,3286
3032816,12052,278,3361
3032866,12061,270,3267
3032916,12044,275,3321
3032966,12043,272,3277
3033016,12042,264,3181
3033066,12037,265,3200
3033116,12045,260,3132
3033166,12045,272,3285
3033216,12053,276,3327
3033266,12051,269,3242
3033316,12046,294,3545
3033366,12054,284,3427
3033416,12054,272,3281
3033466,12050,263,3170
3033516,12053,279,3363
3033566,12060,260,3139
3033616,12044,285,3438
3033666,12049,289,3485
3033716,12047,272,3279
3033766,12043,255,3071
3033816,12052,269,3248
3033866,12059,282,3402
3033916,12044,274,3310
3033966,12041,263,3168
3034016,12043,279,3360
3034066,12061,271,3278
3034116,12053,265,3195
3034166,12044,286,3454
3034216,12054,263,3181
3034266,12059,283,3422
3034316,12043,256,3087
3034366,12056,277,3341
3034416,12048,287,3459
3034466,12054,272,3286
3034516,12045,261,3143
3034566,12052,267,3228
3034616,12055,281,3389
3034666,12050,254,3068
3034716,12036,276,3326
3034766,12048,292,3526
3034816,12044,282,3398
3034866,12055,257,3107
3034916,12055,261,3151
3034966,12046,285,3441
3035016,12041,273,3288
3035066,12048,293,3540
3035116,12052,260,3135
3035166,12050,256,3089
3035216,12054,286,3447
3035266,12040,272,3276
3035316,12040,268,3236
3035366,12042,271,3273
3035416,12060,270,3266
3035466,12049,270,3256
3035516,12046,284,3432
3035566,12057,276,3334
3035616,12044,288,3473
3035666,12046,268,3236
3035716,12054,265,3204
3035766,12053,250,3013
3035816,12054,269,3254
3035866,12046,273,3296
3035916,12046,283,3419
3035966,12043,271,3273
3036016,12053,282,3407
3036066,12055,273,3291
