time_stamp,voltage,current,power
3079566,12041,275,3316
3079616,12055,221,2668
3079666,12052,213,2566
3079716,12048,213,2568
3079766,12054,246,2966
3079816,12059,211,2552
3079866,12042,246,2969
3079916,12043,246,2963
3079966,12058,239,2884
3080016,12046,233,2811
3080066,12041,232,2802
3080116,12040,228,2754
3080166,12059,228,2761
3080216,12053,239,2880
3080266,12061,231,2788
3080316,12053,237,2857
3080366,12044,255,3082
3080416,12045,231,2784
3080466,12044,233,2816
3080516,12054,221,2669
3080566,12058,222,2683
3080616,12049,232,2800
3080666,12060,228,2752
3080716,12044,224,2700
3080766,12047,231,2792
3080816,12053,228,2750
3080866,12050,221,2665
3080916,12043,235,2834
3080966,12045,221,2665
3081016,12043,241,2907
3081066,12052,228,2759
3081116,12041,214,2577
3081166,12055,229,2761
3081216,12042,238,2866
3081266,12051,247,2987
3081316,12040,236,2849
3081366,12047,237,2857
3081416,12059,227,2742
3081466,12043,229,2762
3081516,12047,248,2993
3081566,12044,231,2782
3081616,12045,247,2978
3081666,12056,222,2678
3081716,12048,242,2921
3081766,12046,229,2766
3081816,12055,214,2587
3081866,12041,226,2723
3081916,12047,236,2849
3081966,12058,213,2571
3082016,12055,244,2952
3082066,12045,219,2638
3082116,12054,232,2798
3082166,12046,228,2752
3082216,12044,240,2902
3082266,12053,243,2931
3082316,12048,249,3008
3082366,12060,228,2752
3082416,12056,235,2837
3082466,12041,240,2897
3082516,12044,226,2727
3082566,12058,240,2896
3082616,12042,225,2718
3082666,12053,217,2616
3082716,12042,230,2771
3082766,12047,224,2708
3082816,12048,248,2998
3082866,12058,245,2956
3082916,12054,249,3009
3082966,12059,224,2709
3083016,12050,218,2636
3083066,12040,220,2652
3083116,12051,246,2973
3083166,12049,250,3019
3083216,12052,242,2916
3083266,12051,216,2604
3083316,12057,234,2828
3083366,12047,247,2981
3083416,12037,234,2824
3083466,12058,232,2806
3083516,12061,223,2693
3083566,12057,219,2643
3083616,12046,238,2867
3083666,12043,234,2821
3083716,12039,242,2919
3083766,12053,220,2658
3083816,12054,231,2790
3083866,12055,239,2884
3083916,12063,216,2616
3083966,12054,241,2911
3084016,12044,242,2915
3084066,12042,221,2670
3084116,12047,239,2888
3084166,12053,228,2755
3084216,12052,216,2603
3084266,12046,246,2969
3084316,12057,235,2837
3084366,12059,210,2542
3084416,12058,221,2664
3084466,12045,230,2780
3084516,12058,222,2683
3084566,12052,243,2932
3084616,12041,226,2721
3084666,12049,251,3026
3084716,12058,240,2905
3084766,12054,226,2727
3084816,12059,227,2740
3084866,12043,255,3082
3084916,12057,224,2708
3084966,12042,231,2785
3085016,12043,231,2784
3085066,12047,231,2784
3085116,12044,251,3023
3085166,12054,241,2916
3085216,12044,233,2807
3085266,12042,250,3016
3085316,12039,231,2782
3085366,12049,221,2671
3085416,12047,237,2862
3085466,12046,226,2730
3085516,12041,232,2793
3085566,12042,227,2734
3085616,12052,233,2808
3085666,12056,245,2960
3085716,12053,219,2639
3085766,12051,239,2888
3085816,12051,232,2801
3085866,12049,255,3077
3085916,12043,257,3105
3085966,12056,245,2962
3086016,12059,225,2715
3086066,12053,220,2658
3086116,12062,223,2695
3086166,12053,246,2966
3086216,12046,224,2702
3086266,12036,223,2695
3086316,12050,228,2755
3086366,12045,228,2757
3086416,12053,238,2869
3086466,12054,224,2707
3086516,12042,254,3067
3086566,12043,253,3054
3086616,12047,226,2729
3086666,12039,233,2809
3086716,12038,241,2901
3086766,12048,214,2584
3086816,12055,233,2814
3086866,12049,229,2764
3086916,12044,236,2851
3086966,12054,243,2935
3087016,12053,282,3407
3087066,12043,238,2871
3087116,12041,221,2666
3087166,12043,230,2773
3087216,12054,226,2725
3087266,12057,228,2755
3087316,12045,225,2717
3087366,12056,226,2732
3087416,12051,239,2884
3087466,12041,252,3045
3087516,12046,236,2845
3087566,12049,234,2827
3087616,12053,241,2908
3087666,12042,239,2884
3087716,12045,231,2789
3087766,12041,246,2973
3087816,12043,232,2794
3087866,12038,242,2913
3087916,12049,238,2874
3087966,12046,249,3010
3088016,12047,239,2884
3088066,12052,219,2639
3088116,12047,248,2996
3088166,12049,229,2759
3088216,12040,232,2802
3088266,12041,227,2733
3088316,12054,229,2760
3088366,12059,236,2853
3088416,12052,221,2674
3088466,12057,236,2847
3088516,12055,219,2641
3088566,12051,251,3034
3088616,12045,234,2821
3088666,12050,219,2647
3088716,12051,244,2945
3088766,12045,248,2987
3088816,12050,223,2689
3088866,12040,237,2864
3088916,12051,230,2774
3088966,12055,213,2571
3089016,12055,221,2673
3089066,12048,232,2796
3089116,12054,232,2805
3089166,12045,226,2731
3089216,12045,243,2931
3089266,12047,249,3008
3089316,12043,233,2813
3089366,12056,220,2663
3089416,12050,228,2753
3089466,12058,231,2788
3089516,12043,236,2850
