time_stamp,voltage,current,power
3115266,12051,230,2772
3115316,12050,220,2660
3115366,12042,226,2722
3115416,12056,228,2759
3115466,12046,263,3170
3115516,12047,219,2649
3115566,12053,224,2706
3115616,12052,231,2792
3115666,12046,253,3051
3115716,12047,241,2914
3115766,12051,236,2852
3115816,12054,229,2767
3115866,12054,224,2704
3115916,12050,221,2673
3115966,12043,242,2921
3116016,12052,228,2748
3116066,12041,249,2998
3116116,12034,232,2800
3116166,12046,232,2805
3116216,12057,219,2642
3116266,12050,234,2822
3116316,12042,216,2607
3116366,12055,236,2844
3116416,12036,232,2793
3116466,12046,227,2735
3116516,12045,218,2636
3116566,12046,249,3010
3116616,12055,206,2485
3116666,12055,236,2847
3116716,12045,232,2802
3116766,12045,219,2642
3116816,12050,219,2647
3116866,12042,235,2838
3116916,12042,230,2780
3116966,12059,249,3004
3117016,12052,242,2922
3117066,12047,228,2754
3117116,12056,208,2510
3117166,12061,238,2880
3117216,12052,237,2864
3117266,12045,219,2640
3117316,12048,241,2908
3117366,12053,238,2875
3117416,12047,243,2928
3117466,12045,257,3105
3117516,12046,231,2791
3117566,12051,235,2842
3117616,12053,225,2718
3117666,12054,253,3059
3117716,12038,230,2770
3117766,12056,222,2683
3117816,12038,229,2764
3117866,12043,234,2825
3117916,12049,219,2644
3117966,12052,245,2954
3118016,12054,231,2788
3118066,12048,222,2683
3118116,12053,221,2668
3118166,12055,220,2653
3118216,12050,220,2660
3118266,12044,247,2984
3118316,12048,217,2617
3118366,12038,248,2995
3118416,12060,209,2522
3118466,12051,235,2837
3118516,12048,246,2964
3118566,12048,241,2910
3118616,12052,219,2645
3118666,12056,250,3017
3118716,12044,216,2606
3118766,12059,234,2833
3118816,12051,241,2913
3118866,12045,227,2740
3118916,12044,241,2909
3118966,12062,239,2890
3119016,12056,237,2857
3119066,12056,214,2581
3119116,12053,244,2942
3119166,12065,248,2995
3119216,12050,250,3015
3119266,12053,219,2644
3119316,12045,248,2994
3119366,12058,245,2958
3119416,12046,230,2776
3119466,12043,243,2932
3119516,12054,219,2641
3119566,12046,220,2653
3119616,12048,235,2833
3119666,12056,224,2711
3119716,12052,225,2712
3119766,12056,219,2647
3119816,12055,233,2820
3119866,12044,252,3036
3119916,12043,234,2827
3119966,12045,249,3001
3120016,12052,237,2856
3120066,12054,227,2744
3120116,12056,229,2771
3120166,12052,213,2573
3120216,12045,230,2774
3120266,12046,232,2796
3120316,12057,242,2922
3120366,12052,246,2966
3120416,12056,241,2916
3120466,12057,246,2976
3120516,12044,225,2711
3120566,12060,240,2904
3120616,12039,232,2795
3120666,12044,226,2722
3120716,12042,257,3100
3120766,12062,246,2973
3120816,12048,226,2731
3120866,12060,236,2855
3120916,12054,218,2630
3120966,12039,234,2817
3121016,12062,232,2798
3121066,12047,246,2969
3121116,12060,223,2697
3121166,12057,241,2907
3121216,12053,209,2524
3121266,12062,233,2814
3121316,12046,230,2781
3121366,12039,248,2991
3121416,12048,222,2680
3121466,12043,217,2619
3121516,12052,221,2672
3121566,12052,217,2624
3121616,12056,224,2708
3121666,12053,220,2661
3121716,12039,214,2586
3121766,12062,236,2850
3121816,12048,249,2999
3121866,12053,250,3015
3121916,12041,236,2846
3121966,12053,246,2969
3122016,12048,219,2640
3122066,12058,244,2947
3122116,12055,235,2842
3122166,12057,208,2507
3122216,12047,232,2803
3122266,12042,247,2979
3122316,12057,220,2654
3122366,12045,242,2925
3122416,12044,230,2769
3122466,12061,231,2796
3122516,12049,241,2911
3122566,12051,245,2960
3122616,12056,232,2800
3122666,12059,235,2839
3122716,12063,241,2910
3122766,12049,233,2808
3122816,12050,237,2862
3122866,12050,219,2640
3122916,12049,226,2730
3122966,12061,237,2861
3123016,12053,242,2926
3123066,12049,255,3075
3123116,12045,221,2662
3123166,12057,226,2727
3123216,12051,224,2701
3123266,12055,230,2783
3123316,12046,222,2676
3123366,12042,244,2942
3123416,12049,222,2676
3123466,12060,218,2637
3123516,12053,243,2937
3123566,12053,239,2886
3123616,12038,252,3033
3123666,12044,236,2851
3123716,12048,223,2694
3123766,12043,213,2571
3123816,12052,237,2866
3123866,12058,203,2450
3123916,12052,218,2634
3123966,12048,252,3037
3124016,12046,238,2873
3124066,12060,234,2832
3124116,12057,228,2752
3124166,12042,242,2914
3124216,12063,228,2757
3124266,12041,254,3065
3124316,12047,240,2901
3124366,12043,229,2758
3124416,12059,232,2809
3124466,12043,232,2804
3124516,12046,244,2942
3124566,12061,235,2844
3124616,12054,230,2774
3124666,12055,218,2634
3124716,12044,246,2973
3124766,12060,249,3005
3124816,12048,245,2955
3124866,12061,234,2832
3124916,12041,244,2946
3124966,12039,222,2682
3125016,12052,245,2959
3125066,12058,224,2701
3125116,12056,221,2670
3125166,12051,241,2907
3125216,12044,237,2856
3125266,12048,236,2843
