time_stamp,voltage,current,power
3430016,12050,223,2696
3430066,12049,250,3017
3430116,12043,239,2887
3430166,12043,252,3043
3430216,12051,232,2803
3430266,12058,237,2868
3430316,12051,229,2761
3430366,12058,236,2856
3430416,12051,269,3242
3430466,12052,263,3173
3430516,12042,238,2876
3430566,12046,240,2903
3430616,12046,248,2987
3430666,12043,260,3139
3430716,12051,264,3189
3430766,12060,229,2767
3430816,12058,267,3223
3430866,12056,235,2842
3430916,12052,228,2755
3430966,12049,247,2982
3431016,12052,232,2807
3431066,12041,258,3109
3431116,12053,242,2917
3431166,12060,240,2898
3431216,12056,252,3047
3431266,12047,262,3164
3431316,12052,264,3189
3431366,12051,292,3526
3431416,12051,223,2690
3431466,12048,251,3029
3431516,12046,233,2811
3431566,12047,256,3089
3431616,12043,261,3152
3431666,12061,244,2947
3431716,12039,261,3144
3431766,12053,247,2987
3431816,12039,270,3253
3431866,12049,260,3140
3431916,12050,245,2953
3431966,12046,257,3107
3432016,12051,248,2998
3432066,12045,250,3021
3432116,12055,265,3203
3432166,12057,237,2859
3432216,12041,258,3109
3432266,12043,270,3258
3432316,12050,257,3099
3432366,12049,273,3295
3432416,12053,253,3054
3432466,12051,261,3146
3432516,12054,243,2938
3432566,12050,253,3056
3432616,12060,242,2918
3432666,12048,263,3176
3432716,12046,260,3132
3432766,12044,231,2783
3432816,12053,259,3122
3432866,12054,255,3076
3432916,12047,274,3305
3432966,12049,263,3169
3433016,12050,239,2887
3433066,12058,252,3041
3433116,12047,235,2840
3433166,12050,246,2975
3433216,12060,248,2996
3433266,12065,255,3086
3433316,12042,229,2764
3433366,12045,255,3079
3433416,12041,277,3339
3433466,12055,239,2885
3433516,12062,236,2855
3433566,12060,254,3066
3433616,12044,272,3284
3433666,12050,283,3418
3433716,12059,236,2845
3433766,12052,258,3118
3433816,12055,236,2851
3433866,12063,252,3050
3433916,12050,250,3014
3433966,12037,258,3115
3434016,12046,231,2789
3434066,12050,254,3066
3434116,12062,241,2914
3434166,12044,260,3132
3434216,12052,244,2949
3434266,12045,261,3153
3434316,12047,253,3053
3434366,12051,247,2981
3434416,12049,239,2883
3434466,12055,246,2970
3434516,12047,235,2840
3434566,12060,260,3140
3434616,12050,243,2935
3434666,12040,241,2912
3434716,12042,244,2942
3434766,12042,253,3050
3434816,12058,242,2921
3434866,12054,247,2983
3434916,12046,253,3052
3434966,12045,246,2968
3435016,12045,232,2802
3435066,12037,234,2820
3435116,12050,250,3017
3435166,12047,261,3155
3435216,12058,252,3047
3435266,12051,239,2890
3435316,12045,262,3163
3435366,12045,237,2865
3435416,12048,227,2742
3435466,12054,248,2996
3435516,12052,236,2846
3435566,12048,235,2834
3435616,12046,236,2849
3435666,12056,221,2665
3435716,12044,258,3110
3435766,12045,240,2899
3435816,12040,245,2960
3435866,12052,246,2967
3435916,12053,254,3070
3435966,12056,233,2815
3436016,12052,234,2821
3436066,12044,259,3123
3436116,12046,253,3057
3436166,12048,232,2797
3436216,12047,245,2960
3436266,12049,244,2946
3436316,12054,246,2969
3436366,12051,235,2839
3436416,12043,280,3377
3436466,12044,258,3108
3436516,12038,233,2804
3436566,12047,248,2998
3436616,12055,246,2974
3436666,12057,228,2749
3436716,12050,248,2991
3436766,12043,242,2918
3436816,12060,223,2696
3436866,12041,234,2825
3436916,12046,232,2799
3436966,12038,280,3379
3437016,12054,258,3118
3437066,12041,275,3322
3437116,12036,246,2961
3437166,12042,244,2938
3437216,12046,259,3121
3437266,12043,280,3376
3437316,12054,236,2853
3437366,12057,247,2988
3437416,12044,233,2816
3437466,12036,267,3222
3437516,12042,256,3094
3437566,12056,239,2887
3437616,12054,248,2996
3437666,12057,267,3223
3437716,12048,233,2817
3437766,12057,245,2956
3437816,12052,252,3041
3437866,12042,226,2733
3437916,12042,233,2809
3437966,12048,285,3433
3438016,12050,263,3171
3438066,12060,245,2964
3438116,12060,226,2728
3438166,12050,253,3051
3438216,12052,260,3140
3438266,12053,272,3280
3438316,12050,243,2931
3438366,12046,234,2823
3438416,12056,228,2757
3438466,12055,245,2960
3438516,12050,265,3199
3438566,12050,260,3142
3438616,12052,243,2934
3438666,12043,276,3329
3438716,12043,238,2874
3438766,12061,240,2901
3438816,12048,232,2805
3438866,12044,255,3082
3438916,12049,232,2801
3438966,12054,241,2906
3439016,12050,235,2841
3439066,12057,240,2902
3439116,12046,271,3270
3439166,12055,263,3179
3439216,12060,252,3042
3439266,12057,228,2756
3439316,12059,250,3023
3439366,12050,249,3004
3439416,12035,284,3426
3439466,12048,257,3105
3439516,12057,251,3030
3439566,12046,226,2725
3439616,12058,230,2776
3439666,12057,237,2859
3439716,12050,242,2926
3439766,12057,250,3023
3439816,12045,267,3225
3439866,12032,266,3211
3439916,12041,258,3107
3439966,12037,266,3208
3440016,12061,258,3113
3440066,12052,242,2926
3440116,12056,222,2678
3440166,12058,249,3012
3440216,12043,251,3029
3440266,12045,254,3066
3440316,12060,247,2979
3440366,12052,234,2826
3440416,12054,279,3372
3440466,12041,217,2622
3440516,12043,261,3143
3440566,12044,262,3155
3440616,12042,240,2897
3440666,12061,256,3096
3440716,12053,251,3034
3440766,12054,245,2956
3440816,12049,224,2699
3440866,12045,248,2995
3440916,12057,202,2437
3440966,12040,243,2936
3441016,12059,230,2779
3441066,12057,231,2788
3441116,12052,256,3085
3441166,12045,262,3157
3441216,12046,231,2785
3441266,12046,239,2885
3441316,12055,242,2928
3441366,12049,245,2961
3441416,12053,228,2758
3441466,12050,233,2815
3441516,12050,237,2859
3441566,12040,241,2908
