time_stamp,voltage,current,power
3469466,12054,239,2884
3469516,12045,274,3301
3469566,12059,253,3054
3469616,12042,267,3222
3469666,12049,266,3213
3469716,12043,256,3090
3469766,12053,267,3220
3469816,12045,268,3236
3469866,12040,269,3245
3469916,12057,248,2989
3469966,12060,276,3336
3470016,12043,273,3288
3470066,12045,267,3223
3470116,12034,275,3314
3470166,12039,275,3312
3470216,12047,255,3083
3470266,12051,256,3087
3470316,12053,248,2996
3470366,12047,252,3040
3470416,12051,274,3306
3470466,12045,284,3426
3470516,12055,272,3283
3470566,12061,249,3005
3470616,12058,255,3085
3470666,12042,270,3255
3470716,12052,256,3086
3470766,12043,273,3292
3470816,12047,254,3068
3470866,12051,261,3146
3470916,12044,248,2995
3470966,12047,271,3274
3471016,12039,257,3099
3471066,12046,251,3032
3471116,12046,277,3338
3471166,12057,253,3054
3471216,12039,271,3269
3471266,12055,242,2924
3471316,12043,262,3157
3471366,12049,273,3298
3471416,12045,255,3081
3471466,12060,248,2990
3471516,12057,252,3042
3471566,12052,260,3135
3471616,12052,246,2976
3471666,12051,260,3138
3471716,12048,273,3298
3471766,12045,270,3257
3471816,12045,257,3106
3471866,12045,269,3245
3471916,12047,262,3159
3471966,12050,276,3334
3472016,12059,271,3272
3472066,12048,267,3220
3472116,12038,263,3167
3472166,12044,271,3270
3472216,12046,255,3082
3472266,12049,264,3192
3472316,12041,259,3129
3472366,12054,262,3161
3472416,12058,260,3140
3472466,12055,261,3153
3472516,12048,259,3121
3472566,12058,248,2993
3472616,12050,278,3351
3472666,12046,262,3166
3472716,12052,264,3186
3472766,12054,245,2964
3472816,12039,277,3343
3472866,12060,265,3204
3472916,12048,271,3268
3472966,12053,252,3043
3473016,12057,246,2967
3473066,12059,268,3240
3473116,12054,270,3256
3473166,12055,279,3372
3473216,12055,272,3283
3473266,12050,278,3351
3473316,12052,252,3048
3473366,12044,257,3096
3473416,12052,257,3105
3473466,12055,242,2920
3473516,12051,257,3108
3473566,12041,279,3361
3473616,12048,249,3004
3473666,12047,258,3112
3473716,12055,277,3347
3473767,12053,274,3306
3473816,12046,279,3372
3473866,12042,257,3101
3473916,12039,266,3211
3473966,12050,272,3286
3474016,12041,274,3306
3474066,12056,245,2958
3474116,12046,268,3229
3474166,12058,257,3107
3474216,12050,268,3238
3474266,12041,250,3010
3474316,12050,269,3244
3474366,12050,267,3222
3474416,12051,252,3043
3474466,12057,257,3101
3474516,12055,259,3126
3474566,12051,254,3064
3474616,12050,266,3213
3474666,12040,265,3198
3474716,12043,261,3148
3474766,12041,258,3107
3474816,12052,260,3135
3474866,12048,260,3143
3474916,12049,257,3100
3474966,12057,262,3166
3475016,12050,257,3107
3475066,12046,255,3073
3475116,12061,263,3175
3475166,12040,273,3287
3475216,12044,261,3148
3475266,12054,262,3168
3475316,12053,250,3014
3475366,12050,272,3284
3475416,12041,282,3398
3475466,12042,261,3146
3475516,12047,275,3316
3475566,12050,272,3281
3475616,12046,254,3063
3475666,12055,253,3055
3475716,12040,270,3261
3475766,12061,248,3001
3475816,12051,274,3304
3475866,12042,255,3080
3475916,12061,275,3320
3475966,12046,252,3036
3476016,12049,268,3234
3476066,12046,279,3366
3476116,12050,250,3023
3476166,12037,269,3248
3476216,12048,265,3193
3476266,12049,260,3140
3476316,12057,262,3158
3476366,12053,253,3053
3476416,12055,258,3122
3476466,12062,271,3273
3476516,12049,270,3257
3476566,12045,251,3033
3476616,12050,273,3296
3476666,12045,270,3252
3476716,12047,268,3236
3476766,12047,259,3122
3476816,12045,275,3319
3476866,12056,271,3272
3476916,12040,276,3328
3476966,12058,248,2996
3477016,12041,256,3083
3477066,12054,270,3256
3477116,12041,261,3152
3477166,12053,265,3201
3477216,12058,273,3296
3477266,12054,253,3052
3477316,12053,270,3258
3477366,12046,267,3226
3477416,12045,279,3365
3477466,12052,238,2877
3477516,12061,258,3118
3477566,12049,259,3127
3477616,12053,273,3296
3477666,12048,262,3159
3477716,12059,240,2897
3477766,12051,272,3282
3477816,12053,241,2912
3477866,12057,248,2989
3477916,12051,249,3011
3477966,12055,251,3033
3478016,12062,249,3011
3478066,12051,263,3175
3478116,12051,243,2934
3478166,12059,263,3181
3478216,12050,283,3421
3478266,12060,271,3275
3478316,12044,266,3214
3478366,12047,264,3181
3478416,12053,253,3053
3478466,12054,276,3336
3478516,12045,274,3302
3478566,12055,269,3248
3478616,12047,277,3341
3478666,12055,265,3203
3478716,12038,277,3344
3478766,12052,263,3170
3478816,12047,253,3052
3478866,12045,266,3208
3478916,12059,258,3115
3478966,12041,268,3234
3479016,12057,271,3269
3479066,12057,275,3323
3479116,12050,245,2953
3479166,12052,271,3273
3479216,12059,247,2989
3479266,12034,266,3201
3479316,12057,261,3150
3479366,12043,280,3381
3479416,12043,254,3070
3479466,12041,248,2996
3479516,12047,276,3335
3479566,12044,260,3136
3479616,12058,264,3189
3479666,12050,252,3040
3479716,12051,277,3342
3479766,12058,268,3235
3479816,12045,268,3236
3479866,12044,254,3066
3479916,12045,280,3376
3479966,12061,268,3232
3480016,12055,264,3190
3480066,12052,247,2983
3480116,12048,256,3084
3480166,12050,267,3226
3480216,12053,248,2999
3480266,12055,252,3049
3480316,12051,249,3002
3480366,12052,258,3113
3480416,12055,267,3228
3480466,12043,277,3340
3480516,12044,250,3017
3480566,12035,259,3118
3480616,12049,252,3039
3480666,12047,268,3230
3480716,12051,265,3200
3480766,12050,264,3190
3480816,12054,237,2859
