time_stamp,voltage,current,power
0003524316,12045.0,173.0,2091.0
0003524416,12053.0,162.0,1961.0
0003524516,12053.0,178.0,2155.0
0003524616,12039.0,179.0,2166.0
0003524716,12037.0,166.0,2001.0
0003524816,12050.0,187.0,2254.0
0003524916,12044.0,163.0,1963.0
0003524966,12051.0,178.0,2156.0
0003525016,12041.0,173.0,2088.0
0003525066,12049.0,169.0,2044.0
0003525116,12048.0,162.0,1959.0
0003525166,12041.0,183.0,2205.0
0003525216,12041.0,175.0,2110.0
0003525266,12058.0,161.0,1944.0
0003525316,12059.0,180.0,2172.0
0003525366,12051.0,174.0,2099.0
0003525416,12055.0,166.0,2001.0
0003525466,12044.0,167.0,2020.0
0003525516,12055.0,148.0,1789.0
0003525566,12053.0,183.0,2206.0
0003525616,12048.0,167.0,2019.0
0003525666,12046.0,183.0,2211.0
0003525716,12052.0,184.0,2223.0
0003525766,12050.0,174.0,2098.0
0003525816,12058.0,164.0,1979.0
0003525866,12052.0,182.0,2194.0
0003525916,12050.0,162.0,1958.0
0003525966,12044.0,180.0,2172.0
0003526016,12044.0,166.0,2000.0
0003526066,12047.0,151.0,1830.0
0003526116,12056.0,150.0,1818.0
0003526166,12059.0,167.0,2019.0
0003526216,12036.0,175.0,2118.0
0003526266,12047.0,185.0,2240.0
0003526316,12046.0,172.0,2072.0
0003526366,12054.0,157.0,1896.0
0003526416,12042.0,180.0,2174.0
0003526466,12053.0,149.0,1806.0
0003526516,12038.0,162.0,1961.0
0003526566,12052.0,180.0,2180.0
0003526616,12046.0,177.0,2138.0
0003526666,12049.0,168.0,2033.0
0003526716,12052.0,182.0,2199.0
0003526766,12042.0,175.0,2113.0
0003526816,12050.0,169.0,2047.0
0003526866,12046.0,158.0,1908.0
0003526916,12041.0,171.0,2059.0
0003526966,12050.0,175.0,2116.0
0003527016,12055.0,170.0,2057.0
0003527066,12040.0,171.0,2066.0
0003527116,12048.0,188.0,2273.0
0003527166,12044.0,183.0,2205.0
