time_stamp,voltage,current,power
0003717566,12055.0,167.0,2017.0
0003717666,12045.0,146.0,1764.0
0003717766,12058.0,162.0,1963.0
0003717866,12052.0,165.0,1994.0
0003717966,12043.0,159.0,1923.0
0003718066,12053.0,157.0,1895.0
0003718166,12054.0,146.0,1767.0
0003718216,12039.0,167.0,2010.0
0003718266,12057.0,177.0,2142.0
0003718316,12050.0,185.0,2237.0
0003718366,12045.0,242.0,2925.0
0003718416,12053.0,219.0,2644.0
0003718466,12036.0,196.0,2364.0
0003718516,12054.0,167.0,2022.0
0003718566,12043.0,175.0,2113.0
0003718616,12056.0,168.0,2034.0
0003718666,12047.0,180.0,2177.0
0003718716,12061.0,154.0,1864.0
0003718766,12041.0,165.0,1987.0
0003718816,12058.0,176.0,2132.0
0003718866,12045.0,168.0,2029.0
0003718916,12052.0,149.0,1804.0
0003718966,12046.0,179.0,2161.0
0003719016,12051.0,188.0,2267.0
0003719066,12050.0,185.0,2233.0
0003719116,12049.0,165.0,1990.0
0003719166,12042.0,174.0,2100.0
0003719216,12045.0,169.0,2042.0
0003719266,12037.0,185.0,2233.0
0003719316,12044.0,165.0,1993.0
0003719366,12049.0,161.0,1947.0
0003719416,12049.0,152.0,1836.0
0003719466,12052.0,182.0,2194.0
0003719516,12053.0,176.0,2125.0
0003719566,12047.0,156.0,1882.0
0003719616,12041.0,165.0,1991.0
