time_stamp,voltage,current,power
3773616,12042,225,2708
3773666,12044,222,2685
3773716,12049,218,2632
3773766,12052,220,2661
3773816,12056,206,2494
3773866,12057,208,2508
3773916,12043,224,2707
3773966,12040,234,2825
3774016,12033,219,2635
3774066,12040,221,2666
3774116,12050,209,2525
3774166,12045,216,2611
3774216,12050,232,2803
3774266,12045,220,2654
3774316,12053,216,2607
3774366,12058,226,2730
3774416,12041,212,2562
3774466,12050,213,2577
3774516,12056,220,2663
3774566,12062,232,2804
3774616,12046,233,2813
3774666,12037,219,2638
3774716,12043,239,2882
3774766,12048,222,2683
3774816,12051,217,2619
3774866,12060,228,2753
3774916,12057,208,2513
3774966,12055,213,2573
3775016,12049,211,2542
3775066,12052,223,2699
3775116,12042,214,2584
3775166,12058,224,2709
3775216,12061,204,2465
3775266,12055,224,2701
3775316,12059,225,2717
3775366,12048,230,2773
3775416,12055,220,2657
3775466,12042,220,2649
3775516,12055,209,2526
3775566,12047,215,2599
3775616,12053,234,2831
3775666,12035,201,2421
3775716,12045,236,2843
3775766,12048,215,2600
3775816,12051,208,2513
3775866,12042,213,2571
3775916,12056,213,2577
3775966,12044,209,2522
3776016,12043,222,2674
3776066,12055,230,2773
3776116,12050,213,2566
3776166,12056,216,2614
3776216,12045,208,2506
3776266,12053,213,2570
3776316,12040,217,2622
3776366,12059,213,2572
3776416,12043,211,2546
3776466,12055,225,2713
3776516,12052,233,2808
3776566,12047,218,2631
3776616,12042,208,2512
3776666,12048,231,2794
3776716,12056,227,2743
3776766,12051,212,2564
3776816,12048,208,2517
3776866,12044,218,2632
3776916,12051,227,2744
3776966,12040,233,2810
3777016,12055,223,2694
3777066,12047,223,2698
3777116,12054,205,2475
3777166,12046,215,2597
3777216,12043,225,2709
3777266,12056,234,2828
3777316,12042,209,2519
3777366,12046,207,2501
3777416,12057,203,2447
3777466,12062,216,2613
3777516,12059,209,2525
3777566,12039,239,2881
3777616,12051,220,2656
3777666,12047,209,2520
3777716,12051,207,2505
3777766,12052,211,2552
3777816,12048,214,2580
3777866,12043,224,2706
3777916,12049,233,2808
3777966,12049,201,2430
3778016,12063,214,2585
3778066,12056,211,2555
3778116,12039,233,2811
3778166,12044,215,2597
3778216,12058,224,2707
3778266,12038,248,2988
3778316,12047,212,2563
3778366,12045,215,2589
3778416,12051,209,2524
3778466,12060,200,2420
3778516,12056,202,2439
3778566,12054,226,2734
3778616,12054,222,2683
3778666,12041,234,2824
3778716,12060,216,2606
3778766,12057,200,2414
3778816,12054,214,2586
3778866,12053,225,2720
3778916,12059,210,2537
3778966,12053,233,2810
3779016,12044,232,2802
3779066,12048,204,2466
3779116,12045,225,2714
3779166,12056,221,2674
3779216,12044,237,2860
3779266,12051,202,2444
3779316,12045,224,2706
3779366,12052,212,2558
3779416,12041,225,2713
3779466,12055,216,2607
3779516,12046,213,2571
3779566,12050,209,2519
3779616,12065,205,2479
3779666,12042,205,2468
3779716,12046,201,2428
3779766,12045,226,2730
3779816,12048,223,2698
3779866,12043,201,2426
3779916,12059,220,2653
3779966,12047,228,2754
3780016,12055,217,2627
3780066,12043,225,2712
3780116,12042,207,2502
3780166,12045,221,2669
3780216,12057,195,2356
3780266,12055,196,2363
3780316,12054,225,2717
3780366,12055,207,2502
3780416,12041,246,2967
3780466,12059,206,2487
3780516,12054,211,2546
3780566,12057,218,2634
3780616,12053,206,2489
3780666,12043,231,2788
3780716,12042,216,2604
3780766,12058,208,2507
3780816,12047,225,2711
3780866,12066,233,2813
3780916,12054,202,2445
3780966,12058,220,2652
3781016,12042,232,2799
3781066,12062,232,2809
3781116,12047,239,2889
3781166,12049,227,2735
3781216,12050,202,2433
3781266,12051,214,2579
3781316,12054,197,2379
3781366,12039,212,2553
3781416,12051,202,2443
3781466,12040,215,2593
3781516,12051,197,2381
3781566,12041,236,2851
3781616,12042,223,2686
3781666,12044,221,2668
3781716,12050,216,2602
3781766,12056,227,2745
3781816,12058,209,2520
3781866,12050,207,2504
3781916,12050,209,2526
3781966,12050,218,2637
3782016,12046,233,2817
3782066,12049,230,2781
3782116,12057,225,2713
3782166,12062,214,2585
3782216,12041,226,2731
3782266,12063,217,2619
3782316,12043,229,2764
3782366,12062,222,2687
3782416,12054,206,2489
3782466,12047,228,2753
3782516,12057,215,2593
3782566,12051,219,2640
3782616,12050,221,2665
3782666,12042,227,2735
3782716,12051,214,2586
3782766,12048,225,2716
3782816,12049,205,2470
3782866,12042,209,2526
3782916,12056,214,2591
3782966,12038,220,2659
3783016,12043,205,2479
3783066,12046,214,2582
3783116,12051,208,2516
3783166,12045,216,2606
3783216,12055,201,2429
3783266,12061,228,2751
3783316,12042,201,2424
3783366,12056,210,2535
3783416,12041,226,2727
3783466,12056,207,2496
3783516,12047,233,2818
3783566,12058,225,2723
3783616,12053,227,2736
3783666,12060,221,2674
3783716,12057,199,2410
3783766,12043,214,2577
3783816,12057,234,2828
3783866,12054,208,2516
3783916,12056,221,2674
3783966,12057,226,2730
3784016,12063,215,2594
3784066,12056,208,2517
3784116,12053,208,2509
3784166,12042,229,2759
3784216,12046,212,2556
3784266,12047,231,2785
3784316,12049,211,2552
3784366,12052,207,2497
3784416,12057,216,2609
3784466,12049,213,2571
3784516,12050,223,2692
3784566,12048,204,2461
3784616,12043,235,2838
3784666,12040,203,2451
3784716,12051,231,2790
3784766,12053,219,2650
3784816,12052,217,2622
3784866,12048,206,2485
3784916,12047,227,2741
3784966,12055,208,2515
3785016,12054,206,2489
3785066,12060,230,2779
3785116,12040,223,2689
3785166,12038,233,2804
3785216,12052,210,2542
3785266,12045,234,2821
3785316,12054,206,2488
3785366,12053,209,2530
3785416,12059,220,2661
3785466,12043,205,2478
3785516,12042,228,2748
3785566,12047,235,2836
3785616,12058,210,2532
3785666,12046,226,2728
3785716,12051,219,2649
3785766,12041,210,2537
3785816,12052,226,2732
3785866,12059,204,2470
3785916,12056,231,2788
3785966,12055,210,2543
3786016,12051,213,2568
3786066,12049,198,2394
3786116,12048,230,2772
3786166,12047,238,2871
3786216,12050,232,2803
3786266,12047,230,2772
3786316,12039,231,2786
3786366,12044,232,2799
3786416,12044,234,2821
3786466,12054,206,2492
3786516,12048,198,2394
3786566,12057,214,2581
3786616,12055,225,2722
3786666,12055,206,2492
3786716,12062,214,2592
3786766,12052,203,2455
3786816,12048,223,2692
3786866,12037,219,2637
3786916,12050,201,2428
3786966,12049,233,2812
3787016,12054,232,2797
3787066,12047,203,2447
3787116,12053,207,2503
3787166,12048,221,2664
3787216,12045,201,2420
3787266,12045,225,2719
3787316,12054,207,2499
3787366,12050,209,2518
3787416,12042,229,2761
3787466,12050,214,2580
3787516,12059,219,2652
3787566,12050,209,2519
3787616,12036,210,2534
3787666,12044,227,2734
3787716,12043,234,2825
3787766,12060,206,2485
3787816,12042,231,2786
3787866,12053,236,2853
3787916,12046,218,2633
3787966,12045,218,2629
3788016,12054,225,2712
3788066,12041,218,2625
3788116,12057,203,2453
3788166,12054,235,2837
3788216,12062,236,2854
3788266,12055,215,2598
3788316,12055,225,2723
3788366,12054,204,2461
3788416,12047,204,2458
3788466,12048,209,2529
3788516,12054,193,2335
3788566,12055,229,2766
3788616,12061,214,2590
3788666,12046,220,2651
3788716,12045,207,2502
3788766,12050,229,2761
3788816,12044,204,2459
3788866,12060,220,2660
3788916,12050,214,2583
3788966,12062,219,2649
3789016,12050,215,2595
3789066,12048,211,2552
3789116,12044,227,2744
3789166,12052,229,2764
3789216,12041,211,2551
3789266,12049,214,2585
3789316,12044,224,2708
3789366,12055,236,2846
3789416,12048,215,2591
3789466,12057,211,2555
3789516,12047,230,2776
3789566,12046,233,2815
3789616,12055,195,2358
3789666,12047,220,2651
3789716,12053,194,2342
3789766,12045,217,2624
