time_stamp,voltage,current,power
0000518316,12045.0,180.0,2170.0
0000518416,12059.0,157.0,1898.0
0000518516,12046.0,176.0,2121.0
0000518616,12041.0,173.0,2088.0
0000518716,12041.0,172.0,2078.0
0000518816,12044.0,173.0,2083.0
0000518916,12056.0,163.0,1965.0
0000518966,12047.0,173.0,2093.0
0000519016,12051.0,188.0,2276.0
0000519066,12044.0,168.0,2031.0
0000519116,12051.0,184.0,2218.0
0000519166,12046.0,189.0,2278.0
0000519216,12052.0,152.0,1835.0
0000519266,12055.0,176.0,2122.0
0000519316,12059.0,174.0,2107.0
0000519366,12043.0,185.0,2233.0
0000519416,12055.0,199.0,2410.0
0000519466,12045.0,181.0,2189.0
0000519516,12044.0,168.0,2029.0
0000519566,12046.0,193.0,2330.0
0000519616,12056.0,178.0,2157.0
0000519666,12056.0,161.0,1943.0
0000519716,12049.0,190.0,2297.0
0000519766,12062.0,161.0,1941.0
0000519816,12059.0,166.0,2006.0
0000519866,12042.0,179.0,2164.0
0000519916,12044.0,191.0,2306.0
0000519966,12055.0,162.0,1962.0
0000520016,12052.0,179.0,2158.0
0000520066,12052.0,179.0,2159.0
0000520116,12048.0,167.0,2023.0
0000520166,12055.0,172.0,2077.0
0000520216,12043.0,162.0,1960.0
0000520266,12058.0,172.0,2082.0
0000520316,12057.0,186.0,2242.0
0000520366,12056.0,185.0,2234.0
0000520416,12041.0,180.0,2173.0
0000520466,12060.0,163.0,1977.0
0000520516,12045.0,188.0,2267.0
0000520566,12049.0,175.0,2113.0
0000520616,12040.0,167.0,2014.0
0000520666,12054.0,165.0,1998.0
0000520716,12052.0,177.0,2140.0
0000520766,12052.0,167.0,2015.0
