time_stamp,voltage,current,power
939616,12048,207,2502
939666,12050,208,2515
939716,12050,225,2715
939766,12062,200,2413
939816,12043,191,2305
939866,12046,190,2299
939916,12044,209,2517
939966,12059,190,2296
940016,12055,202,2445
940066,12058,203,2459
940116,12041,187,2254
940166,12047,183,2205
940216,12059,188,2275
940266,12058,211,2544
940316,12062,204,2463
940366,12042,193,2334
940416,12048,198,2388
940466,12046,206,2484
940516,12044,204,2457
940566,12051,183,2205
940616,12060,189,2281
940666,12060,190,2299
940716,12055,190,2291
940766,12053,189,2283
940816,12058,206,2486
940866,12055,179,2168
940916,12040,200,2408
940966,12046,208,2514
941016,12040,205,2478
941066,12054,197,2378
941116,12045,213,2572
941166,12054,184,2228
941216,12048,205,2477
941266,12043,187,2255
941316,12043,214,2577
941366,12045,207,2497
941416,12054,187,2261
941466,12049,190,2298
941516,12045,197,2382
941566,12044,209,2518
941616,12048,217,2615
941666,12043,196,2369
941716,12057,207,2495
941766,12056,206,2489
941816,12052,203,2448
941866,12046,215,2594
941916,12056,200,2418
941966,12054,192,2323
942016,12053,187,2262
942066,12043,215,2595
942116,12040,215,2597
942166,12050,191,2302
942216,12054,209,2525
942266,12056,193,2332
942316,12039,207,2499
942366,12061,191,2313
942416,12049,219,2638
942466,12051,202,2435
942516,12035,195,2348
942566,12045,217,2622
942616,12041,211,2549
942666,12052,185,2229
942716,12054,205,2479
942766,12058,204,2465
942816,12046,189,2276
942866,12057,200,2414
942916,12047,190,2289
942966,12058,196,2371
943016,12056,192,2322
943066,12053,183,2216
943116,12054,197,2378
943166,12052,201,2433
943216,12045,186,2246
943266,12046,198,2392
943316,12041,213,2568
943366,12046,202,2439
943416,12056,202,2441
943466,12043,200,2419
943516,12057,178,2157
943566,12056,192,2320
943616,12049,207,2493
943666,12055,190,2295
943716,12048,200,2420
943766,12048,191,2307
943816,12052,184,2220
943866,12053,192,2315
943916,12042,204,2461
943966,12057,203,2450
944016,12045,203,2446
944066,12049,191,2305
944116,12041,209,2519
944166,12053,193,2334
944216,12050,202,2442
944266,12050,207,2502
944316,12042,190,2298
944366,12042,191,2309
944416,12047,187,2257
944466,12058,204,2470
944516,12055,207,2496
944566,12041,216,2601
944616,12042,178,2149
944666,12043,217,2620
944716,12051,186,2251
944766,12060,206,2488
944816,12061,205,2481
944866,12041,199,2399
944916,12042,189,2277
944966,12050,207,2495
945016,12036,216,2610
945066,12053,184,2217
945116,12057,192,2315
945166,12055,196,2364
945216,12058,193,2338
945266,12057,188,2275
945316,12056,207,2502
945366,12059,178,2149
945416,12041,215,2591
945466,12050,201,2430
945516,12044,203,2450
945566,12049,180,2177
945616,12046,199,2406
945666,12051,200,2414
945716,12059,196,2367
945766,12065,211,2555
945816,12061,208,2512
945866,12046,215,2600
945916,12054,211,2554
945966,12049,196,2366
946016,12052,182,2196
946066,12052,193,2336
946116,12046,216,2606
946166,12043,189,2279
946216,12062,193,2334
946266,12045,196,2366
946316,12038,213,2573
946366,12065,202,2447
946416,12052,194,2342
946466,12058,186,2246
946516,12048,181,2187
946566,12045,201,2428
946616,12041,203,2444
946666,12053,187,2264
946716,12047,223,2696
946766,12054,208,2509
946816,12046,190,2293
946866,12049,199,2405
946916,12054,193,2332
946966,12062,184,2223
947016,12057,206,2488
947066,12044,211,2543
947116,12053,195,2356
947166,12059,214,2587
947216,12057,196,2371
947266,12046,208,2508
947316,12047,192,2313
947366,12048,212,2563
947416,12051,207,2494
947466,12038,203,2444
947516,12060,209,2520
947566,12043,197,2380
947616,12062,194,2341
947666,12052,197,2374
947716,12056,202,2446
947766,12057,213,2572
947816,12044,196,2363
947866,12048,210,2531
947916,12053,210,2538
947966,12055,190,2298
948016,12063,202,2445
948066,12049,185,2231
948116,12053,210,2536
948166,12054,193,2333
948216,12051,183,2213
948266,12055,175,2115
948316,12052,194,2338
948366,12053,207,2501
948416,12047,200,2419
948466,12053,196,2365
948516,12049,203,2449
948566,12050,203,2450
948616,12058,183,2217
948666,12041,199,2400
948716,12056,195,2355
948766,12041,206,2488
948816,12054,209,2525
948866,12050,206,2487
948916,12046,182,2200
948966,12051,206,2486
949016,12045,196,2366
949066,12048,189,2283
949116,12051,192,2319
949166,12043,206,2491
949216,12057,205,2475
949266,12060,208,2510
949316,12043,199,2406
949366,12056,182,2199
949416,12041,207,2492
949466,12054,204,2467
949516,12045,189,2283
949566,12060,206,2493
949616,12047,209,2526
949666,12035,195,2356
949716,12052,204,2459
949766,12059,188,2268
949816,12056,202,2439
949866,12044,218,2631
949916,12040,208,2504
949966,12048,182,2193
950016,12055,200,2420
950066,12047,190,2297
950116,12052,184,2228
950166,12055,208,2511
950216,12054,198,2390
950266,12060,197,2387
950316,12052,180,2177
950366,12041,197,2377
950416,12046,205,2469
950466,12044,191,2309
950516,12061,196,2365
950566,12049,212,2562
950616,12054,205,2478
950666,12053,199,2405
950716,12038,211,2542
950766,12044,219,2646
950816,12049,211,2551
950866,12047,193,2330
950916,12044,204,2459
950966,12054,198,2394
951016,12043,191,2308
951066,12044,189,2287
951116,12057,203,2454
951166,12053,208,2508
951216,12048,204,2458
951266,12044,191,2306
951316,12061,194,2340
951366,12046,201,2423
951416,12056,206,2489
951466,12044,208,2505
951516,12055,181,2187
951566,12065,197,2376
951616,12049,179,2167
951666,12048,190,2298
951716,12059,184,2227
951766,12041,199,2397
951816,12045,209,2517
951866,12049,204,2464
951916,12042,214,2587
951966,12057,194,2342
952016,12052,171,2068
952066,12060,174,2101
952116,12045,186,2249
952166,12060,190,2299
952216,12047,184,2221
952266,12054,208,2507
952316,12044,214,2577
952366,12061,194,2340
952416,12057,188,2275
952466,12055,219,2648
952516,12046,192,2322
