time_stamp,voltage,current,power
1093916,12042,188,2272
1093966,12043,180,2176
1094016,12043,191,2304
1094066,12045,203,2451
1094116,12046,199,2398
1094166,12052,176,2123
1094216,12046,210,2536
1094266,12047,185,2232
1094316,12040,197,2373
1094366,12051,202,2440
1094416,12041,199,2397
1094466,12041,189,2280
1094516,12047,197,2382
1094566,12058,183,2208
1094616,12053,166,2009
1094666,12046,174,2103
1094716,12049,199,2409
1094766,12042,192,2312
1094816,12055,183,2207
1094866,12058,199,2407
1094916,12056,191,2309
1094966,12042,173,2086
1095016,12036,187,2256
1095066,12053,199,2406
1095116,12049,177,2135
1095166,12057,199,2410
1095216,12050,191,2303
1095266,12040,197,2383
1095316,12045,171,2065
1095366,12045,193,2325
1095416,12064,185,2239
1095466,12054,186,2251
1095516,12051,185,2232
1095566,12053,176,2128
1095616,12043,197,2374
1095666,12046,197,2374
1095716,12043,200,2419
1095766,12040,193,2325
1095816,12049,187,2253
1095866,12054,175,2117
1095916,12048,190,2291
1095966,12051,186,2247
1096016,12058,175,2112
1096066,12039,200,2413
1096116,12051,201,2430
1096166,12045,183,2208
1096216,12054,173,2087
1096266,12041,209,2516
1096316,12046,204,2468
1096366,12039,176,2119
1096416,12048,208,2513
1096466,12055,179,2161
1096516,12054,197,2377
1096566,12057,202,2437
1096616,12055,183,2217
1096666,12053,185,2239
1096716,12045,192,2322
1096766,12034,197,2378
1096816,12046,205,2477
1096866,12048,201,2432
1096916,12035,201,2422
1096966,12045,210,2531
1097016,12052,199,2410
1097066,12057,195,2355
1097116,12052,209,2520
1097166,12046,176,2129
1097216,12051,205,2481
1097266,12046,206,2491
1097316,12047,181,2185
1097366,12045,205,2478
1097416,12057,194,2348
1097466,12062,196,2374
1097516,12055,192,2325
1097566,12042,207,2502
1097616,12057,172,2077
1097666,12054,192,2325
1097716,12042,189,2276
1097766,12044,184,2224
1097816,12048,175,2117
1097866,12043,184,2224
1097916,12040,197,2372
1097966,12042,182,2192
1098016,12043,205,2479
1098066,12053,197,2376
1098116,12060,195,2351
1098166,12062,202,2439
1098216,12054,201,2429
1098266,12050,201,2424
1098316,12046,210,2534
1098366,12046,206,2490
1098416,12052,208,2513
1098466,12044,194,2338
1098516,12039,184,2222
1098566,12062,185,2235
1098616,12044,194,2341
1098666,12038,201,2428
1098716,12060,195,2358
1098766,12048,205,2473
1098816,12037,194,2339
1098866,12044,196,2363
1098916,12056,183,2207
1098966,12052,196,2372
1099016,12044,168,2031
1099066,12053,172,2083
1099116,12062,187,2261
1099166,12056,194,2340
1099216,12039,197,2380
1099266,12045,187,2262
1099316,12038,184,2225
1099366,12063,176,2127
1099416,12056,185,2237
1099466,12058,191,2304
1099516,12050,195,2354
1099566,12050,205,2476
1099616,12054,217,2619
1099666,12055,181,2182
1099716,12043,195,2358
1099766,12050,168,2030
1099816,12046,189,2285
1099866,12041,196,2369
1099916,12047,185,2231
1099966,12046,183,2214
1100016,12037,203,2454
1100066,12051,208,2506
1100116,12042,190,2292
1100166,12054,177,2139
1100216,12053,179,2162
1100266,12044,196,2370
1100316,12060,178,2151
1100366,12040,187,2261
1100416,12057,190,2299
1100466,12044,168,2028
1100516,12051,182,2195
1100566,12050,208,2509
1100616,12040,179,2155
1100666,12055,167,2018
1100716,12036,188,2273
1100766,12057,172,2076
1100816,12040,205,2475
1100866,12051,200,2413
1100916,12045,201,2426
1100966,12058,185,2241
1101016,12041,188,2264
1101066,12053,186,2245
1101116,12046,195,2349
1101166,12045,190,2289
1101216,12046,193,2331
1101266,12042,210,2540
1101316,12047,189,2278
1101366,12054,207,2497
1101416,12048,200,2415
1101466,12057,172,2077
1101516,12055,179,2164
1101566,12037,193,2331
1101616,12041,200,2411
