time_stamp,voltage,current,power
1196666,12052,197,2375
1196716,12047,205,2474
1196766,12050,220,2660
1196816,12048,228,2756
1196866,12059,194,2349
1196916,12044,218,2629
1196966,12039,234,2817
1197016,12054,203,2452
1197066,12055,207,2495
1197116,12054,229,2765
1197166,12047,226,2734
1197216,12057,211,2545
1197266,12050,211,2543
1197316,12061,232,2800
1197366,12061,229,2763
1197416,12055,211,2545
1197466,12044,229,2762
1197516,12043,203,2455
1197566,12044,218,2630
1197616,12055,213,2572
1197666,12048,234,2823
1197716,12052,211,2549
1197766,12052,221,2667
1197816,12045,203,2448
1197866,12054,232,2806
1197916,12040,200,2410
1197966,12064,217,2625
1198016,12047,215,2594
1198066,12057,212,2565
1198116,12041,198,2395
1198166,12054,226,2734
1198216,12049,231,2783
1198266,12047,232,2800
1198316,12050,213,2574
1198366,12036,213,2566
1198416,12049,237,2866
1198466,12037,208,2503
1198516,12041,214,2584
1198566,12050,230,2774
1198616,12056,225,2717
1198666,12056,202,2435
1198716,12055,229,2765
1198766,12053,217,2624
1198816,12050,221,2671
1198866,12042,232,2795
1198916,12060,198,2394
1198966,12038,228,2752
1199016,12051,215,2591
1199066,12046,213,2572
1199116,12056,200,2421
1199166,12051,214,2584
1199216,12050,214,2585
1199266,12046,235,2839
1199316,12037,228,2753
1199366,12037,213,2568
1199416,12045,237,2855
1199466,12043,204,2466
1199516,12044,223,2693
1199566,12045,211,2548
1199616,12042,233,2805
1199666,12039,213,2575
1199716,12043,233,2811
1199766,12039,251,3027
1199816,12046,223,2691
1199866,12052,220,2660
1199916,12052,208,2509
1199966,12047,239,2884
1200016,12050,219,2638
1200066,12051,216,2612
1200116,12050,211,2546
1200166,12044,224,2704
1200216,12054,207,2506
1200266,12050,220,2658
1200316,12056,197,2383
1200366,12042,226,2731
1200416,12042,218,2636
1200466,12041,218,2630
1200516,12054,215,2593
1200566,12047,228,2754
1200616,12059,212,2561
1200666,12049,192,2324
1200716,12046,209,2529
1200766,12051,195,2349
1200816,12052,204,2463
1200866,12059,215,2594
1200916,12043,231,2782
1200966,12048,210,2533
1201016,12044,222,2684
1201066,12054,208,2518
1201116,12047,210,2535
1201166,12042,204,2466
1201216,12043,214,2582
1201266,12043,202,2437
1201316,12047,229,2762
1201366,12053,213,2570
1201416,12049,230,2775
1201466,12050,201,2423
1201516,12049,209,2524
1201566,12037,227,2739
1201616,12039,228,2748
1201666,12049,217,2622
1201716,12038,195,2349
1201766,12049,198,2392
1201816,12055,210,2534
1201866,12040,196,2363
1201916,12053,222,2685
1201966,12046,230,2772
1202016,12045,229,2767
1202066,12046,215,2590
1202116,12038,222,2677
1202166,12057,214,2588
1202216,12042,214,2585
1202266,12055,227,2741
1202316,12047,218,2632
1202366,12045,213,2576
1202416,12045,212,2562
1202466,12049,224,2709
1202516,12046,221,2670
1202566,12055,216,2608
1202616,12058,205,2473
1202666,12052,230,2772
1202716,12039,221,2662
1202766,12049,224,2702
1202816,12042,232,2802
1202866,12054,197,2384
1202916,12043,203,2455
1202966,12046,226,2722
1203016,12052,196,2372
1203066,12047,223,2687
1203116,12049,232,2806
1203166,12043,218,2635
1203216,12056,222,2686
1203266,12059,211,2552
1203316,12051,222,2685
1203366,12056,226,2733
1203416,12050,229,2761
1203466,12032,221,2668
1203516,12050,210,2531
1203566,12046,233,2815
1203616,12043,202,2441
1203666,12045,216,2609
1203716,12046,210,2533
1203766,12071,201,2427
1203816,12057,223,2691
1203866,12050,202,2440
1203916,12053,227,2738
1203966,12056,214,2587
1204016,12057,224,2705
1204066,12051,213,2569
1204116,12052,215,2602
1204166,12036,211,2544
1204216,12057,205,2473
1204266,12045,212,2559
1204316,12060,218,2629
1204366,12040,234,2822
1204416,12053,208,2517
1204466,12044,216,2608
1204516,12046,231,2783
1204566,12043,222,2681
1204616,12050,214,2578
1204666,12044,238,2870
1204716,12058,205,2479
1204766,12049,192,2313
1204816,12056,219,2646
1204866,12052,222,2685
1204916,12043,212,2559
1204966,12045,220,2649
1205016,12051,236,2852
1205066,12061,207,2496
1205116,12038,231,2788
1205166,12062,230,2784
1205216,12048,229,2763
1205266,12039,233,2808
1205316,12052,214,2581
1205366,12046,225,2713
1205416,12057,230,2779
1205466,12043,236,2849
1205516,12051,228,2752
1205566,12041,208,2504
1205616,12054,208,2515
1205666,12047,223,2688
1205716,12041,210,2532
1205766,12047,197,2373
1205816,12059,223,2697
1205866,12045,221,2662
1205916,12057,228,2759
1205966,12053,228,2748
1206016,12052,217,2618
1206066,12054,201,2422
1206116,12043,221,2670
1206166,12053,202,2443
1206216,12044,217,2621
1206266,12054,219,2649
1206316,12037,223,2693
1206366,12050,231,2790
1206416,12040,215,2597
1206466,12051,214,2587
1206516,12048,202,2437
1206566,12060,219,2644
1206616,12047,227,2746
1206666,12038,214,2586
1206716,12042,214,2576
1206766,12047,239,2882
1206816,12058,201,2424
1206866,12054,205,2471
1206916,12064,204,2467
1206966,12045,213,2566
1207016,12059,194,2350
1207066,12049,220,2661
1207116,12054,230,2778
1207166,12045,232,2794
1207216,12055,221,2673
1207266,12043,202,2440
1207316,12058,218,2638
1207366,12055,199,2409
1207416,12044,211,2545
1207466,12044,216,2606
1207516,12041,219,2642
1207566,12044,209,2528
1207616,12043,232,2798
1207666,12048,205,2470
1207716,12055,226,2732
1207766,12053,200,2419
1207816,12050,235,2836
1207866,12042,224,2707
1207916,12045,235,2838
1207966,12054,219,2649
1208016,12056,199,2410
1208066,12061,231,2791
1208116,12049,230,2770
1208166,12043,225,2711
1208216,12048,225,2721
1208266,12053,211,2554
1208316,12050,208,2511
1208366,12042,219,2644
1208416,12054,214,2580
1208466,12045,214,2587
1208516,12047,235,2834
1208566,12052,225,2714
1208616,12044,212,2556
1208666,12042,226,2729
1208716,12048,228,2753
1208766,12043,204,2461
1208816,12052,211,2544
1208866,12040,202,2435
1208916,12048,221,2667
1208966,12056,198,2392
1209016,12039,226,2721
1209066,12053,209,2530
1209116,12045,206,2489
1209166,12048,212,2557
1209216,12046,221,2671
1209266,12056,232,2804
1209316,12028,210,2528
1209366,12048,219,2638
1209416,12051,233,2819
1209466,12051,225,2715
1209516,12059,192,2320
1209566,12061,217,2618
1209616,12044,228,2755
1209666,12041,208,2511
1209716,12043,229,2761
1209766,12049,203,2449
1209816,12060,225,2713
1209866,12058,199,2407
1209916,12048,238,2867
1209966,12045,206,2488
1210016,12048,212,2561
1210066,12048,211,2542
1210116,12042,218,2626
1210166,12053,231,2792
1210216,12050,214,2584
1210266,12053,204,2462
1210316,12056,215,2594
1210366,12055,198,2398
1210416,12044,204,2464
1210466,12058,218,2630
1210516,12040,222,2675
1210566,12044,197,2375
1210616,12050,199,2404
1210666,12045,220,2653
1210716,12045,231,2788
1210766,12053,213,2569
1210816,12051,218,2629
1210866,12052,205,2477
1210916,12043,206,2484
1210966,12049,227,2737
1211016,12053,236,2847
1211066,12044,212,2554
1211116,12048,205,2476
1211166,12058,210,2544
1211216,12056,203,2447
1211266,12047,196,2363
1211316,12041,216,2604
1211366,12051,243,2934
1211416,12038,225,2715
1211466,12048,232,2796
1211516,12043,225,2719
1211566,12041,219,2647
1211616,12053,195,2361
1211666,12052,233,2818
1211716,12041,218,2625
1211766,12049,220,2654
1211816,12043,207,2495
1211866,12045,216,2608
1211916,12046,227,2736
1211966,12054,208,2516
1212016,12049,213,2577
1212066,12054,218,2635
1212116,12037,226,2727
1212166,12052,235,2835
1212216,12039,230,2768
1212266,12050,199,2399
1212316,12047,215,2599
1212366,12047,207,2497
1212416,12048,205,2475
1212466,12051,206,2487
1212516,12054,209,2521
1212566,12046,209,2521
1212616,12057,199,2408
1212666,12044,234,2818
1212716,12047,200,2412
1212767,12046,235,2840
1212816,12056,231,2788
1212866,12043,217,2625
1212916,12051,210,2532
1212966,12054,202,2438
1213016,12058,224,2702
1213066,12046,193,2333
1213116,12052,202,2437
1213166,12042,228,2755
1213216,12048,231,2789
1213266,12046,234,2829
1213316,12048,214,2582
1213366,12046,225,2719
1213416,12039,199,2397
1213466,12060,205,2477
1213516,12052,223,2690
1213566,12047,235,2832
1213616,12045,195,2354
1213666,12058,213,2578
1213716,12044,213,2573
1213766,12058,217,2617
1213816,12056,227,2748
1213866,12043,210,2539
1213916,12052,212,2559
1213966,12039,219,2637
1214016,12051,225,2718
1214066,12057,205,2472
1214116,12054,222,2686
1214166,12059,207,2506
1214216,12050,214,2588
1214266,12050,221,2662
1214316,12039,217,2613
1214366,12053,241,2912
1214416,12053,221,2668
1214466,12050,226,2730
1214516,12045,225,2718
1214566,12060,229,2763
1214616,12055,211,2555
1214666,12049,202,2436
1214716,12044,220,2653
1214766,12043,206,2490
1214816,12043,230,2769
1214866,12041,228,2750
1214916,12042,223,2685
1214966,12048,222,2675
1215016,12057,203,2454
1215066,12062,218,2636
1215116,12045,222,2684
1215166,12055,193,2332
1215216,12054,216,2605
1215266,12046,229,2768
1215316,12051,237,2862
1215366,12045,216,2613
1215416,12050,215,2600
1215466,12037,214,2582
1215516,12040,220,2658
1215566,12041,238,2868
1215616,12036,234,2823
1215666,12042,218,2628
1215716,12045,210,2537
1215766,12061,204,2463
1215816,12058,220,2654
1215866,12050,198,2397
1215916,12037,195,2355
1215966,12048,245,2960
1216016,12044,230,2774
1216066,12054,199,2400
1216116,12057,234,2821
1216166,12046,239,2888
1216216,12041,231,2783
1216266,12046,239,2882
1216316,12043,214,2581
1216366,12055,235,2833
1216416,12051,212,2564
1216466,12051,208,2510
1216516,12036,213,2573
1216566,12059,224,2710
1216616,12044,214,2582
1216666,12048,234,2828
1216716,12060,200,2420
1216766,12050,208,2514
1216816,12056,208,2518
1216866,12045,234,2818
1216916,12047,215,2600
1216966,12048,224,2703
1217016,12057,214,2584
1217066,12044,219,2647
1217116,12042,227,2740
1217166,12043,211,2545
1217216,12044,210,2538
1217266,12056,197,2382
1217316,12057,212,2561
1217366,12051,229,2769
1217416,12049,207,2495
1217466,12041,220,2648
1217516,12046,230,2781
