time_stamp,voltage,current,power
1326866,12040,220,2657
1326916,12054,212,2557
1326966,12047,217,2616
1327016,12045,199,2402
1327066,12044,232,2795
1327116,12036,215,2599
1327166,12052,211,2544
1327216,12038,226,2722
1327266,12041,218,2625
1327316,12047,210,2536
1327366,12054,213,2570
1327416,12061,220,2659
1327466,12052,208,2508
1327516,12046,235,2838
1327566,12056,227,2741
1327616,12045,209,2524
1327666,12041,217,2622
1327716,12059,211,2552
1327766,12047,227,2741
1327816,12055,211,2549
1327866,12039,220,2659
1327916,12058,203,2447
1327966,12043,236,2851
1328016,12055,234,2832
1328066,12034,212,2560
1328116,12058,202,2445
1328166,12055,209,2526
1328216,12048,222,2678
1328266,12039,213,2570
1328316,12056,211,2550
1328366,12051,204,2470
1328416,12057,237,2865
1328466,12051,226,2727
1328516,12048,228,2758
1328566,12055,227,2743
1328616,12041,215,2588
1328666,12043,211,2549
1328716,12044,235,2834
1328766,12035,201,2426
1328816,12043,209,2524
1328866,12047,228,2748
1328916,12058,198,2397
1328966,12044,223,2696
1329016,12041,208,2508
1329066,12042,204,2466
1329116,12057,212,2565
1329166,12055,211,2546
1329216,12060,221,2674
1329266,12047,206,2486
1329316,12053,211,2546
1329366,12058,217,2627
1329416,12051,210,2537
1329466,12044,219,2643
1329516,12053,226,2733
1329566,12048,228,2754
1329616,12041,218,2631
1329666,12038,221,2660
1329716,12034,210,2534
1329766,12044,221,2670
1329816,12046,216,2609
1329866,12052,196,2363
1329916,12061,197,2382
1329966,12045,234,2821
1330016,12047,214,2586
1330066,12054,226,2734
1330116,12045,223,2690
1330166,12053,209,2530
1330216,12039,239,2884
1330266,12054,225,2720
1330316,12040,211,2542
1330366,12051,204,2467
1330416,12041,222,2675
1330466,12043,222,2684
1330516,12043,216,2605
1330566,12047,211,2547
1330616,12041,216,2611
1330666,12057,209,2531
1330716,12045,189,2279
1330766,12045,242,2925
1330816,12058,218,2633
1330866,12057,219,2648
1330916,12050,211,2544
1330966,12043,208,2507
1331016,12038,232,2793
1331066,12038,232,2795
1331116,12053,225,2716
1331166,12054,202,2445
1331216,12060,227,2748
1331266,12043,229,2761
1331316,12042,236,2841
1331366,12041,211,2547
1331416,12038,207,2498
1331466,12061,205,2481
1331516,12045,223,2695
1331566,12050,203,2452
1331616,12039,238,2866
1331666,12046,213,2568
1331716,12039,226,2723
1331766,12045,222,2685
1331816,12045,227,2736
1331866,12055,224,2706
1331916,12056,196,2365
1331966,12056,217,2626
1332016,12040,206,2488
1332066,12053,193,2336
1332116,12044,204,2458
1332166,12049,205,2479
1332216,12060,221,2672
1332266,12048,222,2676
1332316,12046,225,2711
1332366,12041,213,2570
1332416,12058,204,2459
1332466,12041,232,2793
1332516,12049,205,2477
1332566,12059,202,2445
