time_stamp,voltage,current,power
1392916,12041.0,170.0,2052.0
1393016,12053.0,159.0,1925.0
1393116,12045.0,168.0,2031.0
1393216,12053.0,164.0,1987.0
1393316,12061.0,178.0,2147.0
1393416,12059.0,186.0,2247.0
1393516,12044.0,162.0,1957.0
1393566,12047.0,157.0,1901.0
1393616,12055.0,166.0,2001.0
1393666,12042.0,188.0,2265.0
1393717,12046.0,170.0,2050.0
1393766,12045.0,182.0,2202.0
1393816,12056.0,182.0,2198.0
1393866,12053.0,172.0,2079.0
1393916,12057.0,160.0,1938.0
1393966,12048.0,185.0,2235.0
1394016,12044.0,210.0,2531.0
1394066,12041.0,174.0,2105.0
1394116,12056.0,162.0,1957.0
1394166,12055.0,179.0,2168.0
1394216,12045.0,159.0,1916.0
1394266,12054.0,160.0,1931.0
1394316,12039.0,176.0,2126.0
1394366,12050.0,187.0,2258.0
1394416,12039.0,168.0,2032.0
1394466,12055.0,154.0,1867.0
1394516,12039.0,179.0,2165.0
1394566,12049.0,186.0,2245.0
1394616,12050.0,178.0,2148.0
1394666,12060.0,179.0,2169.0
1394716,12041.0,177.0,2141.0
1394766,12048.0,170.0,2051.0
1394816,12050.0,157.0,1893.0
1394866,12053.0,161.0,1951.0
1394916,12057.0,184.0,2228.0
1394966,12049.0,168.0,2035.0
1395016,12044.0,169.0,2042.0
1395066,12055.0,159.0,1922.0
1395116,12043.0,174.0,2096.0
1395166,12046.0,174.0,2106.0
1395216,12055.0,167.0,2020.0
1395266,12042.0,173.0,2086.0
1395316,12052.0,179.0,2166.0
1395366,12043.0,171.0,2066.0
1395416,12056.0,158.0,1912.0
1395466,12056.0,180.0,2174.0
1395516,12044.0,153.0,1847.0
1395566,12052.0,155.0,1878.0
1395616,12046.0,158.0,1911.0
1395666,12057.0,170.0,2056.0
1395716,12044.0,172.0,2071.0
1395766,12053.0,164.0,1988.0
1395816,12044.0,164.0,1985.0
1395866,12058.0,164.0,1980.0
1395916,12041.0,182.0,2194.0
1395966,12047.0,172.0,2079.0
1396016,12056.0,179.0,2166.0
1396066,12051.0,161.0,1940.0
1396116,12045.0,159.0,1920.0
1396166,12044.0,197.0,2381.0
1396216,12048.0,158.0,1908.0
1396266,12054.0,174.0,2100.0
1396316,12054.0,165.0,1989.0
1396366,12042.0,172.0,2080.0
1396416,12044.0,164.0,1985.0
1396466,12041.0,181.0,2189.0
1396516,12056.0,177.0,2139.0
1396566,12046.0,158.0,1912.0
1396616,12045.0,173.0,2083.0
1396666,12044.0,158.0,1913.0
1396716,12038.0,157.0,1891.0
1396766,12042.0,173.0,2086.0
1396816,12046.0,177.0,2132.0
1396866,12056.0,177.0,2133.0
1396916,12053.0,181.0,2185.0
