time_stamp,voltage,current,power
1633116,12041,224,2701
1633166,12042,193,2327
1633216,12048,218,2634
1633266,12051,215,2601
1633316,12057,198,2389
1633366,12056,184,2218
1633416,12042,201,2430
1633466,12043,225,2717
1633516,12044,197,2377
1633566,12051,201,2432
1633616,12057,190,2293
1633666,12052,203,2449
1633716,12044,201,2429
1633766,12043,200,2413
1633816,12047,183,2210
1633866,12056,183,2209
1633916,12049,210,2534
1633966,12056,197,2386
1634016,12041,215,2596
1634066,12050,220,2662
1634116,12040,203,2450
1634166,12047,202,2437
1634216,12055,213,2572
1634266,12044,208,2511
1634316,12050,199,2406
1634366,12050,198,2397
1634416,12043,207,2499
1634466,12047,206,2488
1634516,12039,209,2517
1634566,12040,191,2301
1634616,12058,212,2564
1634666,12060,199,2406
1634716,12050,198,2395
1634766,12050,213,2576
1634816,12045,208,2510
1634866,12044,199,2397
1634916,12050,204,2470
1634966,12055,213,2576
1635016,12051,207,2503
1635066,12049,216,2605
1635116,12039,209,2525
1635166,12050,211,2543
1635216,12044,195,2353
1635266,12057,199,2402
1635316,12037,202,2442
1635366,12041,201,2421
1635416,12050,202,2433
1635466,12047,204,2465
1635516,12046,206,2483
1635566,12054,204,2467
1635616,12050,196,2372
1635666,12043,218,2626
1635716,12063,219,2649
1635766,12045,194,2341
1635816,12050,215,2602
1635866,12045,213,2568
1635916,12056,190,2294
1635966,12040,215,2592
1636016,12040,213,2573
1636066,12039,194,2337
1636116,12050,195,2352
1636166,12052,177,2134
1636216,12043,194,2347
1636266,12054,176,2124
1636316,12062,199,2406
1636366,12055,208,2518
1636416,12041,193,2328
1636466,12045,206,2486
1636516,12053,194,2341
1636566,12052,186,2251
1636616,12044,202,2441
1636666,12041,214,2581
1636716,12044,191,2310
1636766,12056,202,2436
1636816,12057,191,2306
1636866,12050,199,2405
1636916,12043,203,2451
1636966,12058,180,2176
1637016,12041,211,2546
1637066,12038,184,2214
1637116,12051,214,2585
1637166,12038,212,2552
1637216,12055,205,2479
1637266,12043,197,2375
1637316,12041,214,2581
1637366,12041,211,2541
1637416,12052,184,2221
1637466,12060,195,2351
1637516,12053,192,2316
1637566,12051,192,2325
1637616,12040,200,2411
1637666,12041,201,2427
1637716,12041,189,2276
1637766,12044,196,2360
1637816,12042,212,2556
1637866,12055,188,2267
1637916,12043,214,2587
1637966,12062,215,2599
1638016,12043,208,2506
1638066,12043,204,2462
1638116,12041,204,2461
1638166,12044,210,2531
1638216,12050,200,2420
1638266,12054,190,2299
1638316,12035,209,2520
1638366,12049,205,2475
