time_stamp,voltage,current,power
2478116,12053,224,2707
2478166,12041,212,2557
2478216,12057,209,2528
2478266,12044,206,2488
2478316,12054,176,2126
2478367,12052,195,2361
2478416,12051,211,2552
2478466,12057,184,2224
2478516,12042,175,2116
2478566,12048,201,2423
2478616,12039,219,2647
2478666,12038,195,2350
2478716,12058,193,2331
2478766,12053,185,2235
2478816,12044,203,2452
2478866,12050,184,2226
2478916,12049,177,2132
2478966,12060,192,2322
2479016,12043,192,2316
2479066,12050,176,2127
2479116,12048,182,2200
2479166,12062,199,2408
2479216,12053,172,2072
2479266,12034,194,2336
2479316,12042,205,2472
2479366,12055,194,2342
2479416,12048,192,2318
2479466,12056,209,2527
2479516,12054,177,2142
2479566,12038,193,2332
2479616,12042,196,2370
2479666,12048,211,2544
2479716,12042,186,2248
2479766,12048,175,2112
2479816,12046,179,2159
2479866,12060,179,2162
2479916,12056,183,2208
2479966,12052,175,2117
2480016,12054,194,2348
2480066,12050,212,2564
2480116,12052,172,2083
2480166,12046,200,2414
2480216,12043,200,2418
2480266,12058,186,2248
2480316,12044,191,2306
2480366,12037,189,2275
2480416,12046,188,2266
2480466,12052,179,2163
2480516,12053,173,2086
2480566,12046,185,2233
2480616,12051,191,2305
2480666,12045,210,2533
2480716,12054,181,2193
2480766,12044,208,2507
2480816,12049,185,2232
2480866,12059,179,2160
2480916,12055,213,2567
2480966,12040,187,2254
2481016,12048,199,2403
2481066,12040,211,2541
2481116,12049,178,2148
2481166,12040,193,2330
2481216,12048,196,2366
2481266,12047,191,2308
2481316,12047,194,2340
2481366,12042,208,2513
2481416,12042,189,2276
2481466,12054,173,2087
2481516,12041,192,2317
2481566,12041,193,2330
2481616,12055,195,2358
2481666,12041,190,2291
2481716,12059,207,2506
2481766,12055,182,2196
2481816,12054,208,2513
2481866,12061,177,2145
2481916,12046,203,2452
2481966,12054,189,2277
2482016,12045,193,2336
2482066,12042,175,2114
2482116,12051,175,2113
2482166,12043,192,2322
2482216,12055,177,2139
2482266,12043,204,2462
2482316,12049,190,2289
2482366,12044,194,2341
2482416,12052,204,2465
2482466,12050,207,2499
2482516,12054,187,2254
2482566,12060,171,2064
2482616,12047,188,2265
2482666,12055,199,2403
2482716,12047,189,2286
2482766,12059,176,2124
2482816,12041,183,2214
2482866,12049,193,2333
2482916,12046,206,2485
2482966,12041,192,2314
2483016,12046,195,2351
2483066,12049,177,2132
2483116,12054,188,2272
2483166,12049,183,2204
2483216,12044,202,2439
2483266,12047,196,2367
2483316,12058,196,2369
2483366,12058,193,2336
2483416,12044,205,2470
2483466,12042,189,2276
2483516,12061,182,2201
2483566,12056,166,2004
2483616,12042,208,2506
2483666,12048,207,2493
2483716,12049,176,2121
2483766,12051,189,2287
2483816,12047,208,2509
2483866,12048,186,2242
2483916,12055,205,2483
2483966,12046,199,2406
2484016,12067,189,2291
2484066,12060,178,2155
2484116,12050,209,2522
2484166,12060,206,2490
2484216,12051,195,2351
2484266,12041,195,2347
2484316,12043,200,2414
2484366,12053,188,2267
2484416,12051,213,2568
2484466,12066,196,2366
2484516,12048,208,2517
2484566,12054,207,2505
2484616,12047,211,2542
2484666,12058,202,2440
2484716,12048,202,2441
2484766,12044,208,2508
2484816,12046,201,2423
2484866,12043,193,2333
2484916,12056,202,2436
2484966,12042,202,2434
2485016,12055,181,2188
2485066,12054,199,2405
2485116,12053,192,2324
2485166,12052,184,2226
2485216,12046,211,2544
2485266,12048,205,2474
2485316,12056,206,2488
2485366,12048,192,2318
2485416,12053,178,2152
2485466,12052,198,2389
2485516,12062,197,2387
2485566,12057,199,2402
2485616,12052,213,2571
2485666,12052,206,2483
2485716,12046,184,2225
2485766,12060,191,2303
2485816,12045,208,2516
2485866,12054,194,2349
2485916,12048,204,2468
2485966,12048,204,2465
2486016,12045,183,2212
2486066,12063,194,2344
2486116,12047,214,2585
2486166,12045,199,2401
2486216,12061,191,2314
2486266,12054,205,2478
2486316,12057,176,2126
2486366,12049,201,2428
2486416,12062,203,2455
2486466,12048,182,2203
2486516,12053,181,2189
2486566,12047,193,2329
2486616,12051,179,2158
2486666,12044,204,2461
2486716,12043,183,2205
2486766,12046,217,2622
2486816,12038,182,2200
2486866,12037,190,2297
2486916,12044,203,2445
2486966,12052,178,2155
2487016,12059,187,2261
2487066,12059,204,2466
2487116,12042,208,2511
2487166,12036,209,2525
2487216,12052,208,2510
2487266,12051,185,2235
2487316,12048,209,2524
2487366,12053,189,2277
2487416,12047,187,2260
2487466,12052,180,2178
2487516,12043,191,2309
2487566,12045,179,2165
2487616,12053,211,2548
2487666,12054,182,2199
2487716,12048,188,2269
2487766,12041,197,2372
2487816,12055,191,2313
2487866,12049,189,2287
2487916,12051,193,2334
2487966,12045,200,2412
2488016,12054,194,2348
2488066,12049,198,2394
2488116,12035,185,2231
2488166,12054,183,2208
2488216,12055,197,2383
2488266,12041,200,2418
2488316,12042,204,2457
2488366,12056,183,2213
2488416,12051,191,2310
2488466,12055,186,2251
2488516,12040,188,2265
2488566,12053,190,2291
2488616,12050,179,2160
2488666,12045,195,2355
2488716,12058,185,2239
2488766,12050,207,2503
2488816,12055,189,2288
2488866,12047,191,2301
2488916,12051,187,2258
2488966,12044,202,2435
2489016,12046,215,2589
2489066,12044,183,2214
2489116,12056,168,2030
2489166,12051,199,2405
2489216,12054,192,2321
2489266,12040,202,2435
2489316,12043,207,2499
2489366,12044,193,2332
2489416,12046,195,2357
2489466,12053,176,2125
2489516,12052,203,2454
2489566,12048,211,2551
2489616,12042,185,2236
2489666,12047,205,2474
2489716,12038,216,2602
2489766,12060,182,2198
2489816,12056,198,2388
2489866,12051,194,2348
2489916,12057,206,2488
2489966,12053,184,2227
2490016,12045,204,2461
2490066,12046,204,2463
2490116,12049,201,2422
2490166,12059,183,2214
2490216,12051,185,2235
2490266,12056,181,2186
2490316,12055,187,2255
2490366,12045,183,2211
2490416,12048,185,2237
2490466,12042,197,2379
2490516,12053,183,2216
2490566,12045,195,2350
2490616,12054,190,2300
2490666,12044,191,2306
2490716,12047,201,2428
2490766,12047,191,2311
2490816,12049,210,2539
2490866,12046,205,2474
2490916,12048,193,2329
2490966,12045,204,2458
2491016,12042,191,2311
2491066,12054,207,2506
2491116,12040,207,2497
2491166,12055,182,2199
2491216,12060,201,2427
2491266,12044,180,2176
2491316,12046,191,2303
2491366,12056,178,2154
2491416,12052,206,2486
2491466,12055,202,2442
2491516,12049,182,2196
2491566,12053,195,2361
2491616,12043,198,2395
2491666,12057,171,2067
2491716,12055,195,2351
2491766,12057,195,2356
2491816,12056,189,2288
2491866,12046,188,2268
2491916,12062,169,2049
2491966,12056,197,2375
2492016,12043,179,2161
2492066,12050,203,2448
2492116,12055,198,2397
2492166,12044,188,2267
2492216,12056,195,2351
2492266,12041,208,2509
2492316,12035,207,2502
2492366,12042,203,2445
2492416,12050,191,2302
2492466,12053,196,2362
2492516,12060,195,2355
2492566,12060,201,2430
2492616,12059,205,2482
2492666,12052,185,2233
2492716,12050,187,2255
2492766,12056,196,2372
2492816,12044,210,2529
2492866,12052,179,2167
2492916,12051,209,2527
2492966,12058,200,2412
2493016,12057,206,2490
2493066,12057,178,2155
2493116,12057,179,2159
2493166,12048,209,2522
2493216,12049,190,2300
2493266,12046,186,2249
2493316,12045,217,2620
2493366,12050,181,2182
2493416,12052,184,2220
2493466,12040,189,2284
2493516,12045,192,2316
2493566,12040,194,2344
2493616,12042,192,2313
2493666,12058,192,2320
2493716,12052,195,2351
2493766,12057,187,2257
2493816,12046,200,2412
2493866,12053,178,2153
2493916,12052,190,2300
2493966,12031,185,2233
2494016,12036,193,2329
2494066,12049,205,2474
2494116,12054,195,2358
2494166,12067,188,2273
2494216,12045,209,2522
2494266,12046,212,2564
2494316,12053,209,2519
2494366,12048,194,2344
2494416,12046,186,2245
2494466,12052,177,2142
2494516,12058,193,2336
2494566,12053,202,2435
2494616,12053,187,2255
2494666,12041,190,2298
2494716,12038,205,2476
2494766,12039,182,2200
2494816,12058,188,2271
2494866,12047,182,2197
2494916,12042,185,2232
2494966,12041,204,2456
2495016,12059,198,2396
2495066,12053,195,2356
2495116,12056,192,2326
2495166,12058,208,2513
2495216,12046,202,2437
2495266,12042,202,2441
2495316,12047,186,2252
2495366,12055,199,2405
2495416,12056,210,2535
2495466,12041,209,2519
2495516,12049,204,2461
2495566,12048,184,2221
2495616,12039,199,2405
2495666,12053,184,2220
2495716,12056,178,2155
2495766,12062,196,2369
2495816,12060,210,2544
2495866,12053,209,2524
2495916,12044,201,2421
2495966,12048,207,2503
2496016,12044,188,2273
2496066,12043,188,2273
2496116,12054,195,2359
2496166,12046,207,2504
2496216,12053,207,2500
2496266,12049,191,2307
2496316,12058,204,2461
2496366,12048,184,2221
2496416,12063,194,2347
2496466,12061,207,2499
2496516,12046,213,2570
2496566,12053,182,2199
2496616,12056,179,2159
2496666,12051,202,2443
2496716,12045,198,2392
2496766,12050,185,2234
2496816,12048,189,2280
2496866,12040,190,2291
2496916,12045,186,2249
2496966,12057,198,2393
2497016,12056,172,2083
2497066,12055,171,2062
2497116,12048,194,2343
2497166,12043,190,2289
2497216,12052,184,2227
2497266,12050,208,2515
2497316,12052,182,2197
2497366,12053,205,2479
2497416,12053,192,2315
2497466,12040,186,2239
2497516,12041,194,2339
2497566,12043,213,2570
2497616,12041,193,2333
2497666,12042,187,2261
2497716,12052,195,2353
2497766,12045,209,2526
2497816,12050,195,2350
2497866,12045,180,2175
2497916,12050,204,2466
2497966,12045,190,2293
2498016,12039,184,2220
2498066,12047,204,2468
2498116,12060,177,2138
2498166,12051,190,2294
2498216,12047,194,2338
2498266,12057,199,2407
2498316,12046,192,2321
2498366,12048,196,2371
2498416,12047,191,2310
2498466,12050,210,2534
2498516,12045,205,2475
2498566,12055,186,2250
2498616,12046,181,2186
2498666,12049,205,2470
2498716,12055,207,2500
2498766,12055,202,2440
2498816,12045,216,2609
2498866,12047,181,2192
2498916,12049,209,2526
2498966,12044,206,2490
2499016,12053,179,2167
2499066,12050,188,2274
2499116,12047,181,2188
2499166,12040,199,2399
2499216,12043,210,2533
2499266,12040,191,2309
2499316,12059,206,2490
2499366,12044,208,2511
2499416,12050,203,2457
2499466,12051,202,2437
2499516,12057,178,2149
2499566,12050,203,2451
2499616,12046,213,2570
2499666,12060,179,2165
2499716,12044,176,2126
2499766,12049,194,2343
2499816,12043,208,2508
2499866,12057,174,2098
2499916,12063,196,2375
2499966,12056,185,2231
2500016,12036,191,2301
2500066,12059,203,2450
2500116,12049,213,2569
2500166,12043,202,2434
2500216,12046,203,2447
2500266,12047,191,2305
2500316,12055,195,2354
2500366,12042,186,2241
2500416,12055,184,2221
2500466,12041,205,2478
2500516,12052,199,2406
2500566,12050,199,2399
2500616,12041,203,2445
2500666,12040,197,2381
2500716,12053,189,2277
2500766,12029,218,2626
2500816,12046,192,2314
2500866,12046,182,2197
2500916,12054,200,2414
2500966,12047,185,2236
2501016,12053,180,2178
2501066,12043,195,2348
2501116,12042,186,2243
2501166,12046,186,2252
2501216,12039,187,2263
2501266,12056,191,2307
2501316,12051,169,2041
2501366,12057,206,2488
2501416,12054,204,2459
2501466,12052,205,2475
2501516,12045,209,2518
2501566,12044,207,2500
2501616,12037,189,2285
2501666,12044,192,2317
2501716,12055,175,2112
2501766,12050,222,2678
2501816,12060,187,2266
2501866,12042,196,2369
2501916,12046,203,2447
2501966,12041,190,2297
2502016,12056,209,2523
2502066,12051,192,2323
2502116,12047,193,2334
2502166,12038,200,2415
2502216,12042,204,2464
2502266,12052,207,2498
2502316,12046,201,2429
2502366,12053,172,2083
2502416,12057,179,2166
2502466,12056,200,2412
2502516,12046,202,2435
2502566,12047,198,2389
2502616,12041,196,2367
2502666,12045,210,2538
2502716,12053,211,2552
2502766,12054,202,2446
2502816,12054,193,2331
2502866,12059,185,2236
2502916,12043,187,2262
2502966,12047,180,2169
2503016,12041,188,2269
2503066,12058,210,2543
2503116,12055,188,2267
2503166,12059,174,2100
2503216,12047,217,2623
2503266,12041,185,2227
2503316,12059,182,2196
2503366,12036,193,2329
2503416,12057,187,2262
2503466,12049,183,2211
2503516,12056,186,2247
2503566,12050,195,2355
2503616,12058,171,2069
2503666,12048,179,2161
2503716,12050,196,2370
2503766,12051,185,2238
2503816,12049,195,2352
2503866,12051,190,2300
2503916,12041,182,2192
2503966,12041,172,2080
2504016,12043,191,2300
2504066,12055,186,2242
2504116,12055,184,2229
2504166,12052,174,2102
2504216,12044,188,2268
2504266,12056,182,2204
2504316,12053,181,2184
2504366,12055,191,2309
2504416,12054,178,2156
2504466,12041,180,2177
2504516,12048,200,2420
2504566,12046,195,2349
2504616,12056,187,2261
2504666,12049,200,2412
2504716,12058,181,2183
2504766,12057,187,2255
2504816,12061,180,2176
2504866,12045,205,2480
2504916,12055,182,2199
2504966,12049,211,2542
2505016,12055,197,2385
2505066,12059,173,2092
2505116,12057,188,2275
2505166,12049,203,2457
2505216,12048,196,2362
2505266,12042,185,2234
2505316,12053,183,2210
2505366,12058,199,2409
2505416,12043,187,2256
2505466,12047,200,2417
2505516,12048,200,2416
2505566,12054,199,2402
2505616,12040,189,2280
2505666,12052,198,2395
2505716,12070,197,2389
2505766,12050,179,2159
2505816,12041,179,2160
2505866,12046,210,2535
2505916,12047,188,2269
2505966,12054,183,2216
2506016,12047,192,2319
2506066,12047,202,2436
2506116,12046,195,2348
2506166,12050,201,2425
2506216,12057,200,2419
2506266,12039,201,2424
2506316,12056,174,2107
2506366,12052,185,2238
2506416,12051,169,2038
2506466,12058,185,2240
2506516,12065,197,2378
2506566,12045,207,2497
2506616,12043,206,2483
2506666,12045,215,2595
2506716,12036,176,2119
2506766,12055,203,2448
2506816,12040,198,2385
2506866,12049,209,2519
2506916,12047,196,2366
2506966,12058,185,2241
2507016,12053,191,2308
2507066,12042,200,2408
2507116,12043,207,2500
2507166,12050,207,2498
2507216,12043,195,2357
2507266,12048,175,2120
2507316,12051,202,2440
2507366,12053,179,2162
2507416,12051,198,2389
2507466,12043,195,2348
2507516,12055,207,2502
2507566,12043,206,2484
2507616,12061,195,2355
2507666,12052,185,2231
2507716,12053,202,2440
2507766,12044,190,2297
2507816,12047,191,2306
2507866,12050,203,2452
2507916,12059,198,2388
2507966,12058,176,2125
2508016,12051,190,2298
2508066,12042,189,2275
2508116,12044,188,2267
2508166,12046,218,2629
2508216,12046,206,2489
2508266,12052,176,2128
2508316,12049,195,2350
2508366,12055,205,2478
2508416,12044,187,2263
2508466,12054,174,2106
2508516,12053,190,2292
2508566,12043,193,2332
2508616,12049,204,2458
2508666,12046,186,2241
2508716,12049,205,2479
2508766,12043,194,2344
2508816,12056,206,2490
2508866,12045,186,2248
2508916,12038,198,2393
2508966,12046,202,2444
2509016,12050,183,2215
2509066,12052,206,2483
2509116,12060,205,2482
2509166,12060,208,2512
2509216,12059,190,2299
2509266,12044,203,2455
2509316,12040,205,2471
2509366,12044,196,2361
2509416,12056,185,2241
2509466,12043,209,2524
2509516,12042,198,2391
2509566,12047,197,2384
2509616,12049,204,2458
2509666,12048,181,2186
2509716,12045,192,2321
2509766,12053,178,2156
2509816,12052,198,2390
2509866,12050,181,2190
2509916,12050,173,2096
2509966,12058,181,2194
2510016,12037,195,2354
2510066,12047,205,2473
2510116,12053,195,2358
2510166,12039,197,2378
2510216,12059,192,2325
2510266,12056,194,2345
2510316,12045,186,2246
2510366,12040,187,2257
2510416,12052,192,2314
2510466,12048,189,2278
2510516,12046,201,2430
2510566,12057,195,2358
2510616,12051,186,2251
2510666,12041,183,2212
2510716,12041,186,2241
2510766,12041,190,2298
2510816,12052,196,2363
2510866,12053,195,2351
2510916,12041,173,2090
2510966,12054,200,2414
2511016,12040,186,2242
2511066,12057,186,2242
2511116,12046,187,2260
2511166,12051,178,2145
2511216,12042,205,2470
2511266,12057,191,2311
2511316,12044,210,2532
2511366,12040,188,2270
2511416,12051,178,2147
2511466,12041,196,2366
2511516,12057,184,2219
2511566,12038,205,2470
2511616,12045,189,2276
2511666,12042,214,2588
2511716,12052,194,2338
2511766,12046,193,2326
2511816,12058,208,2517
2511866,12050,190,2290
2511916,12037,185,2230
2511966,12048,186,2246
