time_stamp,voltage,current,power
2569366,12042,210,2535
2569416,12056,203,2451
2569466,12049,201,2421
2569516,12048,211,2544
2569566,12055,209,2523
2569616,12051,187,2254
2569666,12047,201,2423
2569716,12044,189,2283
2569766,12049,196,2362
2569816,12045,192,2314
2569866,12054,180,2171
2569916,12063,183,2209
2569966,12053,186,2249
2570016,12042,204,2461
2570066,12056,197,2377
2570116,12057,199,2407
2570166,12044,192,2316
2570216,12046,200,2409
2570266,12061,190,2301
2570316,12057,206,2488
2570366,12051,196,2370
2570416,12055,199,2403
2570466,12041,201,2421
2570516,12042,220,2652
2570566,12046,206,2487
2570616,12045,196,2364
2570666,12057,170,2056
2570716,12051,205,2473
2570766,12058,199,2408
2570816,12053,183,2207
2570866,12043,208,2513
2570916,12055,214,2583
2570966,12052,193,2335
2571016,12050,189,2285
2571066,12043,193,2327
2571116,12058,188,2269
2571166,12053,179,2158
2571216,12049,199,2401
2571266,12036,193,2324
2571316,12050,212,2563
2571366,12053,184,2222
2571416,12039,216,2601
2571466,12049,202,2443
2571516,12050,191,2303
2571566,12052,185,2234
2571616,12039,215,2598
2571666,12044,210,2529
2571716,12042,200,2418
2571766,12060,196,2372
2571816,12052,185,2232
2571866,12055,186,2250
2571916,12046,191,2310
2571966,12051,194,2338
2572016,12042,208,2513
2572066,12051,193,2336
2572116,12057,185,2235
2572166,12052,183,2215
2572216,12062,185,2233
2572266,12044,195,2350
2572316,12039,183,2203
2572366,12043,193,2331
2572416,12060,192,2317
2572466,12037,214,2575
2572516,12046,186,2249
2572566,12046,211,2544
2572616,12051,185,2232
2572666,12050,202,2439
2572716,12050,203,2450
2572766,12047,211,2553
2572816,12050,192,2322
2572866,12051,189,2285
2572916,12040,187,2252
2572966,12043,205,2479
2573016,12040,200,2411
2573066,12054,192,2318
2573116,12044,191,2300
2573166,12046,200,2417
2573216,12048,184,2226
2573266,12055,202,2441
2573316,12041,214,2586
2573366,12044,205,2474
2573416,12046,193,2334
2573466,12056,179,2165
2573516,12040,192,2314
2573566,12052,191,2309
2573616,12056,177,2141
2573666,12050,194,2348
2573716,12041,207,2503
2573766,12052,185,2232
2573816,12043,187,2254
2573866,12042,211,2549
2573916,12060,188,2273
2573966,12052,181,2188
2574016,12057,175,2116
2574066,12039,209,2522
2574116,12052,210,2531
2574166,12048,220,2651
2574216,12053,201,2425
2574266,12042,186,2244
2574316,12048,212,2560
2574366,12040,208,2504
2574416,12054,199,2407
2574466,12056,181,2186
2574516,12051,192,2321
2574566,12050,189,2284
2574616,12048,205,2471
2574666,12060,201,2426
2574716,12064,175,2122
2574766,12058,180,2180
2574816,12053,190,2300
2574866,12064,199,2402
2574916,12041,215,2596
2574966,12043,184,2217
2575016,12051,183,2209
2575066,12052,177,2139
2575116,12061,201,2423
2575166,12054,201,2434
2575216,12059,196,2365
2575266,12057,192,2317
2575316,12060,195,2356
2575366,12045,208,2507
2575416,12053,194,2342
2575466,12046,201,2423
2575516,12044,181,2183
2575566,12050,196,2372
2575616,12048,197,2373
2575666,12053,196,2368
2575716,12036,190,2297
2575766,12046,190,2300
2575816,12043,192,2323
2575866,12049,193,2335
2575916,12059,177,2140
2575966,12057,177,2138
2576016,12045,214,2583
2576066,12058,210,2534
2576116,12045,186,2249
2576166,12046,177,2138
