time_stamp,voltage,current,power
2639816,12055,223,2699
2639866,12042,189,2284
2639916,12042,214,2576
2639966,12059,193,2339
2640016,12052,189,2285
2640067,12044,196,2368
2640116,12056,202,2442
2640166,12055,182,2201
2640216,12054,205,2472
2640266,12047,199,2408
2640316,12046,207,2502
2640366,12054,183,2208
2640416,12044,186,2250
2640466,12047,182,2198
2640516,12045,208,2512
2640566,12050,176,2131
2640616,12044,195,2357
2640666,12056,174,2104
2640716,12052,194,2338
2640766,12044,188,2268
2640816,12040,196,2370
2640866,12060,204,2471
2640916,12050,195,2351
2640966,12047,209,2529
2641016,12036,209,2519
2641066,12060,185,2233
2641116,12037,205,2473
2641166,12051,208,2511
2641216,12055,197,2375
2641266,12045,190,2294
2641316,12057,217,2625
2641366,12042,203,2450
2641416,12053,196,2365
2641466,12045,180,2179
2641516,12044,190,2290
2641566,12050,212,2556
2641616,12043,192,2312
2641666,12050,200,2417
2641716,12046,187,2254
2641766,12051,200,2411
2641816,12040,183,2203
2641866,12058,180,2178
2641916,12053,211,2546
2641966,12043,211,2546
2642016,12040,193,2333
2642066,12052,203,2446
2642116,12049,203,2453
2642166,12053,194,2348
2642216,12055,202,2443
2642266,12049,212,2560
2642316,12050,190,2297
2642366,12041,193,2335
2642416,12050,194,2339
2642466,12044,204,2466
2642516,12051,188,2266
2642566,12046,200,2414
2642616,12059,198,2390
2642666,12050,196,2362
2642716,12046,191,2303
2642766,12046,185,2232
2642816,12050,207,2504
2642866,12042,219,2640
2642916,12051,192,2323
2642966,12040,211,2543
2643016,12042,192,2322
2643066,12034,192,2319
2643116,12049,225,2716
2643166,12055,187,2263
2643216,12043,189,2279
2643266,12062,207,2499
2643316,12052,198,2396
2643366,12043,186,2246
2643416,12043,215,2595
2643466,12038,217,2612
2643516,12038,206,2482
2643566,12051,191,2309
2643616,12034,210,2529
2643666,12053,176,2121
2643716,12044,185,2228
2643766,12048,190,2291
2643816,12060,216,2614
2643866,12058,185,2233
2643916,12054,192,2321
2643966,12041,198,2388
2644016,12061,193,2339
2644066,12057,178,2154
2644116,12052,195,2357
2644166,12042,186,2241
2644216,12047,203,2453
2644266,12058,187,2264
