time_stamp,voltage,current,power
2688716,12062,216,2606
2688766,12047,197,2379
2688816,12055,206,2484
2688866,12039,185,2232
2688916,12046,216,2610
2688966,12035,188,2272
2689016,12045,196,2365
2689066,12043,224,2698
2689116,12049,181,2187
2689166,12042,200,2412
2689216,12055,172,2077
2689266,12041,217,2615
2689316,12044,191,2301
2689366,12051,199,2400
2689416,12055,202,2441
2689466,12057,187,2257
2689516,12051,208,2510
2689566,12042,198,2393
2689616,12043,204,2464
2689666,12045,183,2214
2689716,12034,202,2440
2689766,12059,177,2141
2689816,12054,190,2298
2689866,12060,190,2298
2689916,12039,205,2478
2689966,12054,209,2527
2690016,12052,181,2182
2690066,12044,203,2453
2690116,12049,208,2506
2690166,12045,194,2341
2690216,12041,222,2674
2690266,12038,192,2322
2690316,12051,193,2332
2690366,12053,195,2356
2690416,12043,212,2557
2690466,12041,200,2410
2690516,12060,199,2409
2690566,12047,211,2551
2690616,12041,193,2324
2690666,12049,192,2319
2690716,12053,199,2402
2690766,12040,195,2353
2690816,12052,179,2162
2690866,12052,201,2433
2690916,12048,217,2620
2690966,12050,216,2611
2691016,12049,194,2343
2691066,12050,215,2600
2691116,12051,199,2400
2691166,12054,183,2212
2691216,12045,208,2516
2691266,12058,205,2472
2691316,12045,193,2336
2691366,12052,202,2440
2691416,12048,189,2280
2691466,12040,195,2356
2691516,12059,192,2326
2691566,12047,186,2243
2691616,12042,191,2306
2691666,12046,209,2523
2691716,12049,212,2555
2691766,12050,201,2427
2691816,12046,190,2300
2691866,12056,206,2491
2691916,12042,204,2459
2691966,12043,195,2358
2692016,12037,204,2465
2692066,12052,202,2439
2692116,12056,192,2316
2692166,12061,206,2493
2692216,12054,190,2289
2692266,12052,210,2542
2692316,12048,184,2218
2692366,12046,200,2412
2692416,12044,214,2586
2692466,12040,205,2476
2692516,12040,214,2587
2692566,12058,209,2523
2692616,12045,208,2507
2692666,12048,202,2437
2692716,12048,204,2468
2692766,12046,193,2335
2692816,12057,208,2513
2692866,12062,210,2539
2692916,12059,187,2263
2692966,12052,190,2289
2693016,12041,202,2439
2693066,12043,202,2432
2693116,12044,208,2516
2693166,12055,199,2399
2693216,12060,194,2341
2693266,12048,214,2580
2693316,12052,189,2286
2693366,12044,200,2419
2693416,12056,204,2462
2693466,12043,186,2249
2693516,12057,197,2378
2693566,12053,207,2503
2693616,12055,204,2462
2693666,12057,195,2356
2693716,12055,201,2424
2693766,12043,201,2424
2693816,12055,193,2328
2693866,12059,200,2417
2693916,12056,191,2305
2693966,12055,208,2510
2694016,12044,187,2255
2694066,12051,208,2506
2694116,12053,198,2394
2694166,12052,194,2347
2694216,12045,196,2363
2694266,12059,204,2465
2694316,12052,200,2412
2694366,12063,195,2358
2694416,12050,209,2521
2694466,12044,217,2616
2694516,12046,213,2572
2694566,12046,199,2408
2694616,12053,197,2383
2694666,12044,202,2437
2694716,12052,190,2292
2694766,12034,196,2368
2694816,12046,207,2495
2694866,12038,197,2378
2694916,12060,219,2643
2694966,12051,193,2327
2695016,12045,195,2355
2695066,12052,207,2494
2695116,12054,187,2263
2695166,12059,204,2471
2695216,12040,188,2274
2695266,12049,212,2561
2695316,12051,201,2425
2695366,12056,206,2488
2695416,12041,188,2271
2695466,12055,192,2322
2695516,12046,225,2711
2695566,12058,212,2562
2695616,12053,182,2202
2695666,12057,205,2480
2695716,12060,197,2379
2695766,12043,208,2506
2695816,12042,188,2269
2695866,12047,206,2484
2695916,12049,183,2207
2695966,12052,198,2397
2696016,12057,184,2220
2696066,12058,195,2356
2696116,12057,205,2474
2696166,12045,192,2316
2696216,12050,196,2363
2696266,12044,207,2500
2696316,12053,198,2392
2696366,12052,193,2337
2696416,12047,187,2262
2696466,12048,220,2655
2696516,12041,198,2391
2696566,12057,195,2361
2696616,12045,210,2534
2696666,12049,181,2191
2696716,12038,214,2577
2696766,12033,208,2505
2696816,12046,212,2562
2696866,12057,213,2577
2696916,12053,189,2280
2696966,12047,200,2411
2697016,12046,195,2357
2697066,12044,204,2461
2697116,12052,193,2327
2697166,12051,195,2354
2697216,12044,204,2459
2697266,12043,201,2425
2697316,12047,219,2647
2697366,12046,187,2260
2697416,12057,193,2337
2697466,12042,206,2485
2697516,12060,202,2445
2697566,12044,198,2393
2697616,12056,215,2600
2697666,12044,190,2297
2697716,12042,182,2201
2697766,12049,186,2246
2697816,12057,207,2506
2697866,12048,202,2435
2697916,12047,215,2595
2697966,12049,208,2508
2698016,12048,202,2443
2698066,12052,190,2300
2698116,12040,200,2413
2698166,12055,183,2215
2698216,12041,204,2466
2698266,12056,188,2275
2698316,12040,182,2194
2698366,12052,201,2429
2698416,12056,193,2328
2698466,12043,188,2271
2698516,12043,199,2397
2698566,12059,205,2475
2698616,12051,179,2166
2698666,12052,215,2591
2698716,12043,196,2363
2698766,12044,201,2428
2698816,12040,201,2422
2698866,12040,199,2404
2698916,12053,188,2275
2698966,12051,199,2405
2699016,12047,202,2433
2699066,12043,218,2635
2699116,12046,222,2685
2699166,12056,184,2225
2699216,12046,219,2638
2699266,12041,207,2495
2699316,12057,187,2264
2699366,12051,206,2486
2699416,12049,195,2355
2699466,12055,194,2340
2699516,12058,213,2574
2699566,12043,211,2544
2699616,12045,185,2236
2699666,12056,196,2371
2699716,12052,190,2294
2699766,12051,209,2520
2699816,12030,213,2566
2699866,12053,189,2277
2699916,12048,216,2604
2699966,12038,200,2411
2700016,12049,194,2340
2700066,12053,200,2411
2700116,12055,201,2434
2700166,12042,204,2462
2700216,12050,204,2466
2700266,12059,205,2481
2700316,12052,178,2151
2700366,12042,213,2564
2700416,12051,204,2465
2700466,12047,182,2203
2700516,12056,190,2294
2700566,12051,172,2083
2700616,12039,195,2351
2700666,12046,190,2290
2700716,12057,184,2220
2700766,12053,212,2557
2700816,12051,199,2408
2700866,12050,189,2281
2700916,12057,211,2550
2700966,12053,201,2429
2701016,12051,208,2510
2701066,12052,203,2448
2701116,12037,217,2621
2701166,12056,204,2470
2701216,12043,199,2408
2701266,12058,186,2242
2701316,12045,209,2523
2701366,12057,196,2371
2701416,12059,196,2373
2701466,12056,200,2412
2701516,12061,177,2134
2701566,12046,196,2371
2701616,12049,194,2348
2701666,12052,200,2418
2701716,12049,201,2427
2701766,12043,200,2410
2701816,12046,183,2214
2701866,12042,203,2446
2701916,12062,203,2458
2701966,12047,218,2633
2702016,12055,190,2293
